Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,2,"Newgarden, Josef",D/C/F,01:48.6567,112.980,2
Full Lap,2,88,"Herta, Colton (R)",D/H/F,01:48.7939,112.837,3
Full Lap,3,27,"Rossi, Alexander",D/H/F,01:49.0456,112.577,3
Full Lap,4,28,"Hunter-Reay, Ryan",D/H/F,01:49.5011,112.108,3
Full Lap,5,15,"Rahal, Graham",D/H/F,01:49.5076,112.102,2
Full Lap,6,10,"Rosenqvist, Felix (R)",D/H/F,01:49.6846,111.921,2
Full Lap,7,22,"Pagenaud, Simon",D/C/F,01:49.7204,111.884,2
Full Lap,8,12,"Power, Will",D/C/F,01:49.7380,111.866,3
Full Lap,9,9,"Dixon, Scott",D/H/F,01:49.8542,111.748,3
Full Lap,10,59,"Chilton, Max",D/C/F,01:50.0187,111.581,5
Full Lap,11,7,"Ericsson, Marcus (R)",D/H/F,01:50.0667,111.532,3
Full Lap,12,5,"Hinchcliffe, James",D/H/F,01:50.2005,111.397,5
Full Lap,13,4,"Leist, Matheus",D/C/F,01:50.2346,111.362,3
Full Lap,14,21,"Pigot, Spencer",D/C/F,01:50.3046,111.292,3
Full Lap,15,19,"Ferrucci, Santino (R)",D/H/F,01:50.3986,111.197,3
Full Lap,16,31,"O'Ward, Patricio (R)",D/C/F,01:50.4896,111.105,9
Full Lap,17,98,"Andretti, Marco",D/H/F,01:50.5477,111.047,3
Full Lap,18,26,"Veach, Zach",D/H/F,01:50.9096,110.685,5
Full Lap,19,30,"Sato, Takuma",D/H/F,01:51.0908,110.504,5
Full Lap,20,18,"Bourdais, Sebastien",D/H/F,01:51.3202,110.276,4
Full Lap,21,60,"Harvey, Jack",D/H/F,01:51.5130,110.086,3
Full Lap,22,14,"Kanaan, Tony",D/C/F,01:51.7326,109.869,3
Full Lap,23,32,"Kaiser, Kyle (R)",D/C/F,01:51.7955,109.808,3
Full Lap,24,20,"Jones, Ed",D/C/F,01:52.6301,108.994,2
Sector 1,1,88,"Herta, Colton (R)",D/H/F,00:01.5945,170.187,3
Sector 1,2,5,"Hinchcliffe, James",D/H/F,00:01.6008,169.518,2
Sector 1,3,98,"Andretti, Marco",D/H/F,00:01.6061,168.958,3
Sector 1,4,12,"Power, Will",D/C/F,00:01.6081,168.748,3
Sector 1,5,28,"Hunter-Reay, Ryan",D/H/F,00:01.6168,167.840,3
Sector 1,6,59,"Chilton, Max",D/C/F,00:01.6193,167.581,3
Sector 1,7,4,"Leist, Matheus",D/C/F,00:01.6212,167.384,3
Sector 1,8,27,"Rossi, Alexander",D/H/F,00:01.6221,167.292,3
Sector 1,9,19,"Ferrucci, Santino (R)",D/H/F,00:01.6280,166.685,3
Sector 1,10,31,"O'Ward, Patricio (R)",D/C/F,00:01.6282,166.665,6
Sector 1,11,22,"Pagenaud, Simon",D/C/F,00:01.6301,166.471,3
Sector 1,12,21,"Pigot, Spencer",D/C/F,00:01.6329,166.185,3
Sector 1,13,7,"Ericsson, Marcus (R)",D/H/F,00:01.6376,165.708,3
Sector 1,14,26,"Veach, Zach",D/H/F,00:01.6408,165.385,3
Sector 1,15,2,"Newgarden, Josef",D/C/F,00:01.6409,165.375,2
Sector 1,16,60,"Harvey, Jack",D/H/F,00:01.6497,164.493,1
Sector 1,17,30,"Sato, Takuma",D/H/F,00:01.6498,164.483,3
Sector 1,18,14,"Kanaan, Tony",D/C/F,00:01.6500,164.463,4
Sector 1,19,15,"Rahal, Graham",D/H/F,00:01.6567,163.798,2
Sector 1,20,32,"Kaiser, Kyle (R)",D/C/F,00:01.6578,163.689,2
Sector 1,21,20,"Jones, Ed",D/C/F,00:01.6646,163.020,2
Sector 1,22,18,"Bourdais, Sebastien",D/H/F,00:01.6646,163.020,2
Sector 1,23,10,"Rosenqvist, Felix (R)",D/H/F,00:01.6672,162.766,6
Sector 1,24,9,"Dixon, Scott",D/H/F,00:01.6695,162.542,3
Sector 2,1,5,"Hinchcliffe, James",D/H/F,00:01.9288,167.202,2
Sector 2,2,88,"Herta, Colton (R)",D/H/F,00:01.9735,163.415,3
