Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,27,"Rossi, Alexander",D/H/F,01:46.9148,114.820,9
Full Lap,2,10,"Rosenqvist, Felix (R)",D/H/F,01:47.0536,114.672,7
Full Lap,3,9,"Dixon, Scott",D/H/F,01:47.1883,114.527,11
Full Lap,4,15,"Rahal, Graham",D/H/F,01:47.4397,114.259,8
Full Lap,5,28,"Hunter-Reay, Ryan",D/H/F,01:47.5363,114.157,8
Full Lap,6,2,"Newgarden, Josef",D/C/F,01:47.5372,114.156,7
Full Lap,7,12,"Power, Will",D/C/F,01:47.6660,114.019,8
Full Lap,8,21,"Pigot, Spencer",D/C/F,01:47.6855,113.999,10
Full Lap,9,22,"Pagenaud, Simon",D/C/F,01:47.7387,113.942,6
Full Lap,10,19,"Ferrucci, Santino (R)",D/H/F,01:47.7429,113.938,9
Full Lap,11,18,"Bourdais, Sebastien",D/H/F,01:47.7700,113.909,5
Full Lap,12,26,"Veach, Zach",D/H/F,01:47.8036,113.874,10
Full Lap,13,88,"Herta, Colton (R)",D/H/F,01:47.8097,113.867,5
Full Lap,14,30,"Sato, Takuma",D/H/F,01:47.9333,113.737,6
Full Lap,15,31,"O'Ward, Patricio (R)",D/C/F,01:47.9680,113.700,10
Full Lap,16,20,"Jones, Ed",D/C/F,01:48.1228,113.538,4
Full Lap,17,5,"Hinchcliffe, James",D/H/F,01:48.1706,113.487,5
Full Lap,18,7,"Ericsson, Marcus (R)",D/H/F,01:48.2911,113.361,6
Full Lap,19,60,"Harvey, Jack",D/H/F,01:48.4150,113.232,1
Full Lap,20,98,"Andretti, Marco",D/H/F,01:48.5342,113.107,5
Full Lap,21,4,"Leist, Matheus",D/C/F,01:48.5783,113.061,3
Full Lap,22,59,"Chilton, Max",D/C/F,01:48.9655,112.660,4
Full Lap,23,14,"Kanaan, Tony",D/C/F,01:49.1023,112.518,4
Full Lap,24,32,"Kaiser, Kyle (R)",D/C/F,01:50.0297,111.570,8
Sector 1,1,98,"Andretti, Marco",D/H/F,00:01.6471,164.752,5
Sector 1,2,27,"Rossi, Alexander",D/H/F,00:01.6524,164.224,6
Sector 1,3,26,"Veach, Zach",D/H/F,00:01.6526,164.204,5
Sector 1,4,28,"Hunter-Reay, Ryan",D/H/F,00:01.6544,164.025,5
Sector 1,5,30,"Sato, Takuma",D/H/F,00:01.6549,163.976,3
Sector 1,6,5,"Hinchcliffe, James",D/H/F,00:01.6557,163.897,6
Sector 1,7,88,"Herta, Colton (R)",D/H/F,00:01.6558,163.887,5
Sector 1,8,7,"Ericsson, Marcus (R)",D/H/F,00:01.6574,163.729,4
Sector 1,9,21,"Pigot, Spencer",D/C/F,00:01.6576,163.709,8
Sector 1,10,4,"Leist, Matheus",D/C/F,00:01.6582,163.650,3
Sector 1,11,12,"Power, Will",D/C/F,00:01.6595,163.521,8
Sector 1,12,20,"Jones, Ed",D/C/F,00:01.6605,163.423,4
Sector 1,13,15,"Rahal, Graham",D/H/F,00:01.6615,163.324,6
Sector 1,14,22,"Pagenaud, Simon",D/C/F,00:01.6622,163.256,7
Sector 1,15,60,"Harvey, Jack",D/H/F,00:01.6630,163.177,5
Sector 1,16,2,"Newgarden, Josef",D/C/F,00:01.6643,163.050,4
Sector 1,17,19,"Ferrucci, Santino (R)",D/H/F,00:01.6653,162.952,4
Sector 1,18,32,"Kaiser, Kyle (R)",D/C/F,00:01.6675,162.737,2
Sector 1,19,10,"Rosenqvist, Felix (R)",D/H/F,00:01.6683,162.659,4
Sector 1,20,18,"Bourdais, Sebastien",D/H/F,00:01.6689,162.600,4
Sector 1,21,59,"Chilton, Max",D/C/F,00:01.6697,162.522,8
Sector 1,22,14,"Kanaan, Tony",D/C/F,00:01.6730,162.202,6
Sector 1,23,9,"Dixon, Scott",D/H/F,00:01.6748,162.027,7
Sector 1,24,31,"O'Ward, Patricio (R)",D/C/F,00:01.6788,161.641,2
Sector 2,1,5,"Hinchcliffe, James",D/H/F,00:01.9785,163.002,6
Sector 2,2,12,"Power, Will",D/C/F,00:01.9798,162.895,7
Sector 2,3,88,"Herta, Colton (R)",D/H/F,00:01.9822,162.698,5
Sector 2,4,20,"Jones, Ed",D/C/F,00:01.9852,162.452,4
Sector 2,5,22,"Pagenaud, Simon",D/C/F,00:02.0008,161.186,7
Sector 2,6,98,"Andretti, Marco",D/H/F,00:02.0014,161.137,5
Sector 2,7,9,"Dixon, Scott",D/H/F,00:02.0027,161.033,7
Sector 2,8,59,"Chilton, Max",D/C/F,00:02.0030,161.008,5
Sector 2,9,26,"Veach, Zach",D/H/F,00:02.0031,161.000,5
Sector 2,10,28,"Hunter-Reay, Ryan",D/H/F,00:02.0034,160.976,8
Sector 2,11,30,"Sato, Takuma",D/H/F,00:02.0041,160.920,9
Sector 2,12,27,"Rossi, Alexander",D/H/F,00:02.0054,160.816,4
Sector 2,13,7,"Ericsson, Marcus (R)",D/H/F,00:02.0112,160.352,4
Sector 2,14,10,"Rosenqvist, Felix (R)",D/H/F,00:02.0146,160.081,9
Sector 2,15,15,"Rahal, Graham",D/H/F,00:02.0149,160.058,6
Sector 2,16,21,"Pigot, Spencer",D/C/F,00:02.0177,159.835,8
Sector 2,17,60,"Harvey, Jack",D/H/F,00:02.0236,159.369,1
Sector 2,18,2,"Newgarden, Josef",D/C/F,00:02.0252,159.244,4
Sector 2,19,31,"O'Ward, Patricio (R)",D/C/F,00:02.0280,159.024,6
Sector 2,20,18,"Bourdais, Sebastien",D/H/F,00:02.0289,158.953,4
Sector 2,21,4,"Leist, Matheus",D/C/F,00:02.0324,158.679,3
Sector 2,22,19,"Ferrucci, Santino (R)",D/H/F,00:02.0383,158.220,1
Sector 2,23,32,"Kaiser, Kyle (R)",D/C/F,00:02.0462,157.609,8
Sector 2,24,14,"Kanaan, Tony",D/C/F,00:02.0476,157.501,6
Sector 3,1,30,"Sato, Takuma",D/H/F,00:07.0386,75.557,8
Sector 3,2,31,"O'Ward, Patricio (R)",D/C/F,00:07.0482,75.454,5
Sector 3,3,21,"Pigot, Spencer",D/C/F,00:07.0521,75.413,10
Sector 3,4,9,"Dixon, Scott",D/H/F,00:07.0683,75.240,11
Sector 3,5,10,"Rosenqvist, Felix (R)",D/H/F,00:07.0691,75.231,7
Sector 3,6,15,"Rahal, Graham",D/H/F,00:07.0807,75.108,9
Sector 3,7,12,"Power, Will",D/C/F,00:07.0859,75.053,8
Sector 3,8,18,"Bourdais, Sebastien",D/H/F,00:07.0945,74.962,8
Sector 3,9,88,"Herta, Colton (R)",D/H/F,00:07.0961,74.945,10
Sector 3,10,22,"Pagenaud, Simon",D/C/F,00:07.1005,74.899,6
Sector 3,11,28,"Hunter-Reay, Ryan",D/H/F,00:07.1108,74.790,5
Sector 3,12,60,"Harvey, Jack",D/H/F,00:07.1241,74.651,1
Sector 3,13,98,"Andretti, Marco",D/H/F,00:07.1241,74.651,9
Sector 3,14,2,"Newgarden, Josef",D/C/F,00:07.1296,74.593,7
Sector 3,15,59,"Chilton, Max",D/C/F,00:07.1316,74.572,4
Sector 3,16,27,"Rossi, Alexander",D/H/F,00:07.1327,74.561,9
Sector 3,17,19,"Ferrucci, Santino (R)",D/H/F,00:07.1345,74.542,4
Sector 3,18,26,"Veach, Zach",D/H/F,00:07.1417,74.467,10
Sector 3,19,7,"Ericsson, Marcus (R)",D/H/F,00:07.1471,74.410,6
Sector 3,20,14,"Kanaan, Tony",D/C/F,00:07.1535,74.344,6
Sector 3,21,20,"Jones, Ed",D/C/F,00:07.1581,74.296,4
Sector 3,22,5,"Hinchcliffe, James",D/H/F,00:07.1651,74.223,6
Sector 3,23,32,"Kaiser, Kyle (R)",D/C/F,00:07.1920,73.946,5
Sector 3,24,4,"Leist, Matheus",D/C/F,00:07.2262,73.596,2
Sector 4,1,18,"Bourdais, Sebastien",D/H/F,00:03.6019,139.510,5
Sector 4,2,9,"Dixon, Scott",D/H/F,00:03.6209,138.778,7
Sector 4,3,30,"Sato, Takuma",D/H/F,00:03.6233,138.686,6
Sector 4,4,88,"Herta, Colton (R)",D/H/F,00:03.6278,138.514,5
Sector 4,5,12,"Power, Will",D/C/F,00:03.6389,138.091,7
Sector 4,6,27,"Rossi, Alexander",D/H/F,00:03.6417,137.985,6
Sector 4,7,21,"Pigot, Spencer",D/C/F,00:03.6461,137.818,5
Sector 4,8,28,"Hunter-Reay, Ryan",D/H/F,00:03.6463,137.811,8
Sector 4,9,15,"Rahal, Graham",D/H/F,00:03.6566,137.423,8
Sector 4,10,60,"Harvey, Jack",D/H/F,00:03.6568,137.415,0
Sector 4,11,10,"Rosenqvist, Felix (R)",D/H/F,00:03.6575,137.389,7
Sector 4,12,20,"Jones, Ed",D/C/F,00:03.6582,137.363,4
Sector 4,13,19,"Ferrucci, Santino (R)",D/H/F,00:03.6612,137.250,1
Sector 4,14,22,"Pagenaud, Simon",D/C/F,00:03.6626,137.198,9
Sector 4,15,2,"Newgarden, Josef",D/C/F,00:03.6685,136.977,4
Sector 4,16,59,"Chilton, Max",D/C/F,00:03.6687,136.969,4
Sector 4,17,5,"Hinchcliffe, James",D/H/F,00:03.6713,136.872,5
Sector 4,18,7,"Ericsson, Marcus (R)",D/H/F,00:03.6718,136.854,7
Sector 4,19,98,"Andretti, Marco",D/H/F,00:03.6807,136.523,5
Sector 4,20,26,"Veach, Zach",D/H/F,00:03.6849,136.367,10
Sector 4,21,14,"Kanaan, Tony",D/C/F,00:03.6859,136.330,4
Sector 4,22,4,"Leist, Matheus",D/C/F,00:03.6911,136.138,3
Sector 4,23,32,"Kaiser, Kyle (R)",D/C/F,00:03.6928,136.076,5
Sector 4,24,31,"O'Ward, Patricio (R)",D/C/F,00:03.7245,134.917,10
Sector 5,1,88,"Herta, Colton (R)",D/H/F,00:03.9499,156.391,6
Sector 5,2,12,"Power, Will",D/C/F,00:03.9532,156.260,2
Sector 5,3,28,"Hunter-Reay, Ryan",D/H/F,00:03.9597,156.004,8
Sector 5,4,26,"Veach, Zach",D/H/F,00:03.9625,155.893,8
Sector 5,5,7,"Ericsson, Marcus (R)",D/H/F,00:03.9752,155.395,7
Sector 5,6,19,"Ferrucci, Santino (R)",D/H/F,00:03.9785,155.266,4
Sector 5,7,27,"Rossi, Alexander",D/H/F,00:03.9903,154.807,9
Sector 5,8,31,"O'Ward, Patricio (R)",D/C/F,00:03.9976,154.525,5
Sector 5,9,21,"Pigot, Spencer",D/C/F,00:03.9998,154.440,10
Sector 5,10,18,"Bourdais, Sebastien",D/H/F,00:04.0080,154.124,5
Sector 5,11,98,"Andretti, Marco",D/H/F,00:04.0338,153.138,10
Sector 5,12,22,"Pagenaud, Simon",D/C/F,00:04.0350,153.092,7
Sector 5,13,4,"Leist, Matheus",D/C/F,00:04.0389,152.944,3
Sector 5,14,9,"Dixon, Scott",D/H/F,00:04.0398,152.910,9
Sector 5,15,2,"Newgarden, Josef",D/C/F,00:04.0419,152.831,8
Sector 5,16,59,"Chilton, Max",D/C/F,00:04.0513,152.476,8
Sector 5,17,60,"Harvey, Jack",D/H/F,00:04.0537,152.386,1
Sector 5,18,20,"Jones, Ed",D/C/F,00:04.0556,152.315,3
Sector 5,19,10,"Rosenqvist, Felix (R)",D/H/F,00:04.0568,152.270,10
Sector 5,20,15,"Rahal, Graham",D/H/F,00:04.0610,152.112,6
Sector 5,21,30,"Sato, Takuma",D/H/F,00:04.0645,151.981,9
Sector 5,22,5,"Hinchcliffe, James",D/H/F,00:04.0665,151.906,5
