Section,Rank,Car,Driver,C/E/T,Time,Speed,Lap
Full Lap,1,5,"Hinchcliffe, James",D/H/F,01:08.9994,120.001,6
Full Lap,2,88,"Herta, Colton (R)",D/H/F,01:09.0084,119.985,3
Full Lap,3,19,"Ferrucci, Santino (R)",D/H/F,01:09.0461,119.92,2
Full Lap,4,18,"Bourdais, Sebastien",D/H/F,01:09.0968,119.832,4
Full Lap,5,27,"Rossi, Alexander",D/H/F,01:09.1140,119.802,1
Full Lap,6,28,"Hunter-Reay, Ryan",D/H/F,01:09.1545,119.732,1
Full Lap,7,21,"Pigot, Spencer",D/C/F,01:09.2055,119.644,3
Full Lap,8,31,"O'Ward, Patricio (R)",D/C/F,01:09.2729,119.527,3
Full Lap,9,98,"Andretti, Marco",D/H/F,01:09.3113,119.461,1
Full Lap,10,9,"Dixon, Scott",D/H/F,01:09.4079,119.295,2
Full Lap,11,12,"Power, Will",D/C/F,01:09.4166,119.28,3
Full Lap,12,26,"Veach, Zach",D/H/F,01:09.4320,119.253,4
Full Lap,13,30,"Sato, Takuma",D/H/F,01:09.4532,119.217,3
Full Lap,14,7,"Ericsson, Marcus (R)",D/H/F,01:09.5385,119.071,3
Full Lap,15,22,"Pagenaud, Simon",D/C/F,01:09.5546,119.043,11
Full Lap,16,15,"Rahal, Graham",D/H/F,01:09.5660,119.024,2
Full Lap,17,10,"Rosenqvist, Felix (R)",D/H/F,01:09.5986,118.968,3
Full Lap,18,2,"Newgarden, Josef",D/C/F,01:09.6309,118.913,3
Full Lap,19,60,"Harvey, Jack",D/H/F,01:09.8179,118.594,2
Full Lap,20,4,"Leist, Matheus",D/C/F,01:09.8893,118.473,13
Full Lap,21,14,"Kanaan, Tony",D/C/F,01:09.8971,118.46,1
Full Lap,22,20,"Jones, Ed",D/C/F,01:10.0486,118.204,2
Full Lap,23,59,"Chilton, Max",D/C/F,01:10.0909,118.132,14
Full Lap,24,81,"Hanley, Ben (R)",D/C/F,01:10.7354,117.056,2
Sector 1,1,60,"Harvey, Jack",D/H/F,00:01.8623,163.288,14
Sector 1,2,26,"Veach, Zach",D/H/F,00:01.8637,163.165,10
Sector 1,3,10,"Rosenqvist, Felix (R)",D/H/F,00:01.8642,163.121,3
Sector 1,4,88,"Herta, Colton (R)",D/H/F,00:01.8649,163.06,13
Sector 1,5,27,"Rossi, Alexander",D/H/F,00:01.8654,163.016,1
Sector 1,6,5,"Hinchcliffe, James",D/H/F,00:01.8663,162.938,3
Sector 1,7,28,"Hunter-Reay, Ryan",D/H/F,00:01.8664,162.929,2
Sector 1,8,21,"Pigot, Spencer",D/C/F,00:01.8665,162.92,12
Sector 1,9,20,"Jones, Ed",D/C/F,00:01.8694,162.668,12
Sector 1,10,18,"Bourdais, Sebastien",D/H/F,00:01.8707,162.555,7
Sector 1,11,9,"Dixon, Scott",D/H/F,00:01.8708,162.546,2
Sector 1,12,19,"Ferrucci, Santino (R)",D/H/F,00:01.8725,162.398,2
Sector 1,13,15,"Rahal, Graham",D/H/F,00:01.8742,162.251,11
Sector 1,14,98,"Andretti, Marco",D/H/F,00:01.8751,162.173,1
Sector 1,15,30,"Sato, Takuma",D/H/F,00:01.8753,162.156,3
Sector 1,16,31,"O'Ward, Patricio (R)",D/C/F,00:01.8776,161.957,5
Sector 1,17,14,"Kanaan, Tony",D/C/F,00:01.8815,161.622,1
Sector 1,18,59,"Chilton, Max",D/C/F,00:01.8828,161.51,14
Sector 1,19,12,"Power, Will",D/C/F,00:01.8864,161.202,1
Sector 1,20,7,"Ericsson, Marcus (R)",D/H/F,00:01.8875,161.108,3
Sector 1,21,81,"Hanley, Ben (R)",D/C/F,00:01.8881,161.057,16
Sector 1,22,4,"Leist, Matheus",D/C/F,00:01.8931,160.631,13
Sector 1,23,22,"Pagenaud, Simon",D/C/F,00:01.8954,160.436,8
Sector 1,24,2,"Newgarden, Josef",D/C/F,00:01.9081,159.368,3
Sector 2,1,88,"Herta, Colton (R)",D/H/F,00:10.0342,103.419,3
Sector 2,2,9,"Dixon, Scott",D/H/F,00:10.0480,103.277,2
Sector 2,3,98,"Andretti, Marco",D/H/F,00:10.0655,103.097,1
Sector 2,4,19,"Ferrucci, Santino (R)",D/H/F,00:10.0701,103.05,2
Sector 2,5,28,"Hunter-Reay, Ryan",D/H/F,00:10.0733,103.018,1
Sector 2,6,21,"Pigot, Spencer",D/C/F,00:10.0881,102.866,3
Sector 2,7,18,"Bourdais, Sebastien",D/H/F,00:10.0955,102.791,2
Sector 2,8,7,"Ericsson, Marcus (R)",D/H/F,00:10.1210,102.532,9
Sector 2,9,5,"Hinchcliffe, James",D/H/F,00:10.1237,102.505,6
Sector 2,10,2,"Newgarden, Josef",D/C/F,00:10.1305,102.436,1
Sector 2,11,27,"Rossi, Alexander",D/H/F,00:10.1444,102.296,1
Sector 2,12,30,"Sato, Takuma",D/H/F,00:10.1530,102.209,10
Sector 2,13,12,"Power, Will",D/C/F,00:10.1547,102.192,3
Sector 2,14,22,"Pagenaud, Simon",D/C/F,00:10.1552,102.187,3
Sector 2,15,31,"O'Ward, Patricio (R)",D/C/F,00:10.1569,102.17,1
Sector 2,16,60,"Harvey, Jack",D/H/F,00:10.1761,101.977,14
Sector 2,17,10,"Rosenqvist, Felix (R)",D/H/F,00:10.1769,101.969,3
Sector 2,18,26,"Veach, Zach",D/H/F,00:10.2035,101.703,12
Sector 2,19,14,"Kanaan, Tony",D/C/F,00:10.2395,101.346,9
Sector 2,20,4,"Leist, Matheus",D/C/F,00:10.2452,101.289,3
Sector 2,21,20,"Jones, Ed",D/C/F,00:10.2468,101.273,2
Sector 2,22,59,"Chilton, Max",D/C/F,00:10.2773,100.973,2
Sector 2,23,15,"Rahal, Graham",D/H/F,00:10.3049,100.702,10
Sector 2,24,81,"Hanley, Ben (R)",D/C/F,00:10.3998,99.783,14
Sector 3,1,5,"Hinchcliffe, James",D/H/F,00:12.3483,110.154,5
Sector 3,2,88,"Herta, Colton (R)",D/H/F,00:12.3484,110.154,5
Sector 3,3,12,"Power, Will",D/C/F,00:12.3558,110.088,10
Sector 3,4,19,"Ferrucci, Santino (R)",D/H/F,00:12.3591,110.059,2
Sector 3,5,18,"Bourdais, Sebastien",D/H/F,00:12.3638,110.017,2
Sector 3,6,27,"Rossi, Alexander",D/H/F,00:12.3745,109.922,1
Sector 3,7,15,"Rahal, Graham",D/H/F,00:12.3778,109.892,5
Sector 3,8,30,"Sato, Takuma",D/H/F,00:12.3839,109.838,9
Sector 3,9,10,"Rosenqvist, Felix (R)",D/H/F,00:12.3901,109.783,3
Sector 3,10,9,"Dixon, Scott",D/H/F,00:12.4166,109.549,1
Sector 3,11,7,"Ericsson, Marcus (R)",D/H/F,00:12.4174,109.542,9
Sector 3,12,22,"Pagenaud, Simon",D/C/F,00:12.4260,109.466,10
Sector 3,13,26,"Veach, Zach",D/H/F,00:12.4342,109.394,4
Sector 3,14,28,"Hunter-Reay, Ryan",D/H/F,00:12.4455,109.295,1
Sector 3,15,2,"Newgarden, Josef",D/C/F,00:12.4488,109.266,13
Sector 3,16,21,"Pigot, Spencer",D/C/F,00:12.4619,109.151,11
Sector 3,17,31,"O'Ward, Patricio (R)",D/C/F,00:12.4660,109.115,3
Sector 3,18,98,"Andretti, Marco",D/H/F,00:12.4803,108.99,1
Sector 3,19,4,"Leist, Matheus",D/C/F,00:12.4878,108.924,13
Sector 3,20,20,"Jones, Ed",D/C/F,00:12.5083,108.746,1
Sector 3,21,60,"Harvey, Jack",D/H/F,00:12.5127,108.708,2
Sector 3,22,14,"Kanaan, Tony",D/C/F,00:12.5194,108.65,2
Sector 3,23,59,"Chilton, Max",D/C/F,00:12.5304,108.554,1
Sector 3,24,81,"Hanley, Ben (R)",D/C/F,00:12.5642,108.262,4
