track,raceNumber,year,type,fin,st,num,driver,sponsor,C/E/T,laps,money,status,led,pts,ledPts,ledMostPts,polePoints,atp,atp25,xPtsATP,xPtsATP25,xPts,passesFor,passesAgainst,lapOneChange,inTopFive,fastLapRank,date
Pocono,13,2016,oval,13,17,8,Max Chilton,Gallagher   (Chip Ganassi),D/C/F,200,44667,running,0,17,0,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,14,12,41,Jack Hawksworth,ABC Supply Co.   (A.J. Foyt),D/H/F,200,44667,running,0,16,0,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,15,16,83,Charlie Kimball,Tresiba   (Chip Ganassi),D/C/F,199,44667,running,0,15,0,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,16,20,88,Conor Daly,BC Forever   (Dale Coyne),D/H/F,198,44667,running,0,14,0,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,17,21,19,Pippa Mann,Boy Scouts of America   (Dale Coyne),D/H/F,197,44667,running,0,13,0,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,18,14,22,Simon Pagenaud,Menards   (Roger Penske),D/C/F,157,44667,crash,1,13,1,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,19,4,3,Helio Castroneves,Hitachi   (Roger Penske),D/C/F,63,44667,crash,0,11,0,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,20,7,98,Alexander Rossi,Castrol Edge / Curb   (AHA with Curb-Agajanian),D/H/F,63,44667,crash,4,11,1,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,21,10,20,Ed Carpenter,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,57,20000,electrical,0,9,0,,,,,,,,,,,,,8/22/2016
Pocono,13,2016,oval,22,3,14,Takuma Sato,ABC Supply Co.   (A.J. Foyt),D/H/F,1,44667,crash,0,8,0,,,,,,,,,,,,,8/22/2016
Texas,14,2016,oval,1,13,15,Graham Rahal,Mi-Jack / Penngrade Motor Oil   (Rahal Letterman Lanigan Racing),D/H/F,248,74667,running,1,51,1,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,2,10,5,James Hinchcliffe,Arrow   (Schmidt Peterson Motorsports),D/H/F,248,64667,running,188,18,1,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,3,8,10,Tony Kanaan,NTT Data   (Chip Ganassi),D/C/F,248,59667,running,1,36,1,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,4,6,22,Simon Pagenaud,Hewlett Packard Enterprise   (Roger Penske),D/C/F,248,55667,running,0,32,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,5,3,3,Helio Castroneves,AAA Insurance   (Roger Penske),D/C/F,248,54667,running,7,31,1,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,6,15,83,Charlie Kimball,Tresiba   (Chip Ganassi),D/C/F,247,53667,running,0,28,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,7,1,26,Carlos Munoz,Andretti Autosport,D/H/F,247,62667,running,37,28,1,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,8,7,12,Will Power,Verizon   (Roger Penske),D/C/F,247,50667,running,0,24,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,9,17,2,Juan Pablo Montoya,hum by Verizon   (Roger Penske),D/C/F,246,49667,running,0,22,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,10,18,11,Sebastien Bourdais,Hydroxycut   (KVSH Racing),D/C/F,246,48667,running,0,20,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,11,9,98,Alexander Rossi,Castrol Edge / Curb   (AHA with Curb-Agajanian),D/H/F,246,47667,running,0,19,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,12,12,27,Marco Andretti,Snapple   (Andretti Autosport),D/H/F,245,46667,running,0,18,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,13,11,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,245,44667,running,11,18,1,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,14,22,19,Gabby Chaves,Boy Scouts of America   (Dale Coyne),D/H/F,245,44667,running,0,16,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,15,19,8,Max Chilton,Gallagher   (Chip Ganassi),D/C/F,243,44667,running,0,15,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,16,16,7,Mikhail Aleshin,Schmidt Peterson Motorsports,D/H/F,231,44667,crash,0,14,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,17,20,41,Jack Hawksworth,ABC Supply Co.   (A.J. Foyt),D/H/F,227,44667,crash,0,13,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,18,14,20,Ed Carpenter,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,223,20000,crash,1,13,1,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,19,2,9,Scott Dixon,Target   (Chip Ganassi),D/C/F,211,44667,crash,0,11,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,20,4,14,Takuma Sato,ABC Supply Co.   (A.J. Foyt),D/H/F,160,44667,handling,0,10,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,21,21,18,Conor Daly,Jonathan Byrd's Hospitality   (Dale Coyne),D/H/F,42,44667,crash,0,9,0,,,,,,,,,,,,,8/27/2016
Texas,14,2016,oval,22,5,21,Josef Newgarden,Fuzzy's Ultra Premium Vodka   (Ed Carpenter Racing),D/C/F,41,44667,crash,2,9,1,,,,,,,,,,,,,8/27/2016
Watkins Glen,15,2016,road,1,1,9,Scott Dixon,Target   (Chip Ganassi),D/C/F,60,84667,running,50,54,1,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,2,12,21,Josef Newgarden,Fuzzy's Ultra Premium Vodka   (Ed Carpenter Racing),D/C/F,60,64667,running,0,40,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,3,4,3,Helio Castroneves,Hitachi   (Roger Penske),D/C/F,60,59667,running,2,36,1,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,4,17,18,Conor Daly,Jonathan Byrd's Hospitality   (Dale Coyne),D/H/F,60,55667,running,0,32,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,5,3,11,Sebastien Bourdais,Hydroxycut   (KVSH Racing),D/C/F,60,54667,running,0,30,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,6,14,83,Charlie Kimball,Tresiba   (Chip Ganassi),D/C/F,60,53667,running,0,28,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,7,7,22,Simon Pagenaud,Hewlett Packard Enterprise   (Roger Penske),D/C/F,60,52667,running,0,26,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,8,15,98,Alexander Rossi,Castrol Edge / Curb   (AHA with Curb-Agajanian),D/H/F,60,50667,running,0,24,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,9,11,19,R.C. Enerson,Boy Scouts of America   (Dale Coyne),D/H/F,60,49667,running,0,22,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,10,6,8,Max Chilton,Gallagher   (Chip Ganassi),D/C/F,60,48667,running,0,20,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,11,16,26,Carlos Munoz,Andretti Autosport,D/H/F,60,47667,running,3,20,1,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,12,18,27,Marco Andretti,United Fiber & Data / Snapple   (Andretti Autosport),D/H/F,60,46667,running,0,18,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,13,8,2,Juan Pablo Montoya,PPG Automotive Refinish   (Roger Penske),D/C/F,60,44667,running,1,18,1,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,14,19,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,60,44667,running,0,16,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,15,21,20,Spencer Pigot,Samsung / Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,60,20000,running,0,15,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,16,9,41,Jack Hawksworth,ABC Supply Co.   (A.J. Foyt),D/H/F,60,44667,running,0,14,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,17,22,14,Takuma Sato,ABC Supply Co.   (A.J. Foyt),D/H/F,60,44667,running,0,13,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,18,13,5,James Hinchcliffe,Arrow   (Schmidt Peterson Motorsports),D/H/F,59,44667,running,2,13,1,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,19,5,10,Tony Kanaan,NTT Data   (Chip Ganassi),D/C/F,59,44667,running,0,11,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,20,2,12,Will Power,Verizon   (Roger Penske),D/C/F,38,44667,crash,2,11,1,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,21,20,15,Graham Rahal,Rahal Letterman Lanigan Racing,D/H/F,19,44667,crash,0,9,0,,,,,,,,,,,,,9/4/2016
Watkins Glen,15,2016,road,22,10,7,Mikhail Aleshin,Schmidt Peterson Motorsports,D/H/F,14,44667,crash,0,8,0,,,,,,,,,,,,,9/4/2016
Sonoma,16,2016,road,1,1,22,Simon Pagenaud,Hewlett Packard Enterprise   (Roger Penske),D/C/F,85,1084667,running,76,104,1,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,2,5,15,Graham Rahal,Steak 'n Shake   (Rahal Letterman Lanigan Racing),D/H/F,85,64667,running,2,81,1,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,3,3,2,Juan Pablo Montoya,hum by Verizon   (Roger Penske),D/C/F,85,59667,running,0,70,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,4,6,28,Ryan Hunter-Reay,DHL / Autonation   (Andretti Autosport),D/H/F,85,55667,running,0,64,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,5,8,98,Alexander Rossi,Alarm.com / Curb Records   (AHA with Curb-Agajanian),D/H/F,85,54667,running,0,60,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,6,10,21,Josef Newgarden,Fuzzy's Ultra Premium Vodka   (Ed Carpenter Racing),D/C/F,85,53667,running,0,56,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,7,2,3,Helio Castroneves,Hitachi   (Roger Penske),D/C/F,85,52667,running,7,53,1,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,8,14,27,Marco Andretti,Snapple   (Andretti Autosport),D/H/F,85,50667,running,0,48,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,9,12,83,Charlie Kimball,Tresiba   (Chip Ganassi),D/C/F,85,49667,running,0,44,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,10,9,11,Sebastien Bourdais,Plantronics / Hydroxycut   (KVSH Racing),D/C/F,85,48667,running,0,40,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,11,11,7,Mikhail Aleshin,Schmidt Peterson Motorsports,D/H/F,85,47667,running,0,38,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,12,20,5,James Hinchcliffe,Arrow   (Schmidt Peterson Motorsports),D/H/F,85,46667,running,0,36,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,13,13,10,Tony Kanaan,NTT Data   (Chip Ganassi),D/C/F,85,44667,running,0,34,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,14,15,14,Takuma Sato,ABC Supply Co.   (A.J. Foyt),D/H/F,85,44667,running,0,32,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,15,16,26,Carlos Munoz,hhgregg   (Andretti Autosport),D/H/F,85,44667,running,0,30,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,16,18,8,Max Chilton,Gallagher   (Chip Ganassi),D/C/F,85,44667,running,0,28,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,17,7,9,Scott Dixon,Target   (Chip Ganassi),D/C/F,85,44667,running,0,26,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,18,17,41,Jack Hawksworth,ABC Supply Co.   (A.J. Foyt),D/H/F,84,44667,running,0,24,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,19,22,19,R.C. Enerson,Boy Scouts of America   (Dale Coyne),D/H/F,84,44667,running,0,22,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,20,4,12,Will Power,Verizon   (Roger Penske),D/C/F,77,44667,running,0,20,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,21,21,18,Conor Daly,Jonathan Byrd's Hospitality   (Dale Coyne),D/H/F,36,44667,exhaust,0,18,0,,,,,,,,,,,,,9/18/2016
Sonoma,16,2016,road,22,19,20,Spencer Pigot,Samsung / Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,35,20000,gearbox,0,16,0,,,,,,,,,,,,,9/18/2016
St. Petersburg,1,2015,street,1,4,2,Juan Pablo Montoya,Verizon   (Roger Penske),D/C/F,110,89375,running,27,51,1,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,2,1,1,Will Power,Verizon   (Roger Penske),D/C/F,110,89375,running,75,44,1,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,3,7,10,Tony Kanaan,NTT Data   (Chip Ganassi),D/C/F,110,74375,running,0,35,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,4,3,3,Helio Castroneves,Hitachi   (Roger Penske),D/C/F,110,70375,running,1,33,1,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,5,2,22,Simon Pagenaud,Penske Truck Rental   (Roger Penske),D/C/F,110,30000,running,2,31,1,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,6,6,11,Sebastien Bourdais,Hydroxycut   (KVSH Racing),D/C/F,110,68375,running,0,28,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,7,8,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,110,67375,running,0,26,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,8,21,41,Jack Hawksworth,ABC Supply Co.   (A.J. Foyt),D/H/F,110,21000,running,5,25,1,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,9,19,20,Luca Filippi,Fuzzy's Vodka   (CFH Racing),D/C/F,110,64375,running,0,22,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,10,12,27,Marco Andretti,Snapple   (Andretti Autosport),D/H/F,110,63375,running,0,20,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,11,15,15,Graham Rahal,Mi-Jack   (Rahal Letterman Lanigan Racing),D/H/F,110,62375,running,0,19,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,12,10,67,Josef Newgarden,Hartman Oil   (CFH Racing),D/C/F,110,61375,running,0,18,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,13,5,14,Takuma Sato,ABC Supply Co.   (A.J. Foyt),D/H/F,110,59375,running,0,17,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,14,14,26,Carlos Munoz,AndrettiTV.com   (Andretti Autosport),D/H/F,110,59375,running,0,16,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,15,9,9,Scott Dixon,Target   (Chip Ganassi),D/C/F,110,59375,running,0,15,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,16,16,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,110,59375,running,0,14,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,17,22,98,Gabby Chaves,Bowers & Wilkins / Curb   (BHA with Curb-Agajanian),D/H/F,110,59375,running,0,13,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,18,11,25,Simona de Silvestro,Duke Energy   (Andretti Autosport),D/H/F,110,10000,running,0,12,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,19,18,8,Sage Karam,GE LED   (Chip Ganassi),D/C/F,109,59375,running,0,11,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,20,17,4,Stefano Coletti,knm   (KV Racing Technology),D/C/F,109,59375,running,0,10,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,21,13,83,Charlie Kimball,NovoLog FlexPen   (Chip Ganassi),D/C/F,109,59375,running,0,9,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,22,20,7,James Jakes,MediaTech   (Schmidt Peterson Motorsports),D/H/F,100,59375,running,0,8,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,23,23,19,Francesco Dracone,Lapasta   (Dale Coyne),D/H/F,70,59375,engine,0,7,0,,,,,,,,,,,,,3/29/2015
St. Petersburg,1,2015,street,24,24,18,Carlos Huertas,Sonny's Real Pit BBQ   (Dale Coyne),D/H/F,19,59375,steering,0,6,0,,,,,,,,,,,,,3/29/2015
NOLA Motorsports Park,2,2015,road,1,16,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,47,99375,running,15,51,1,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,2,4,3,Helio Castroneves,Hitachi   (Roger Penske),D/C/F,47,79375,running,1,41,1,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,3,22,7,James Jakes,MediaTech / Florida Hospital Carrollwood   (Schmidt Peterson Motorsports),D/H/F,47,74375,running,0,35,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,4,18,25,Simona de Silvestro,Ochsner Health System   (Andretti Autosport),D/H/F,47,31000,running,0,32,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,5,1,2,Juan Pablo Montoya,Verizon   (Roger Penske),D/C/F,47,79375,running,31,33,1,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,6,3,10,Tony Kanaan,NTT Data   (Chip Ganassi),D/C/F,47,68375,running,0,28,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,7,2,1,Will Power,Verizon   (Roger Penske),D/C/F,47,67375,running,0,26,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,8,11,15,Graham Rahal,D-A Lubricant Company   (Rahal Letterman Lanigan Racing),D/H/F,47,65375,running,0,24,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,9,12,67,Josef Newgarden,Hartman Oil   (CFH Racing),D/C/F,47,64375,running,0,22,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,10,9,20,Luca Filippi,Fuzzy's Vodka   (CFH Racing),D/C/F,47,63375,running,0,20,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,11,15,9,Scott Dixon,Brita   (Chip Ganassi),D/C/F,47,62375,running,0,19,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,12,14,26,Carlos Munoz,AndrettiTV.com   (Andretti Autosport),D/H/F,47,61375,running,0,18,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,13,10,27,Marco Andretti,Merchant First / Snapple   (Andretti Autosport),D/H/F,47,59375,running,0,17,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,14,21,83,Charlie Kimball,NovoLog FlexPen   (Chip Ganassi),D/C/F,47,59375,running,0,16,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,15,17,98,Gabby Chaves,Bowers & Wilkins / Curb   (BHA with Curb-Agajanian),D/H/F,46,59375,running,0,15,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,16,24,18,Carlos Huertas,Dale Coyne,D/H/F,46,59375,running,0,14,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,17,20,4,Stefano Coletti,Variable Bore Rams   (KV Racing Technology),D/C/F,44,59375,running,0,13,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,18,19,8,Sage Karam,Comfort Revolution / Big Machine Records   (Chip Ganassi),D/C/F,44,59375,running,0,12,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,19,7,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,43,59375,crash,0,8,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,20,5,22,Simon Pagenaud,Penske Truck Rental   (Roger Penske),D/C/F,43,15000,crash,0,10,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,21,6,11,Sebastien Bourdais,Mistic E-Cigs   (KVSH Racing),D/C/F,43,59375,crash,0,9,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,22,13,14,Takuma Sato,ABC Supply Co.   (A.J. Foyt),D/H/F,39,59375,crash,0,8,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,23,23,19,Francesco Dracone,Dale Coyne,D/H/F,23,59375,crash,0,7,0,,,,,,,,,,,,,4/12/2015
NOLA Motorsports Park,2,2015,road,24,8,41,Jack Hawksworth,ABC Supply Co.   (A.J. Foyt),D/H/F,19,10000,crash,0,6,0,,,,,,,,,,,,,4/12/2015
Long Beach,3,2015,street,1,3,9,Scott Dixon,Target   (Chip Ganassi),D/C/F,80,89375,running,44,53,1,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,2,1,3,Helio Castroneves,Auto Club of Southern California   (Roger Penske),D/C/F,80,89375,running,31,42,1,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,3,2,2,Juan Pablo Montoya,Verizon   (Roger Penske),D/C/F,80,74375,running,0,35,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,4,5,22,Simon Pagenaud,Penske Truck Rental   (Roger Penske),D/C/F,80,31000,running,0,32,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,5,7,10,Tony Kanaan,NTT Data   (Chip Ganassi),D/C/F,80,79375,running,0,30,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,6,9,11,Sebastien Bourdais,Hydroxycut   (KVSH Racing),D/C/F,80,68375,running,1,29,1,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,7,6,67,Josef Newgarden,Hartman Oil   (CFH Racing),D/C/F,80,67375,running,0,26,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,8,10,27,Marco Andretti,Merchant First / Snapple   (Andretti Autosport),D/H/F,80,65375,running,0,24,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,9,12,26,Carlos Munoz,AndrettiTV.com   (Andretti Autosport),D/H/F,80,64375,running,0,22,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,10,11,8,Sebastian Saavedra,AFS   (Chip Ganassi),D/C/F,80,63375,running,0,20,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,11,8,15,Graham Rahal,Steak 'n Shake / Maxim   (Rahal Letterman Lanigan Racing),D/H/F,80,62375,running,0,19,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,12,13,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,80,61375,running,0,18,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,13,4,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,80,59375,running,0,17,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,14,16,41,Jack Hawksworth,ABC Supply Co.   (A.J. Foyt),D/H/F,80,15000,running,4,17,1,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,15,15,83,Charlie Kimball,NovoLog FlexPen   (Chip Ganassi),D/C/F,80,59375,running,0,15,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,16,17,98,Gabby Chaves,Bowers & Wilkins / King Taco   (BHA with Curb-Agajanian),D/H/F,80,59375,running,0,14,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,17,21,18,Conor Daly,King Taco / Trench Shoring Company   (Dale Coyne),D/H/F,80,59375,running,0,13,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,18,20,14,Takuma Sato,ABC Supply Co.   (A.J. Foyt),D/H/F,80,59375,running,0,12,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,19,19,7,James Jakes,Launch Consulting / MediaTech   (Schmidt Peterson Motorsports),D/H/F,80,59375,running,0,11,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,20,18,1,Will Power,Verizon   (Roger Penske),D/C/F,79,59375,running,0,10,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,21,22,19,Francesco Dracone,Lapasta   (Dale Coyne),D/H/F,78,59375,running,0,9,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,22,14,20,Luca Filippi,Fuzzy's Vodka   (CFH Racing),D/C/F,77,59375,running,0,8,0,,,,,,,,,,,,,4/19/2015
Long Beach,3,2015,street,23,23,4,Stefano Coletti,Variable Bore Rams   (KV Racing Technology),D/C/F,69,59375,running,0,7,0,,,,,,,,,,,,,4/19/2015
Barber,4,2015,road,1,5,67,Josef Newgarden,Hartman Oil   (CFH Racing),D/C/F,90,89375,running,46,53,1,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,2,8,15,Graham Rahal,Steak 'n Shake / Maxim   (Rahal Letterman Lanigan Racing),D/H/F,90,79375,running,17,41,1,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,3,4,9,Scott Dixon,Coca-Cola   (Chip Ganassi),D/C/F,90,74375,running,2,36,1,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,4,2,1,Will Power,Verizon   (Roger Penske),D/C/F,90,70375,running,0,32,0,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,5,18,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,90,69375,running,0,30,0,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,6,22,26,Carlos Munoz,AndrettiTV.com   (Andretti Autosport),D/H/F,90,68375,running,0,28,0,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,7,10,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,90,67375,running,1,27,1,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,8,7,11,Sebastien Bourdais,Mistic E-Cigs   (KVSH Racing),D/C/F,90,65375,running,2,25,1,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,9,3,22,Simon Pagenaud,Penske Truck Rental   (Roger Penske),D/C/F,90,25000,running,3,23,1,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,10,13,27,Marco Andretti,Merchant First / Snapple   (Andretti Autosport),D/H/F,90,73375,running,0,20,0,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,11,9,20,Luca Filippi,Fuzzy's Vodka   (CFH Racing),D/C/F,90,62375,running,0,19,0,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,12,11,83,Charlie Kimball,NovoLog FlexPen   (Chip Ganassi),D/C/F,90,61375,running,0,18,0,,,,,,,,,,,,,4/26/2015
Barber,4,2015,road,13,6,10,Tony Kanaan,NTT Data   (Chip Ganassi),D/C/F,90,59375,running,0,17,0,,,,,,,,,,,,,4/26/2015
