track,raceNumber,year,type,fin,st,num,driver,sponsor,C/E/T,laps,money,status,led,pts,ledPts,ledMostPts,polePoints,atp,atp25,xPtsATP,xPtsATP25,xPts,passesFor,passesAgainst,lapOneChange,inTopFive,fastLapRank,date
Phoenix,2,2018,oval,6,5,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,250,,running,20,29,1,0,0,4.912350598,4.063492063,30,32,31,34,35,-3,183,,4/7/2018
Phoenix,2,2018,oval,7,18,20,Ed Carpenter,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,250,,running,0,26,0,0,0,10.09163347,8.412698413,20,24,20,34,23,1,5,,4/7/2018
Phoenix,2,2018,oval,8,9,14,Tony Kanaan,ABC Supply Co.   (A.J. Foyt),D/C/F,250,,running,0,24,0,0,0,8.199203187,7.968253968,24,24,24,24,23,0,4,,4/7/2018
Phoenix,2,2018,oval,9,12,15,Graham Rahal,One Cure / United Rentals   (Rahal Letterman Lanigan Racing),D/H/F,250,,running,7,23,1,0,0,9.314741036,10.44444444,22,20,23,33,30,-1,25,,4/7/2018
Phoenix,2,2018,oval,10,2,22,Simon Pagenaud,Menards   (Roger Penske),D/C/F,250,,running,3,21,1,0,0,9.22310757,11.87301587,22,18,23,24,32,0,58,,4/7/2018
Phoenix,2,2018,oval,11,13,30,Takuma Sato,Mi-Jack / Panasonic   (Rahal Letterman Lanigan Racing),D/H/F,250,,running,0,19,0,0,0,10.4063745,10.14285714,20,20,20,26,24,-1,10,,4/7/2018
Phoenix,2,2018,oval,12,20,98,Marco Andretti,Oberto / Circle K / Curb   (AHA with Curb-Agajanian),D/H/F,249,,running,0,18,0,0,0,13.748,13.62903226,16,16,16,29,21,4,0,,4/7/2018
Phoenix,2,2018,oval,13,1,18,Sebastien Bourdais,SealMaster   (Dale Coyne w/Vasser-Sullivan),D/H/F,249,,running,60,19,1,0,1,12.844,9.774193548,17,20,19,38,50,0,68,,4/7/2018
Phoenix,2,2018,oval,14,15,21,Spencer Pigot,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,249,,running,0,16,0,0,0,17.624,16.48387097,12,14,12,24,23,-5,0,,4/7/2018
Phoenix,2,2018,oval,15,19,88,Gabby Chaves,Harding Group   (Harding Racing),D/C/F,249,,running,0,15,0,0,0,16.352,15.33870968,14,15,14,22,18,0,0,,4/7/2018
Phoenix,2,2018,oval,16,23,26,Zach Veach,Group One Thousand One   (Andretti Autosport),D/H/F,249,,running,0,14,0,0,0,15.348,14.59677419,15,15,15,27,20,0,0,,4/7/2018
Phoenix,2,2018,oval,17,22,23,Charlie Kimball,Tresiba   (Trevor Carlin),D/C/F,248,,running,0,13,0,0,0,19.05220884,17.67213115,11,12,11,16,11,0,0,,4/7/2018
Phoenix,2,2018,oval,18,21,59,Max Chilton,Gallagher   (Trevor Carlin),D/C/F,247,,running,0,12,0,0,0,20.12903226,18.68333333,10,11,10,19,16,0,0,,4/7/2018
Phoenix,2,2018,oval,19,16,4,Matheus Leist,ABC Supply Co.   (A.J. Foyt),D/C/F,241,,running,0,11,0,0,0,18.31818182,19.75925926,12,10,12,20,23,1,0,,4/7/2018
Phoenix,2,2018,oval,20,11,10,Ed Jones,NTT Data   (Chip Ganassi),D/H/F,228,,crash,0,10,0,0,0,5.96069869,2.487804878,28,40,28,33,24,1,101,,4/7/2018
Phoenix,2,2018,oval,21,14,32,Kyle Kaiser,Juncos Racing   (Juncos Racing),D/C/F,174,,crash,0,9,0,0,0,15.89142857,,14,,14,16,23,2,0,,4/7/2018
Phoenix,2,2018,oval,22,3,12,Will Power,Verizon   (Roger Penske),D/C/F,153,,crash,80,11,1,2,0,2.707792208,,35,,38,6,19,-1,148,,4/7/2018
Phoenix,2,2018,oval,23,10,19,Pietro Fittipaldi,Paysafe / Embratel   (Dale Coyne),D/H/F,40,,crash,0,7,0,0,0,11,,19,,19,0,3,-1,0,,4/7/2018
Long Beach,3,2018,street,1,1,27,Alexander Rossi,NAPA Auto Parts   (Andretti Autosport),D/H/F,85,,running,71,54,1,2,1,1.76744186,1,40,50,44,15,15,0,78,,4/15/2018
Long Beach,3,2018,street,2,2,12,Will Power,Verizon   (Roger Penske),D/C/F,85,,running,6,41,1,0,0,2.872093023,2.181818182,35,40,36,10,10,0,82,,4/15/2018
Long Beach,3,2018,street,3,13,10,Ed Jones,NTT Data   (Chip Ganassi),D/H/F,85,,running,0,35,0,0,0,9.546511628,3.181818182,20,35,20,29,19,1,22,,4/15/2018
Long Beach,3,2018,street,4,16,26,Zach Veach,Group One Thousand One   (Andretti Autosport),D/H/F,85,,running,0,32,0,0,0,9,4.181818182,22,32,22,29,17,1,22,,4/15/2018
Long Beach,3,2018,street,5,5,15,Graham Rahal,Total / United Rentals   (Rahal Letterman Lanigan Racing),D/H/F,85,,running,0,30,0,0,0,13.39534884,5.5,17,28,17,31,31,2,19,,4/15/2018
Long Beach,3,2018,street,6,20,98,Marco Andretti,U.S. Concrete / Curb   (AHA with Curb-Agajanian),D/H/F,85,,running,0,28,0,0,0,12.25581395,5.863636364,18,28,18,30,16,2,2,,4/15/2018
Long Beach,3,2018,street,7,6,1,Josef Newgarden,Verizon   (Roger Penske),D/C/F,85,,running,3,27,1,0,0,6.860465116,7.5,26,24,27,27,28,1,36,,4/15/2018
Long Beach,3,2018,street,8,11,14,Tony Kanaan,ABC Supply Co.   (A.J. Foyt),D/C/F,85,,running,0,24,0,0,0,8.244186047,8.227272727,24,24,24,28,25,1,8,,4/15/2018
Long Beach,3,2018,street,9,8,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,85,,running,0,22,0,0,0,11.95348837,10.22727273,18,20,18,30,31,1,6,,4/15/2018
Long Beach,3,2018,street,10,23,23,Charlie Kimball,Tresiba   (Trevor Carlin),D/C/F,85,,running,0,20,0,0,0,13.34883721,9.090909091,17,22,17,36,23,0,0,,4/15/2018
Long Beach,3,2018,street,11,4,9,Scott Dixon,PNC Bank / NTT Data   (Chip Ganassi),D/H/F,85,,running,0,19,0,0,0,4.930232558,11.09090909,30,19,30,15,22,0,66,,4/15/2018
Long Beach,3,2018,street,12,17,60,Jack Harvey,AutoNation / SiriusXM   (Michael Shank with SPM),D/H/F,85,,running,0,18,0,0,0,13.09302326,11.72727273,17,18,17,34,29,-4,1,,4/15/2018
Long Beach,3,2018,street,13,9,18,Sebastien Bourdais,SealMaster / Sport Clips   (Dale Coyne w/Vasser-Sullivan),D/H/F,85,,running,4,18,1,0,0,6.372093023,13.22727273,28,17,29,15,20,1,50,,4/15/2018
Long Beach,3,2018,street,14,14,4,Matheus Leist,ABC Supply Co.   (A.J. Foyt),D/C/F,85,,running,0,16,0,0,0,15.27906977,13.13636364,15,17,15,22,21,1,0,,4/15/2018
Long Beach,3,2018,street,15,18,21,Spencer Pigot,Preferred Freezer Service / Direct Supply   (Ed Carpenter Racing),D/C/F,84,,running,0,15,0,0,0,16.31764706,15.71428571,14,14,14,22,19,2,0,,4/15/2018
Long Beach,3,2018,street,16,24,32,Kyle Kaiser,Juncos Racing   (Juncos Racing),D/C/F,84,,running,0,14,0,0,0,19.36470588,17.61904762,11,12,11,20,12,2,0,,4/15/2018
Long Beach,3,2018,street,17,15,59,Max Chilton,Gallagher   (Trevor Carlin),D/C/F,84,,running,0,13,0,0,0,16.12941176,17.95238095,14,12,14,19,21,1,0,,4/15/2018
Long Beach,3,2018,street,18,12,20,Jordan King,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,84,,running,0,12,0,0,0,10.22352941,17.57142857,20,12,20,17,23,1,5,,4/15/2018
Long Beach,3,2018,street,19,19,88,Gabby Chaves,Harding Group   (Harding Racing),D/C/F,83,,running,0,11,0,0,0,19.72619048,19.75,10,10,10,16,16,2,0,,4/15/2018
Long Beach,3,2018,street,20,7,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,81,,running,1,11,1,0,0,11.7804878,14.44444444,18,16,19,31,44,1,11,,4/15/2018
Long Beach,3,2018,street,21,22,30,Takuma Sato,Mi-Jack / Panasonic   (Rahal Letterman Lanigan Racing),D/H/F,74,,running,0,9,0,0,0,15.53333333,21,14,9,14,28,27,2,0,,4/15/2018
Long Beach,3,2018,street,22,10,6,Robert Wickens,Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,73,,running,0,8,0,0,0,17.31081081,22,13,8,13,9,21,1,6,,4/15/2018
Long Beach,3,2018,street,23,21,19,Zachary Claman De Melo,Paysafe / Embratel   (Dale Coyne),D/H/F,58,,crash,0,7,0,0,0,17.42372881,,13,,13,19,13,2,0,,4/15/2018
Long Beach,3,2018,street,24,3,22,Simon Pagenaud,DXC Technology / Verizon   (Roger Penske),D/C/F,0,,crash,0,6,0,0,0,3,,35,,35,0,0,,0,,4/15/2018
Alabama,4,2018,road,1,1,1,Josef Newgarden,Hitachi / Verizon   (Roger Penske),D/C/F,82,,running,73,54,1,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,2,4,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,82,,running,0,40,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,3,5,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,82,,running,0,35,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,4,10,6,Robert Wickens,Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,82,,running,0,32,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,5,3,18,Sebastien Bourdais,SealMaster / Sport Clips   (Dale Coyne w/Vasser-Sullivan),D/H/F,82,,running,9,31,1,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,6,6,9,Scott Dixon,PNC Bank / NTT Data   (Chip Ganassi),D/H/F,82,,running,0,28,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,7,15,15,Graham Rahal,Mi-Jack / United Rentals   (Rahal Letterman Lanigan Racing),D/H/F,82,,running,0,26,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,8,18,30,Takuma Sato,Mi-Jack / Panasonic   (Rahal Letterman Lanigan Racing),D/H/F,82,,running,0,24,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,9,9,22,Simon Pagenaud,Menards / Verizon   (Roger Penske),D/C/F,82,,running,0,22,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,10,7,98,Marco Andretti,Kerauno / Curb / U.S. Concrete   (AHA with Curb-Agajanian),D/H/F,82,,running,0,20,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,11,8,27,Alexander Rossi,Kerauno / MilitaryToMotorsports.com   (Andretti Autosport),D/H/F,82,,running,0,19,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,12,21,4,Matheus Leist,ABC Supply Co.   (A.J. Foyt),D/C/F,82,,running,0,18,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,13,11,26,Zach Veach,Group One Thousand One   (Andretti Autosport),D/H/F,82,,running,0,17,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,14,19,20,Jordan King,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,82,,running,0,16,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,15,17,21,Spencer Pigot,Fuzzy's Vodka / Direct Supply   (Ed Carpenter Racing),D/C/F,81,,running,0,15,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,16,22,32,Rene Binder,Binderholz Tiptop Timber   (Juncos Racing),D/C/F,80,,running,0,14,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,17,20,88,Gabby Chaves,Harding Group   (Harding Racing),D/C/F,80,,running,0,13,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,18,23,14,Tony Kanaan,ABC Supply Co.   (A.J. Foyt),D/C/F,80,,running,0,12,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,19,16,19,Zachary Claman De Melo,Paysafe / Embratel   (Dale Coyne),D/H/F,80,,running,0,11,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,20,12,10,Ed Jones,NTT Data   (Chip Ganassi),D/H/F,64,,misfire,0,10,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,21,2,12,Will Power,Verizon   (Roger Penske),D/C/F,53,,off course,0,9,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,22,13,59,Max Chilton,Gallagher   (Trevor Carlin),D/C/F,34,,electrical,0,8,0,,,,,,,,,,,,,4/23/2018
Alabama,4,2018,road,23,14,23,Charlie Kimball,Tresiba   (Trevor Carlin),D/C/F,10,,crash,0,7,0,,,,,,,,,,,,,4/23/2018
Indianapolis GP,5,2018,road,1,1,12,Will Power,Verizon   (Roger Penske),D/C/F,85,,running,56,54,1,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,2,18,9,Scott Dixon,PNC Bank / NTT Data   (Chip Ganassi),D/H/F,85,,running,0,40,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,3,2,6,Robert Wickens,Lucas Oil / Arrow   (Schmidt Peterson Motorsports),D/H/F,85,,running,20,36,1,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,4,3,18,Sebastien Bourdais,SealMaster / Sport Clips   (Dale Coyne w/Vasser-Sullivan),D/H/F,85,,running,1,33,1,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,5,8,27,Alexander Rossi,NAPA Auto Parts   (Andretti Autosport),D/H/F,85,,running,2,31,1,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,6,10,3,Helio Castroneves,Verizon   (Roger Penske),D/C/F,85,,running,0,28,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,7,4,5,James Hinchcliffe,Arrow / Lucas Oil   (Schmidt Peterson Motorsports),D/H/F,85,,running,0,26,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,8,7,22,Simon Pagenaud,Menards / Verizon   (Roger Penske),D/C/F,85,,running,0,24,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,9,17,15,Graham Rahal,United Rentals / Mi-Jack   (Rahal Letterman Lanigan Racing),D/H/F,85,,running,3,23,1,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,10,11,30,Takuma Sato,Mi-Jack / Panasonic   (Rahal Letterman Lanigan Racing),D/H/F,85,,running,0,20,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,11,6,1,Josef Newgarden,Verizon   (Roger Penske),D/C/F,85,,running,1,20,1,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,12,19,19,Zachary Claman De Melo,Paysafe   (Dale Coyne),D/H/F,85,,running,0,18,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,13,14,98,Marco Andretti,U.S. Concrete / Curb   (AHA with Curb-Agajanian),D/H/F,85,,running,0,17,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,14,12,14,Tony Kanaan,ABC Supply Co.   (A.J. Foyt),D/C/F,85,,running,0,16,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,15,9,21,Spencer Pigot,Preferred Freezer Service / Direct Supply   (Ed Carpenter Racing),D/C/F,85,,running,0,15,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,16,16,59,Max Chilton,Gallagher   (Trevor Carlin),D/C/F,85,,running,0,14,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,17,22,88,Gabby Chaves,Harding Group   (Harding Racing),D/C/F,85,,running,0,13,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,18,13,28,Ryan Hunter-Reay,DHL   (Andretti Autosport),D/H/F,85,,running,0,12,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,19,24,32,Kyle Kaiser,Juncos Racing,D/C/F,85,,running,2,12,1,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,20,23,23,Charlie Kimball,Fiasp   (Trevor Carlin),D/C/F,85,,running,0,10,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,21,21,4,Matheus Leist,ABC Supply Co.   (A.J. Foyt),D/C/F,85,,running,0,9,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,22,15,10,Ed Jones,NTT Data   (Chip Ganassi),D/H/F,84,,running,0,8,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,23,20,26,Zach Veach,Group One Thousand One   (Andretti Autosport),D/H/F,84,,running,0,7,0,,,,,,,,,,,,,5/12/2018
Indianapolis GP,5,2018,road,24,5,20,Jordan King,Fuzzy's Vodka   (Ed Carpenter Racing),D/C/F,83,,running,0,6,0,,,,,,,,,,,,,5/12/2018
