,driver,totalPoints,chamPos,season
0,Alex Palou,552.0,1.0,1
1,Alexander Rossi,306.0,13.0,1
2,Christian Lundgaard,5.0,42.0,1
3,Colton Herta,351.0,8.0,1
4,Conor Daly,230.0,20.0,1
5,Dalton Kellett,136.0,24.0,1
6,Ed Carpenter,118.0,26.0,1
7,Ed Jones,192.0,22.0,1
8,Felix Rosenqvist,242.0,19.0,1
9,Graham Rahal,376.0,7.0,1
10,Helio Castroneves,229.0,21.0,1
11,Jack Harvey,279.0,16.0,1
12,James Hinchcliffe,264.0,18.0,1
13,Jimmie Johnson,102.0,27.0,1
14,Josef Newgarden,472.0,4.0,1
15,Marcus Ericsson,445.0,5.0,1
16,Max Chilton,123.0,25.0,1
17,Patricio O'Ward,510.0,2.0,1
18,Pietro Fittipaldi,43.0,31.0,1
19,R.C. Enerson,15.0,36.0,1
20,Rinus VeeKay,312.0,10.0,1
21,Romain Grosjean,270.0,17.0,1
22,Ryan Hunter-Reay,291.0,14.0,1
23,Scott Dixon,483.0,3.0,1
24,Scott McLaughlin,282.0,15.0,1
25,Sebastien Bourdais,310.0,12.0,1
26,Simon Pagenaud,442.0,6.0,1
27,Takuma Sato,312.0,11.0,1
28,Tony Kanaan,89.0,28.0,1
29,Will Power,319.0,9.0,1
30,J.R. Hildebrand,30.0,32.0,1
31,Charlie Kimball,8.0,40.0,1
32,Marco Andretti,22.0,34.0,1
33,Juan Pablo Montoya,53.0,29.0,1
34,Simona de Silvestro,10.0,37.0,1
35,Santino Ferrucci,146.0,23.0,1
36,Oliver Askew,24.0,33.0,1
37,Kevin Magnussen,7.0,41.0,1
38,Cody Ware,21.0,35.0,1
39,Ryan Norman,10.0,38.0,1
40,Stefan Wilson,10.0,39.0,1
41,Sage Karam,53.0,30.0,1
0,Alex Palou,546.0,1.0,2
1,Alexander Rossi,377.0,9.0,2
2,Christian Lundgaard,30.0,32.0,2
3,Colton Herta,382.0,8.0,2
4,Conor Daly,214.0,19.0,2
5,Dalton Kellett,187.0,22.0,2
6,Ed Carpenter,109.0,26.0,2
7,Ed Jones,208.0,20.0,2
8,Felix Rosenqvist,190.0,21.0,2
9,Graham Rahal,416.0,6.0,2
10,Helio Castroneves,186.0,23.0,2
11,Jack Harvey,303.0,13.0,2
12,James Hinchcliffe,264.0,14.0,2
13,Jimmie Johnson,107.0,27.0,2
14,Josef Newgarden,451.0,4.0,2
15,Marcus Ericsson,432.0,5.0,2
16,Max Chilton,151.0,24.0,2
17,Patricio O'Ward,511.0,2.0,2
18,Pietro Fittipaldi,74.0,29.0,2
19,R.C. Enerson,17.0,37.0,2
20,Rinus VeeKay,345.0,11.0,2
21,Romain Grosjean,239.0,16.0,2
22,Ryan Hunter-Reay,228.0,17.0,2
23,Scott Dixon,506.0,3.0,2
24,Scott McLaughlin,244.0,15.0,2
25,Sebastien Bourdais,227.0,18.0,2
26,Simon Pagenaud,400.0,7.0,2
27,Takuma Sato,306.0,12.0,2
28,Tony Kanaan,99.0,28.0,2
29,Will Power,351.0,10.0,2
30,J.R. Hildebrand,30.0,33.0,2
31,Charlie Kimball,8.0,41.0,2
32,Marco Andretti,22.0,35.0,2
33,Juan Pablo Montoya,53.0,30.0,2
34,Simona de Silvestro,10.0,38.0,2
35,Santino Ferrucci,146.0,25.0,2
36,Oliver Askew,24.0,34.0,2
37,Kevin Magnussen,7.0,42.0,2
38,Cody Ware,21.0,36.0,2
39,Ryan Norman,10.0,39.0,2
40,Stefan Wilson,10.0,40.0,2
41,Sage Karam,53.0,31.0,2
0,Alex Palou,537.0,1.0,3
1,Alexander Rossi,309.0,12.0,3
2,Christian Lundgaard,7.0,41.0,3
3,Colton Herta,392.0,7.0,3
4,Conor Daly,274.0,14.0,3
5,Dalton Kellett,135.0,26.0,3
6,Ed Carpenter,118.0,28.0,3
7,Ed Jones,245.0,18.0,3
8,Felix Rosenqvist,187.0,22.0,3
9,Graham Rahal,377.0,8.0,3
10,Helio Castroneves,197.0,21.0,3
11,Jack Harvey,260.0,16.0,3
12,James Hinchcliffe,249.0,17.0,3
13,Jimmie Johnson,159.0,23.0,3
14,Josef Newgarden,429.0,6.0,3
15,Marcus Ericsson,451.0,4.0,3
16,Max Chilton,148.0,24.0,3
17,Patricio O'Ward,502.0,3.0,3
18,Pietro Fittipaldi,46.0,31.0,3
19,R.C. Enerson,30.0,32.0,3
20,Rinus VeeKay,336.0,10.0,3
21,Romain Grosjean,211.0,19.0,3
22,Ryan Hunter-Reay,267.0,15.0,3
23,Scott Dixon,507.0,2.0,3
24,Scott McLaughlin,286.0,13.0,3
25,Sebastien Bourdais,208.0,20.0,3
26,Simon Pagenaud,443.0,5.0,3
27,Takuma Sato,337.0,9.0,3
28,Tony Kanaan,129.0,27.0,3
29,Will Power,324.0,11.0,3
30,J.R. Hildebrand,30.0,33.0,3
31,Charlie Kimball,8.0,40.0,3
32,Marco Andretti,22.0,35.0,3
33,Juan Pablo Montoya,53.0,29.0,3
34,Simona de Silvestro,10.0,37.0,3
35,Santino Ferrucci,146.0,25.0,3
36,Oliver Askew,24.0,34.0,3
37,Kevin Magnussen,7.0,42.0,3
38,Cody Ware,21.0,36.0,3
39,Ryan Norman,10.0,38.0,3
40,Stefan Wilson,10.0,39.0,3
41,Sage Karam,53.0,30.0,3
0,Alex Palou,501.0,3.0,4
1,Alexander Rossi,291.0,12.0,4
2,Christian Lundgaard,16.0,36.0,4
3,Colton Herta,368.0,8.0,4
4,Conor Daly,226.0,19.0,4
5,Dalton Kellett,191.0,22.0,4
6,Ed Carpenter,123.0,26.0,4
7,Ed Jones,195.0,21.0,4
8,Felix Rosenqvist,170.0,23.0,4
9,Graham Rahal,448.0,6.0,4
10,Helio Castroneves,223.0,20.0,4
11,Jack Harvey,282.0,14.0,4
12,James Hinchcliffe,315.0,10.0,4
13,Jimmie Johnson,96.0,28.0,4
14,Josef Newgarden,466.0,5.0,4
15,Marcus Ericsson,511.0,2.0,4
16,Max Chilton,149.0,24.0,4
17,Patricio O'Ward,486.0,4.0,4
18,Pietro Fittipaldi,47.0,31.0,4
19,R.C. Enerson,5.0,42.0,4
20,Rinus VeeKay,331.0,9.0,4
21,Romain Grosjean,235.0,18.0,4
22,Ryan Hunter-Reay,254.0,16.0,4
23,Scott Dixon,514.0,1.0,4
24,Scott McLaughlin,279.0,15.0,4
25,Sebastien Bourdais,242.0,17.0,4
26,Simon Pagenaud,432.0,7.0,4
27,Takuma Sato,291.0,13.0,4
28,Tony Kanaan,98.0,27.0,4
29,Will Power,315.0,11.0,4
30,J.R. Hildebrand,30.0,32.0,4
31,Charlie Kimball,8.0,40.0,4
32,Marco Andretti,22.0,34.0,4
33,Juan Pablo Montoya,53.0,29.0,4
34,Simona de Silvestro,10.0,37.0,4
35,Santino Ferrucci,146.0,25.0,4
36,Oliver Askew,24.0,33.0,4
37,Kevin Magnussen,7.0,41.0,4
38,Cody Ware,21.0,35.0,4
39,Ryan Norman,10.0,38.0,4
40,Stefan Wilson,10.0,39.0,4
41,Sage Karam,53.0,30.0,4
0,Alex Palou,552.0,1.0,5
1,Alexander Rossi,316.0,11.0,5
2,Christian Lundgaard,13.0,37.0,5
3,Colton Herta,369.0,8.0,5
4,Conor Daly,201.0,21.0,5
5,Dalton Kellett,229.0,18.0,5
6,Ed Carpenter,119.0,27.0,5
7,Ed Jones,191.0,22.0,5
8,Felix Rosenqvist,176.0,23.0,5
9,Graham Rahal,445.0,5.0,5
10,Helio Castroneves,239.0,17.0,5
11,Jack Harvey,277.0,13.0,5
12,James Hinchcliffe,227.0,20.0,5
13,Jimmie Johnson,121.0,26.0,5
14,Josef Newgarden,484.0,4.0,5
15,Marcus Ericsson,438.0,6.0,5
16,Max Chilton,125.0,25.0,5
17,Patricio O'Ward,506.0,2.0,5
18,Pietro Fittipaldi,51.0,31.0,5
19,R.C. Enerson,19.0,36.0,5
20,Rinus VeeKay,330.0,10.0,5
21,Romain Grosjean,249.0,16.0,5
22,Ryan Hunter-Reay,229.0,19.0,5
23,Scott Dixon,499.0,3.0,5
24,Scott McLaughlin,266.0,15.0,5
25,Sebastien Bourdais,275.0,14.0,5
26,Simon Pagenaud,395.0,7.0,5
27,Takuma Sato,355.0,9.0,5
28,Tony Kanaan,103.0,28.0,5
29,Will Power,301.0,12.0,5
30,J.R. Hildebrand,30.0,32.0,5
31,Charlie Kimball,8.0,41.0,5
32,Marco Andretti,22.0,34.0,5
33,Juan Pablo Montoya,53.0,29.0,5
34,Simona de Silvestro,10.0,38.0,5
35,Santino Ferrucci,146.0,24.0,5
36,Oliver Askew,24.0,33.0,5
37,Kevin Magnussen,7.0,42.0,5
38,Cody Ware,21.0,35.0,5
39,Ryan Norman,10.0,39.0,5
40,Stefan Wilson,10.0,40.0,5
41,Sage Karam,53.0,30.0,5
0,Alex Palou,610.0,1.0,6
1,Alexander Rossi,273.0,14.0,6
2,Christian Lundgaard,5.0,42.0,6
3,Colton Herta,359.0,9.0,6
4,Conor Daly,239.0,17.0,6
5,Dalton Kellett,138.0,25.0,6
6,Ed Carpenter,113.0,27.0,6
7,Ed Jones,231.0,18.0,6
8,Felix Rosenqvist,211.0,20.0,6
9,Graham Rahal,403.0,8.0,6
10,Helio Castroneves,204.0,21.0,6
11,Jack Harvey,247.0,15.0,6
12,James Hinchcliffe,229.0,19.0,6
13,Jimmie Johnson,93.0,28.0,6
14,Josef Newgarden,450.0,5.0,6
15,Marcus Ericsson,471.0,3.0,6
16,Max Chilton,178.0,23.0,6
17,Patricio O'Ward,456.0,4.0,6
18,Pietro Fittipaldi,43.0,31.0,6
19,R.C. Enerson,6.0,41.0,6
20,Rinus VeeKay,431.0,7.0,6
21,Romain Grosjean,204.0,22.0,6
22,Ryan Hunter-Reay,296.0,12.0,6
23,Scott Dixon,472.0,2.0,6
24,Scott McLaughlin,314.0,11.0,6
25,Sebastien Bourdais,241.0,16.0,6
26,Simon Pagenaud,433.0,6.0,6
27,Takuma Sato,338.0,10.0,6
28,Tony Kanaan,119.0,26.0,6
29,Will Power,293.0,13.0,6
30,J.R. Hildebrand,30.0,32.0,6
31,Charlie Kimball,8.0,39.0,6
32,Marco Andretti,22.0,34.0,6
33,Juan Pablo Montoya,53.0,29.0,6
34,Simona de Silvestro,10.0,36.0,6
35,Santino Ferrucci,146.0,24.0,6
36,Oliver Askew,24.0,33.0,6
37,Kevin Magnussen,7.0,40.0,6
38,Cody Ware,21.0,35.0,6
39,Ryan Norman,10.0,37.0,6
40,Stefan Wilson,10.0,38.0,6
41,Sage Karam,53.0,30.0,6
