,driver,totalPoints,chamPos,season
0,Alex Palou,405.0,6.0,1
1,Alexander Rossi,299.0,14.0,1
2,Colton Herta,349.0,11.0,1
3,Conor Daly,174.0,23.0,1
4,Dalton Kellett,188.0,20.0,1
5,Ed Carpenter,113.0,25.0,1
6,Ed Jones,183.0,22.0,1
7,Felix Rosenqvist,187.0,21.0,1
8,Graham Rahal,359.0,10.0,1
9,Helio Castroneves,191.0,19.0,1
10,Jack Harvey,341.0,13.0,1
11,James Hinchcliffe,206.0,17.0,1
12,Jimmie Johnson,112.0,26.0,1
13,Josef Newgarden,524.0,2.0,1
14,Marcus Ericsson,343.0,12.0,1
15,Max Chilton,170.0,24.0,1
16,Patricio O'Ward,436.0,4.0,1
17,Pietro Fittipaldi,47.0,28.0,1
18,Rinus VeeKay,422.0,5.0,1
19,Romain Grosjean,195.0,18.0,1
20,Ryan Hunter-Reay,281.0,16.0,1
21,Scott Dixon,588.0,1.0,1
22,Scott McLaughlin,403.0,7.0,1
23,Sebastien Bourdais,295.0,15.0,1
24,Simon Pagenaud,497.0,3.0,1
25,Takuma Sato,369.0,9.0,1
26,Tony Kanaan,94.0,27.0,1
27,Will Power,374.0,8.0,1
0,Alex Palou,389.0,8.0,2
1,Alexander Rossi,413.0,6.0,2
2,Colton Herta,306.0,12.0,2
3,Conor Daly,193.0,20.0,2
4,Dalton Kellett,185.0,21.0,2
5,Ed Carpenter,127.0,26.0,2
6,Ed Jones,176.0,23.0,2
7,Felix Rosenqvist,246.0,18.0,2
8,Graham Rahal,395.0,7.0,2
9,Helio Castroneves,178.0,22.0,2
10,Jack Harvey,272.0,16.0,2
11,James Hinchcliffe,242.0,19.0,2
12,Jimmie Johnson,150.0,25.0,2
13,Josef Newgarden,491.0,3.0,2
14,Marcus Ericsson,379.0,9.0,2
15,Max Chilton,170.0,24.0,2
16,Patricio O'Ward,520.0,1.0,2
17,Pietro Fittipaldi,43.0,28.0,2
18,Rinus VeeKay,422.0,5.0,2
19,Romain Grosjean,275.0,15.0,2
20,Ryan Hunter-Reay,263.0,17.0,2
21,Scott Dixon,493.0,2.0,2
22,Scott McLaughlin,315.0,11.0,2
23,Sebastien Bourdais,294.0,14.0,2
24,Simon Pagenaud,469.0,4.0,2
25,Takuma Sato,298.0,13.0,2
26,Tony Kanaan,97.0,27.0,2
27,Will Power,344.0,10.0,2
0,Alex Palou,414.0,6.0,3
1,Alexander Rossi,291.0,12.0,3
2,Colton Herta,340.0,11.0,3
3,Conor Daly,181.0,24.0,3
4,Dalton Kellett,206.0,21.0,3
5,Ed Carpenter,119.0,26.0,3
6,Ed Jones,256.0,15.0,3
7,Felix Rosenqvist,212.0,20.0,3
8,Graham Rahal,359.0,9.0,3
9,Helio Castroneves,237.0,18.0,3
10,Jack Harvey,241.0,16.0,3
11,James Hinchcliffe,200.0,22.0,3
12,Jimmie Johnson,225.0,19.0,3
13,Josef Newgarden,472.0,4.0,3
14,Marcus Ericsson,379.0,7.0,3
15,Max Chilton,130.0,25.0,3
16,Patricio O'Ward,455.0,5.0,3
