,driver,totalPoints,chamPos,season,current_date
23,Santino Ferrucci,28.0,31.0,3,"February 07, 2022"
24,Scott Dixon,522.0,3.0,3,"February 07, 2022"
25,Scott McLaughlin,425.0,6.0,3,"February 07, 2022"
26,Simon Pagenaud,650.0,1.0,3,"February 07, 2022"
27,Simon Pagenaud,650.0,2.0,3,"February 07, 2022"
28,TBA,45.0,30.0,3,"February 07, 2022"
29,Takuma Sato,362.0,10.0,3,"February 07, 2022"
30,Tatiana Calderon,220.0,23.0,3,"February 07, 2022"
31,Tony Kanaan,64.0,29.0,3,"February 07, 2022"
32,Will Power,387.0,8.0,3,"February 07, 2022"
0,Alex Palou,387.0,8.0,4,"February 07, 2022"
1,Alexander Rossi,324.0,16.0,4,"February 07, 2022"
2,Callum Ilott,160.0,26.0,4,"February 07, 2022"
3,Christian Lundgaard,298.0,18.0,4,"February 07, 2022"
4,Colton Herta,325.0,15.0,4,"February 07, 2022"
5,Conor Daly,260.0,21.0,4,"February 07, 2022"
6,Dalton Kellett,256.0,22.0,4,"February 07, 2022"
7,David Malukas,251.0,23.0,4,"February 07, 2022"
8,Delvin DeFrancesco,278.0,19.0,4,"February 07, 2022"
9,Ed Carpenter,20.0,32.0,4,"February 07, 2022"
10,Felix Rosenqvist,330.0,14.0,4,"February 07, 2022"
11,Graham Rahal,370.0,11.0,4,"February 07, 2022"
12,Helio Castroneves,524.0,3.0,4,"February 07, 2022"
13,Jack Harvey,409.0,6.0,4,"February 07, 2022"
14,Jimmie Johnson,139.0,27.0,4,"February 07, 2022"
15,Josef Newgarden,405.0,7.0,4,"February 07, 2022"
16,Juan Pablo Montoya,18.0,33.0,4,"February 07, 2022"
17,Kyle Kirkwood,355.0,12.0,4,"February 07, 2022"
18,Marcus Ericsson,274.0,20.0,4,"February 07, 2022"
19,Patricio O'Ward,380.0,10.0,4,"February 07, 2022"
20,Rinus VeeKay,316.0,17.0,4,"February 07, 2022"
21,Romain Grosjean,218.0,24.0,4,"February 07, 2022"
22,Sage Karam,24.0,31.0,4,"February 07, 2022"
23,Santino Ferrucci,100.0,28.0,4,"February 07, 2022"
24,Scott Dixon,453.0,5.0,4,"February 07, 2022"
25,Scott McLaughlin,473.0,4.0,4,"February 07, 2022"
26,Simon Pagenaud,609.0,1.0,4,"February 07, 2022"
27,Simon Pagenaud,609.0,2.0,4,"February 07, 2022"
28,TBA,98.0,29.0,4,"February 07, 2022"
29,Takuma Sato,386.0,9.0,4,"February 07, 2022"
30,Tatiana Calderon,192.0,25.0,4,"February 07, 2022"
31,Tony Kanaan,36.0,30.0,4,"February 07, 2022"
32,Will Power,333.0,13.0,4,"February 07, 2022"
0,Alex Palou,290.0,19.0,5,"February 07, 2022"
1,Alexander Rossi,276.0,20.0,5,"February 07, 2022"
2,Callum Ilott,324.0,12.0,5,"February 07, 2022"
3,Christian Lundgaard,315.0,15.0,5,"February 07, 2022"
4,Colton Herta,253.0,21.0,5,"February 07, 2022"
5,Conor Daly,310.0,17.0,5,"February 07, 2022"
6,Dalton Kellett,150.0,26.0,5,"February 07, 2022"
7,David Malukas,309.0,18.0,5,"February 07, 2022"
8,Delvin DeFrancesco,318.0,14.0,5,"February 07, 2022"
9,Ed Carpenter,56.0,30.0,5,"February 07, 2022"
10,Felix Rosenqvist,238.0,23.0,5,"February 07, 2022"
11,Graham Rahal,358.0,11.0,5,"February 07, 2022"
