,driver,totalPoints,chamPos,season
0,Alex Palou,445.0,5.0,1
1,Alexander Rossi,460.0,4.0,1
2,Charlie Kimball,40.0,30.0,1
3,Colton Herta,467.0,3.0,1
4,Conor Daly,196.0,22.0,1
5,Dalton Kellett,152.0,23.0,1
6,Ed Carpenter,115.0,25.0,1
7,Ed Jones,206.0,19.0,1
8,Felix Rosenqvist,333.0,14.0,1
9,Graham Rahal,308.0,17.0,1
10,Helio Castroneves,82.0,27.0,1
11,J.R. Hildebrand,10.0,33.0,1
12,Jack Harvey,346.0,12.0,1
13,James Hinchcliffe,378.0,8.0,1
14,Jimmie Johnson,129.0,24.0,1
15,Josef Newgarden,626.0,2.0,1
16,Juan Pablo Montoya,112.0,26.0,1
17,Marco Andretti,22.0,32.0,1
18,Marcus Ericsson,416.0,6.0,1
19,Max Chilton,206.0,20.0,1
20,Patricio O'Ward,334.0,13.0,1
21,Pietro Fittipaldi,44.0,29.0,1
22,Rinus VeeKay,376.0,9.0,1
23,Romain Grosjean,272.0,18.0,1
24,Ryan Hunter-Reay,331.0,15.0,1
25,Santino Ferrucci,28.0,31.0,1
26,Scott Dixon,632.0,1.0,1
27,Scott McLaughlin,200.0,21.0,1
28,Sebastien Bourdais,349.0,11.0,1
29,Simon Pagenaud,406.0,7.0,1
30,Simona de Silvestro,10.0,34.0,1
31,Takuma Sato,310.0,16.0,1
32,Tony Kanaan,72.0,28.0,1
33,Will Power,369.0,10.0,1
0,Alex Palou,249.0,16.0,2
1,Alexander Rossi,436.0,6.0,2
2,Charlie Kimball,86.0,27.0,2
3,Colton Herta,329.0,14.0,2
4,Conor Daly,214.0,22.0,2
5,Dalton Kellett,234.0,18.0,2
6,Ed Carpenter,36.0,32.0,2
7,Ed Jones,215.0,21.0,2
8,Felix Rosenqvist,244.0,17.0,2
9,Graham Rahal,491.0,3.0,2
10,Helio Castroneves,134.0,24.0,2
11,J.R. Hildebrand,70.0,29.0,2
12,Jack Harvey,224.0,19.0,2
13,James Hinchcliffe,372.0,10.0,2
14,Jimmie Johnson,174.0,23.0,2
15,Josef Newgarden,470.0,5.0,2
