Drivers,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Alexander Rossi,0.08966,0.12574,0.12576,0.11434,0.09534,0.08056,0.06698,0.05686,0.04876,0.03944,0.03268,0.02806,0.02224,0.01786,0.01474,0.01184,0.0083,0.00668,0.00484,0.00336,0.0024,0.00176,0.00104,0.00052,2e-04,4e-05
Ben Hanley,0.00024,0.00102,0.00188,0.00244,0.00348,0.00496,0.00578,0.00698,0.00938,0.01096,0.01358,0.01574,0.01874,0.0214,0.02584,0.02876,0.03468,0.04062,0.04628,0.05494,0.06634,0.07736,0.09322,0.11036,0.138,0.16702
Charlie Kimball,2e-04,0.00066,0.00114,0.00172,0.00302,0.00388,0.00522,0.00636,0.00972,0.0096,0.0128,0.01452,0.0185,0.02162,0.02514,0.02928,0.0343,0.0406,0.04666,0.0564,0.06634,0.07898,0.09436,0.11642,0.14016,0.1624
Colton Herta,0.03898,0.06458,0.07328,0.07512,0.07376,0.07376,0.06794,0.0655,0.05932,0.05624,0.05082,0.04894,0.04122,0.03714,0.03138,0.02798,0.02542,0.02136,0.01862,0.01436,0.01208,0.00916,0.00676,0.00382,0.00172,0.00074
Ed Jones,0.00096,0.00258,0.00488,0.00696,0.00874,0.01118,0.01592,0.01754,0.02048,0.02328,0.02662,0.03054,0.03528,0.03898,0.04186,0.0454,0.05266,0.05622,0.06112,0.06584,0.07,0.0759,0.07944,0.07822,0.07424,0.05516
Felix Rosenqvist,0.01408,0.0266,0.0368,0.04486,0.0482,0.05102,0.05642,0.05748,0.05806,0.0589,0.05654,0.05486,0.05026,0.05144,0.04734,0.04628,0.0431,0.03956,0.03594,0.0316,0.02716,0.02236,0.0176,0.01284,0.00754,0.00316
Graham Rahal,0.01124,0.02294,0.03424,0.03924,0.04598,0.04882,0.05268,0.0535,0.0535,0.0567,0.05528,0.05562,0.05438,0.05404,0.05056,0.04764,0.04624,0.04098,0.04018,0.0345,0.0303,0.02458,0.02052,0.0133,0.0095,0.00354
Jack Harvey,0.00572,0.0122,0.02012,0.027,0.03242,0.04024,0.04472,0.04762,0.0534,0.0537,0.0559,0.05814,0.05898,0.05772,0.05912,0.05662,0.05352,0.04994,0.04648,0.04264,0.03742,0.0309,0.02444,0.01662,0.00996,0.00446
James Hinchcliffe,0.02716,0.051,0.06204,0.07138,0.07272,0.07294,0.0715,0.06978,0.06498,0.06038,0.0574,0.05202,0.0442,0.04078,0.03662,0.03312,0.02626,0.02174,0.01816,0.01472,0.01168,0.00836,0.00558,0.00314,0.0017,0.00064
Josef Newgarden,0.46232,0.1989,0.11288,0.07164,0.04578,0.0326,0.0234,0.01526,0.0113,0.00804,0.00554,0.00402,0.00246,0.00192,0.00162,9e-04,0.00058,0.00032,0.00028,8e-05,0.00014,2e-05,0,0,0,0
Kyle Kaiser,0.00016,0.00048,0.00094,0.00174,0.00214,0.0031,0.00392,0.00544,0.00654,0.00826,0.00974,0.01238,0.01496,0.0173,0.02004,0.02378,0.0284,0.03424,0.0407,0.0478,0.05728,0.07206,0.08612,0.11296,0.15364,0.23588
Marco Andretti,0.00604,0.01438,0.02188,0.02808,0.03522,0.03966,0.0459,0.0467,0.05282,0.05722,0.05574,0.0571,0.0584,0.05822,0.05614,0.05524,0.05404,0.04928,0.04672,0.0422,0.03412,0.03052,0.023,0.01704,0.01016,0.00418
Marcus Ericsson,0.00334,0.00954,0.01456,0.0196,0.02558,0.02916,0.035,0.0391,0.0432,0.04656,0.04928,0.05106,0.05616,0.0557,0.05622,0.0559,0.05572,0.0571,0.05478,0.05148,0.0487,0.04368,0.0386,0.0298,0.02016,0.01002
Matheus Leist,0.00074,0.00136,0.00258,0.00396,0.0056,0.00722,0.00974,0.01136,0.01414,0.01776,0.01952,0.0214,0.02652,0.02926,0.03408,0.0381,0.0431,0.04676,0.053,0.06306,0.07072,0.07896,0.08782,0.10166,0.10526,0.10632
Max Chilton,0.00056,0.00148,0.00244,0.0039,0.00526,0.0075,0.00962,0.0112,0.01272,0.01602,0.01692,0.0218,0.02482,0.02784,0.03118,0.03576,0.03852,0.0468,0.0549,0.05986,0.06856,0.07794,0.08912,0.10328,0.11244,0.11956
Patricio O'Ward,0.00268,0.00662,0.011,0.014,0.01874,0.02346,0.02674,0.03026,0.03464,0.04004,0.0434,0.04566,0.0499,0.04988,0.05516,0.05654,0.05958,0.06112,0.05754,0.05974,0.05922,0.0546,0.04946,0.04094,0.03158,0.0175
Ryan Hunter-Reay,0.02956,0.04874,0.05922,0.06444,0.06896,0.0663,0.06586,0.06564,0.06126,0.05592,0.05348,0.05032,0.0468,0.04274,0.0402,0.03382,0.03274,0.02408,0.0227,0.02072,0.01516,0.01176,0.00904,0.00604,0.00308,0.00142
Santino Ferrucci,0.00236,0.00606,0.00854,0.013,0.01784,0.02032,0.02434,0.0293,0.0333,0.03772,0.03982,0.04302,0.0483,0.04956,0.05434,0.05746,0.05922,0.06118,0.06274,0.0621,0.06022,0.05688,0.0531,0.0465,0.03386,0.01892
Scott Dixon,0.16308,0.17836,0.13998,0.10786,0.08486,0.06832,0.05474,0.04346,0.03406,0.02852,0.023,0.01724,0.0146,0.01164,0.00814,0.00662,0.00548,0.00338,0.00228,0.0017,0.00126,0.00072,0.00038,0.00024,6e-05,2e-05
Sebastien Bourdais,0.02596,0.0456,0.05586,0.06094,0.0669,0.06492,0.06188,0.06196,0.059,0.0577,0.05354,0.05082,0.04762,0.04448,0.04162,0.03806,0.03258,0.02974,0.02452,0.02168,0.01824,0.01378,0.01018,0.00672,0.00404,0.00166
Simon Pagenaud,0.0078,0.017,0.02508,0.03124,0.03856,0.04438,0.04796,0.0518,0.05126,0.05306,0.0567,0.05788,0.05434,0.05638,0.05446,0.05388,0.04924,0.04844,0.04396,0.0401,0.03396,0.02974,0.02214,0.01546,0.0108,0.00438
Spencer Pigot,0.00316,0.0079,0.01258,0.01756,0.02302,0.02724,0.03074,0.0348,0.0402,0.04396,0.04932,0.04992,0.05514,0.0557,0.05826,0.06134,0.05842,0.06092,0.059,0.0539,0.05172,0.04666,0.0383,0.02998,0.0204,0.00986
Takuma Sato,0.07036,0.09838,0.10238,0.09702,0.0883,0.08098,0.07042,0.06412,0.05554,0.04674,0.04254,0.03506,0.0297,0.02686,0.02104,0.01686,0.01492,0.012,0.00866,0.00634,0.0051,0.00322,0.00172,0.00122,0.00044,8e-05
Tony Kanaan,0.00142,0.00388,0.00678,0.00934,0.01392,0.0172,0.02102,0.02366,0.02928,0.03138,0.0348,0.03874,0.04148,0.04588,0.05108,0.05298,0.05828,0.05986,0.06568,0.06466,0.0653,0.06604,0.06566,0.05662,0.0462,0.02886
