,driver,totalPoints,chamPos,season
0,Alex Palou,532.0,1.0,1
1,Alexander Rossi,322.0,10.0,1
2,Colton Herta,419.0,6.0,1
3,Conor Daly,234.0,18.0,1
4,Dalton Kellett,161.0,23.0,1
5,Ed Jones,222.0,19.0,1
6,Felix Rosenqvist,199.0,21.0,1
7,Graham Rahal,396.0,7.0,1
8,Helio Castroneves,177.0,22.0,1
9,Jack Harvey,307.0,14.0,1
10,James Hinchcliffe,214.0,20.0,1
11,Jimmie Johnson,101.0,27.0,1
12,Josef Newgarden,504.0,2.0,1
13,Marcus Ericsson,442.0,5.0,1
14,Max Chilton,135.0,25.0,1
15,Patricio O'Ward,496.0,3.0,1
16,Rinus VeeKay,316.0,12.0,1
17,Romain Grosjean,316.0,13.0,1
18,Ryan Hunter-Reay,289.0,16.0,1
19,Scott Dixon,477.0,4.0,1
20,Scott McLaughlin,291.0,15.0,1
21,Sebastien Bourdais,243.0,17.0,1
22,Simon Pagenaud,372.0,8.0,1
23,Takuma Sato,322.0,11.0,1
24,Will Power,365.0,9.0,1
25,J.R. Hildebrand,30.0,33.0,1
26,Charlie Kimball,8.0,40.0,1
27,Marco Andretti,22.0,35.0,1
28,Juan Pablo Montoya,53.0,29.0,1
29,Tony Kanaan,96.0,28.0,1
30,Pietro Fittipaldi,34.0,32.0,1
31,Ed Carpenter,107.0,26.0,1
32,Simona de Silvestro,10.0,37.0,1
33,Santino Ferrucci,146.0,24.0,1
34,Oliver Askew,52.0,31.0,1
35,Kevin Magnussen,7.0,41.0,1
36,Cody Ware,26.0,34.0,1
37,Ryan Norman,10.0,38.0,1
38,Stefan Wilson,10.0,39.0,1
39,Sage Karam,53.0,30.0,1
40,Christian Lundgaard,19.0,36.0,1
41,R.C. Enerson,5.0,42.0,1
0,Alex Palou,525.0,1.0,2
1,Alexander Rossi,313.0,11.0,2
2,Colton Herta,408.0,6.0,2
3,Conor Daly,261.0,16.0,2
4,Dalton Kellett,147.0,23.0,2
5,Ed Jones,220.0,20.0,2
6,Felix Rosenqvist,220.0,21.0,2
7,Graham Rahal,396.0,7.0,2
8,Helio Castroneves,187.0,22.0,2
9,Jack Harvey,296.0,14.0,2
10,James Hinchcliffe,224.0,19.0,2
11,Jimmie Johnson,109.0,26.0,2
12,Josef Newgarden,488.0,3.0,2
13,Marcus Ericsson,458.0,5.0,2
14,Max Chilton,143.0,25.0,2
15,Patricio O'Ward,508.0,2.0,2
16,Rinus VeeKay,310.0,12.0,2
17,Romain Grosjean,282.0,15.0,2
18,Ryan Hunter-Reay,261.0,17.0,2
19,Scott Dixon,475.0,4.0,2
20,Scott McLaughlin,297.0,13.0,2
21,Sebastien Bourdais,247.0,18.0,2
22,Simon Pagenaud,370.0,8.0,2
23,Takuma Sato,352.0,10.0,2
24,Will Power,355.0,9.0,2
25,J.R. Hildebrand,30.0,33.0,2
26,Charlie Kimball,8.0,40.0,2
27,Marco Andretti,22.0,35.0,2
28,Juan Pablo Montoya,53.0,29.0,2
29,Tony Kanaan,96.0,28.0,2
30,Pietro Fittipaldi,34.0,32.0,2
31,Ed Carpenter,107.0,27.0,2
32,Simona de Silvestro,10.0,37.0,2
33,Santino Ferrucci,146.0,24.0,2
34,Oliver Askew,52.0,31.0,2
35,Kevin Magnussen,7.0,41.0,2
36,Cody Ware,26.0,34.0,2
37,Ryan Norman,10.0,38.0,2
38,Stefan Wilson,10.0,39.0,2
39,Sage Karam,53.0,30.0,2
40,Christian Lundgaard,19.0,36.0,2
41,R.C. Enerson,5.0,42.0,2
0,Alex Palou,532.0,1.0,3
1,Alexander Rossi,322.0,10.0,3
2,Colton Herta,424.0,6.0,3
3,Conor Daly,240.0,18.0,3
4,Dalton Kellett,145.0,24.0,3
5,Ed Jones,221.0,20.0,3
6,Felix Rosenqvist,201.0,21.0,3
7,Graham Rahal,402.0,7.0,3
8,Helio Castroneves,156.0,22.0,3
9,Jack Harvey,297.0,14.0,3
10,James Hinchcliffe,228.0,19.0,3
11,Jimmie Johnson,102.0,27.0,3
12,Josef Newgarden,504.0,3.0,3
13,Marcus Ericsson,456.0,5.0,3
14,Max Chilton,138.0,25.0,3
15,Patricio O'Ward,522.0,2.0,3
16,Rinus VeeKay,308.0,13.0,3
17,Romain Grosjean,316.0,12.0,3
18,Ryan Hunter-Reay,281.0,16.0,3
19,Scott Dixon,462.0,4.0,3
20,Scott McLaughlin,297.0,15.0,3
21,Sebastien Bourdais,244.0,17.0,3
22,Simon Pagenaud,383.0,8.0,3
23,Takuma Sato,322.0,11.0,3
24,Will Power,349.0,9.0,3
25,J.R. Hildebrand,30.0,33.0,3
26,Charlie Kimball,8.0,40.0,3
