,driver,totalPoints,chamPos,season
0,Alex Palou,499.0,3.0,1
1,Alexander Rossi,304.0,13.0,1
2,Colton Herta,359.0,8.0,1
3,Conor Daly,208.0,20.0,1
4,Dalton Kellett,137.0,23.0,1
5,Ed Carpenter,131.0,24.0,1
6,Ed Jones,177.0,22.0,1
7,Felix Rosenqvist,203.0,21.0,1
8,Graham Rahal,398.0,7.0,1
9,Helio Castroneves,256.0,17.0,1
10,Jack Harvey,281.0,14.0,1
11,James Hinchcliffe,229.0,19.0,1
12,Jimmie Johnson,118.0,25.0,1
13,Josef Newgarden,499.0,4.0,1
14,Marcus Ericsson,435.0,5.0,1
15,Max Chilton,117.0,26.0,1
16,Patricio O'Ward,520.0,1.0,1
17,Pietro Fittipaldi,40.0,28.0,1
18,Rinus VeeKay,359.0,9.0,1
19,Romain Grosjean,251.0,18.0,1
20,Ryan Hunter-Reay,267.0,16.0,1
21,Scott Dixon,519.0,2.0,1
22,Scott McLaughlin,338.0,10.0,1
23,Sebastien Bourdais,275.0,15.0,1
24,Simon Pagenaud,431.0,6.0,1
25,Takuma Sato,334.0,11.0,1
26,Tony Kanaan,94.0,27.0,1
27,Will Power,324.0,12.0,1
0,Alex Palou,508.0,3.0,2
1,Alexander Rossi,317.0,12.0,2
2,Colton Herta,420.0,6.0,2
3,Conor Daly,224.0,18.0,2
4,Dalton Kellett,134.0,25.0,2
5,Ed Carpenter,105.0,26.0,2
6,Ed Jones,206.0,20.0,2
7,Felix Rosenqvist,196.0,21.0,2
8,Graham Rahal,357.0,9.0,2
9,Helio Castroneves,207.0,19.0,2
10,Jack Harvey,315.0,13.0,2
11,James Hinchcliffe,191.0,22.0,2
12,Jimmie Johnson,145.0,24.0,2
13,Josef Newgarden,522.0,2.0,2
14,Marcus Ericsson,402.0,7.0,2
15,Max Chilton,152.0,23.0,2
16,Patricio O'Ward,474.0,4.0,2
17,Pietro Fittipaldi,44.0,28.0,2
18,Rinus VeeKay,348.0,10.0,2
19,Romain Grosjean,256.0,15.0,2
20,Ryan Hunter-Reay,234.0,17.0,2
