name,number
Herta,88
Dixon,9
Reay,28
Rossi,27
Pagenaud,22
Ferrucci,18
Rahal,15
Ericsson,8
Newgarden,1
VeeKay,21
Veach,26
Power,12
Askew,7
Harvey,60
O'Ward,5
Kellett,14
Chilton,59
Daly,20
Sato,30
Kimball,4
Andretti,98
Palou,55
Rosenqvist,10
