0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
30,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,7,7,7,7,7,20,30,9,14,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,51,18,15,15,51,20,18,5,5,5,5,5,5,5,5,5,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,15,15
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,20,20,20,20,20,20,20,18,12,12,12,12,12,9,60,30,21,7,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,18,20,5,20,20,51,5,28,28,28,28,28,18,18,28,28,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20
7,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,20,3,3,3,3,3,7,7,7,18,18,7,51,51,51,51,51,4,9,14,8,51,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,15,20,21,21,5,28,18,18,18,18,18,20,28,15,18,5,5,5,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,
51,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,7,7,7,7,7,7,18,18,18,7,7,20,20,20,20,20,20,5,14,21,5,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,21,21,5,5,28,15,15,15,15,15,15,28,15,18,15,18,20,20,20,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,7,12,12,12,12,12,12,51,51,51,51,51,12,4,4,4,4,4,14,21,8,28,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,28,28,28,28,28,15,20,20,20,20,20,20,15,20,20,20,20,29,29,29,18,18,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
12,12,12,12,12,12,12,12,12,12,18,59,59,59,59,59,20,51,51,51,51,51,51,12,12,12,12,12,51,21,21,21,21,21,21,5,5,15,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,29,29,29,29,29,29,29,29,29,29,29,29,18,18,18,5,5,5,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,18,18,18,18,18,18,59,48,48,48,48,20,59,18,18,18,4,4,4,4,4,4,4,4,4,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
59,59,59,59,59,59,59,59,59,59,48,18,20,20,20,18,18,4,4,4,18,18,18,29,29,29,29,29,29,29,29,29,29,29,29,29,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,
48,4,4,4,4,4,4,48,48,48,20,20,18,18,18,4,4,59,59,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,48,48,48,48,48,48,4,4,4,4,4,4,4,4,48,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
