0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
3,2,2,2,2,20,20,20,20,20,29,29,5,2,5,45,28,77,60,60,60,59,59,59,6,20,20,20,20,20,30,6,18,28,2,6,6,48,3,3,7,7,7,60,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,14,14,14,3,60,60,9,9,9,9,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
2,28,20,20,20,29,60,60,29,29,30,30,22,77,22,77,60,60,45,45,45,6,6,6,20,18,18,18,18,30,20,18,6,20,20,20,28,7,21,21,14,60,60,20,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,21,21,21,21,21,28,28,28,60,7,20,20,29,29,29,29,29,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,
20,20,60,60,60,60,29,29,6,6,6,14,48,5,3,28,45,45,59,59,59,20,20,20,18,30,30,30,30,18,18,20,20,2,28,28,48,21,60,14,60,20,20,6,29,29,29,29,29,29,29,29,29,29,21,21,21,21,21,6,6,6,6,48,48,7,7,7,20,29,29,48,48,48,48,48,6,6,6,6,6,6,6,6,21,21,21,21,21,21,21,21,21,21,21,
28,60,14,6,6,6,6,6,30,30,14,7,77,22,59,60,59,59,6,6,6,18,18,18,29,29,29,29,29,2,2,2,2,48,48,48,7,14,14,60,77,6,6,29,21,21,21,21,21,21,21,21,21,21,29,29,29,29,29,59,59,48,48,6,7,20,20,20,48,48,48,6,6,6,6,6,29,29,29,29,21,21,21,21,6,6,7,7,7,7,7,7,7,7,7,
60,6,6,21,21,21,21,14,14,14,7,21,2,3,28,59,6,6,77,20,20,29,29,29,21,21,21,2,2,29,29,48,48,7,7,7,21,4,77,77,20,48,29,7,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,48,48,7,7,7,6,29,29,29,29,59,59,21,59,59,59,59,59,59,59,59,7,7,7,7,7,7,6,29,29,29,29,29,29,29,29,
14,14,7,4,4,4,14,30,7,7,21,4,3,28,60,6,20,20,20,29,29,21,21,21,2,2,2,48,48,48,48,7,7,14,4,14,14,77,20,20,6,29,59,59,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,7,7,77,77,77,4,4,59,59,59,6,6,59,7,7,7,7,7,7,7,21,29,29,29,29,29,29,29,59,59,59,59,59,59,59,59,
6,7,21,14,14,14,30,7,21,21,4,48,60,60,20,29,29,29,29,21,21,48,48,48,48,48,48,4,4,4,4,29,4,4,14,21,4,6,6,6,59,59,48,48,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,77,77,4,4,4,29,59,6,6,6,7,7,7,21,21,21,21,21,21,21,7,59,59,59,59,59,59,59,4,4,77,77,77,77,77,77,
30,30,30,7,7,7,7,21,4,4,48,77,20,20,6,20,21,21,21,48,48,4,4,4,4,4,4,7,7,7,7,4,29,21,21,4,77,20,29,29,29,4,4,4,4,4,4,4,4,4,4,4,77,77,77,77,77,77,77,4,4,59,29,29,59,6,77,77,77,77,77,77,77,77,77,77,77,4,4,4,4,4,4,4,4,4,4,77,77,4,4,4,4,4,4,
21,21,48,48,48,48,4,4,48,48,77,2,6,6,21,21,4,4,48,4,4,7,7,7,7,7,7,77,77,77,77,77,77,77,77,77,20,29,4,4,4,77,77,77,77,77,77,77,77,77,77,77,4,4,4,4,4,4,4,29,29,29,59,59,77,77,4,4,4,4,4,4,4,4,4,4,4,77,77,77,77,77,77,77,77,77,77,6,6,6,6,6,6,6,6,
48,48,77,30,30,30,48,48,77,77,2,6,21,21,48,48,48,48,4,77,77,77,77,77,77,77,77,21,21,21,21,21,21,29,29,29,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
77,77,4,77,77,77,77,77,2,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,
4,4,27,27,27,27,27,27,27,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,
