0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
21,7,7,7,26,14,14,14,14,59,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20,20,23,23,23,23,23,23,4,21,7,26,26,98,98,98,98,98,98,98,26,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,14,14,14,4,19,18,15,7,7,7,7,7,7,7,7,7,26,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,26,2,20,20,18,14,14,14,59,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
19,26,26,26,14,12,12,12,12,12,59,59,59,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,59,59,59,59,59,59,59,20,20,88,88,59,59,23,23,23,23,23,59,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,14,4,4,4,19,18,2,7,26,26,26,26,26,26,26,4,15,4,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2,15,15,15,15,15,15,15,7,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
88,14,14,14,59,59,59,59,59,23,23,23,23,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,98,98,98,98,4,4,19,26,26,98,98,23,23,59,59,4,4,59,98,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4,98,98,2,2,2,15,26,4,4,4,4,4,4,4,26,26,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
20,23,23,23,98,23,23,23,23,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,14,4,4,4,98,26,26,98,98,59,59,4,4,4,4,59,59,14,4,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2,2,98,98,26,26,4,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,
7,4,4,4,23,4,4,4,4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4,14,26,26,26,98,98,59,59,4,4,14,14,14,14,14,14,4,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,26,26,26,26,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,98,98,4,98,98,98,98,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,26,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
