name,number
Sato,30
Newgarden,1
Power,12
O'Ward,5
Harvey,60
Dixon,9
Ericsson,8
Pagenaud,22
Rosenqvist,10
Herta,88
Rossi,27
Reay,28
Askew,7
Palou,55
Daly,59
Ferrucci,18
Veach,26
VeeKay,21
Kanaan,14
Andretti,98
Kimball,4
Carpenter,20
Rahal,15
