name,number
Herta,26
Harvey,60
Newgarden,2
Pagenaud,22
Bourdais,14
VeeKay,21
Rahal,15
Rossi,27
O'Ward,5
Dixon,9
Reay,28
Hinchcliffe,29
Sato,30
Palou,10
Ericsson,8
McLaughlin,3
Grosjean,51
Rosenqvist,7
Daly,20
Power,12
Jones,18
Chilton,59
Kellett,4
Johnson,48
