name,number
O'Ward,5
Power,12
Grosjean,51
Herta,26
Lundgaard,45
Harvey,60
Palou,10
Rossi,27
VeeKay,21
Daly,20
Pagenaud,22
Ericsson,8
Sato,30
Rahal,15
Reay,28
Jones,18
Bourdais,14
Rosenqvist,7
Newgarden,2
McLaughlin,3
Castroneves,06
Hinchcliffe,29
Chilton,59
Enerson,75
Johnson,48
Dixon,9
Kellett,4
Ware,52
