name,number
Newgarden,1
Dixon,9
Pagenaud,22
Veach,26
Rosenqvist,10
Power,12
Kimball,4
Kanaan,14
Andretti,98
Carpenter,20
Herta,88
Ericsson,8
Hinchcliffe,29
Daly,59
Palou,55
O'Ward,5
VeeKay,21
Rossi,27
Reay,28
Askew,7
Ferrucci,18
Harvey,60
Rahal,15
