0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,18,15,15,88,88,23,30,22,32,32,26,26,26,5,5,19,19,19,19,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,4.0,5.0,5.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
15,14,4,4,4,4,4,4,4,4,4,4,18,18,18,15,4,4,23,23,30,27,32,26,26,5,5,5,98,98,32,32,32,32,1,1.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,30.0,26.0,26.0,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
98,88,88,88,88,18,18,18,18,18,18,18,4,15,15,4,21,21,32,32,32,32,6,5,5,98,98,98,14,14,59,59,59,59,21,21.0,26.0,26.0,26.0,26.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,4.0,5.0,27.0,27.0,20.0,88.0,88.0,88.0,88.0,88.0,88.0,20.0,88.0,10.0,10.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
14,15,18,18,18,15,15,15,15,15,15,15,15,4,4,21,88,88,27,27,27,6,26,98,98,14,14,14,4,4,20,20,20,20,26,26.0,27.0,4.0,10.0,10.0,10.0,27.0,27.0,27.0,27.0,19.0,19.0,10.0,10.0,10.0,10.0,10.0,30.0,26.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,88.0,10.0,88.0,88.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
21,18,15,15,15,10,10,10,10,10,10,10,21,21,21,88,23,23,26,26,6,26,5,14,14,4,4,4,88,88,15,15,15,15,10,10.0,4.0,10.0,1.0,1.0,27.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,19.0,19.0,19.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,19.0,19.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
18,10,10,10,10,21,21,21,21,21,21,21,88,88,88,23,32,32,6,6,26,5,98,88,4,88,88,88,23,23,21,21,21,21,27,27.0,10.0,1.0,27.0,27.0,32.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,4.0,4.0,4.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,21.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,
59,21,21,21,21,88,88,88,88,88,88,88,23,23,23,32,59,59,98,5,5,98,14,4,88,23,23,23,19,19,26,26,26,26,4,4.0,1.0,27.0,4.0,4.0,4.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,
32,32,32,32,32,23,23,23,23,23,23,23,32,32,32,59,26,26,5,98,98,18,4,23,23,19,19,19,59,59,10,10,10,10,28,28.0,28.0,28.0,28.0,28.0,28.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
23,23,23,23,23,32,32,32,32,32,32,32,19,59,59,26,6,6,18,18,18,4,19,19,19,32,32,59,10,10,27,27,27,27,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,
10,59,59,19,19,19,19,19,19,19,19,19,59,26,26,5,5,5,19,19,19,19,59,59,59,59,59,10,32,32,28,28,28,28,18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,15.0,15.0,,,,,,,,,,,,,,,,,
26,19,19,59,59,59,59,59,59,59,59,59,26,19,19,19,19,19,59,59,59,59,10,10,10,10,10,32,28,28,12,12,12,12,59,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,
19,26,26,26,26,26,26,26,26,26,26,26,10,10,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
