Drivers in Race:,Lap->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
"6 - Munoz, Carlos (22)",21,6,6,6,6,6,6,6,6,6,6,6,22,88,21,27,39,4,4,27,6,6,6,6,6,6,6,6,6,6,6,6,6,19,20,27,60,88,26,26,26,26,26,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,
"23 - Kimball, Charlie (24)",22,23,23,23,23,23,23,23,23,23,23,23,21,21,27,88,4,6,6,6,23,23,23,23,23,59,59,59,59,59,59,59,59,59,27,20,6,59,59,59,59,59,59,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,
"59 - Chilton, Max (21)",23,59,59,59,59,20,20,20,20,20,20,20,20,27,20,39,23,23,23,23,27,27,27,27,27,27,27,27,27,27,27,27,27,27,59,59,59,21,21,23,23,23,23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,
"20 - King, Jordan (25)",24,20,20,20,20,59,59,59,59,59,59,27,27,20,88,59,59,59,59,59,59,59,59,59,59,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27 - Rossi, Alexander (6)",25,27,27,27,27,27,27,27,27,27,27,59,59,59,59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
