0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27.0,6.0,6.0,6.0,6.0,6.0,6.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,28.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
12,12,12,12,12,12,12,12,12,12,12,9,9,10,10,10,10,10,10,10,10,10,59.0,27.0,27.0,27.0,27.0,27.0,27.0,14.0,22.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
10,9,9,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,9,18,18,18.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,14.0,10.0,10.0,10.0,10.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
9,5,5,5,5,5,5,5,5,5,10,15,15,15,15,15,15,15,15,15,15,4,6.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,12.0,18.0,18.0,18.0,18.0,9.0,9.0,18.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,10.0,14.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
5,10,10,10,10,10,10,10,10,10,15,98,98,98,98,98,98,18,18,18,4,59,28.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,22.0,9.0,9.0,9.0,28.0,28.0,28.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,10.0,9.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
26,98,15,15,15,15,15,15,15,15,98,26,26,4,4,4,18,4,4,4,19,23,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,59.0,9.0,15.0,15.0,98.0,98.0,98.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
22,15,26,26,26,26,26,98,98,98,26,6,4,18,18,18,4,19,19,19,98,6,14.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,9.0,26.0,4.0,6.0,6.0,6.0,6.0,6.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,14.0,15.0,26.0,26.0,6.0,6.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
15,26,98,98,98,98,98,26,26,26,22,4,20,19,19,19,19,98,98,98,59,28,5.0,59.0,9.0,9.0,9.0,9.0,9.0,9.0,26.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,15.0,22.0,98.0,98.0,14.0,14.0,14.0,98.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,27.0,98.0,98.0,98.0,98.0,98.0,98.0
28,22,22,22,22,22,28,28,28,28,4,20,18,20,59,59,59,59,59,59,23,5,22.0,9.0,26.0,26.0,26.0,26.0,26.0,26.0,4.0,15.0,59.0,59.0,59.0,59.0,59.0,59.0,4.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,22.0,26.0,6.0,6.0,59.0,59.0,59.0,59.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,98.0,22.0,22.0,22.0,22.0,22.0,22.0
20,28,28,28,28,28,22,22,22,22,20,88,19,59,23,23,23,23,23,23,6,14,4.0,26.0,4.0,4.0,4.0,4.0,4.0,4.0,15.0,6.0,23.0,23.0,23.0,23.0,23.0,23.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,26.0,98.0,22.0,59.0,26.0,23.0,23.0,23.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,98.0,98.0,22.0,26.0,26.0,26.0,59.0,59.0,59.0
98,20,20,20,20,4,4,4,4,4,5,18,59,23,6,6,6,6,6,6,5,1,1.0,4.0,15.0,15.0,15.0,15.0,15.0,15.0,6.0,59.0,5.0,5.0,5.0,5.0,14.0,14.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,98.0,59.0,59.0,23.0,23.0,22.0,22.0,22.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,26.0,26.0,26.0,59.0,59.0,59.0,26.0,26.0,27.0
19,4,4,4,4,20,20,20,20,20,88,19,23,6,5,5,5,5,5,5,28,22,9.0,15.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,23.0,14.0,14.0,14.0,14.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,23.0,23.0,23.0,22.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,59.0,59.0,59.0,27.0,27.0,27.0,27.0,27.0,26.0
88,19,88,88,88,88,88,88,88,88,19,59,6,5,28,28,28,28,28,28,14,15,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0,22.0,22.0,1.0,5.0,20.0,20.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
