name,number
O'Ward,5
Rossi,27
Palou,10
Power,12
Dixon,9
Ericsson,8
Grosjean,51
Daly,20
McLaughlin,3
Harvey,60
Jones,18
Sato,30
Pagenaud,22
Bourdais,14
Hinchcliffe,29
Rahal,15
VeeKay,21
Johnson,48
Kellett,4
Herta,26
Chilton,59
Rosenqvist,7
Hunter_Reay,28
Newgarden,2
