,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,1,27,27,32,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,15,15,15,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,12.0
1,6,18,18,18,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,27,1,88,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,6,15,6,6,6,12,12,12,12,12,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0,9.0
2,18,6,6,6,6,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,27,28,15,32,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,6,12,12,12,15,18,18,18,18,18,18,18,18,18,18,18,18,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,6.0
3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,19,28,6,18,18,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,18,18,18,18,18,1,1,1,1,1,1,1,1,9,9,9,9,18,18,18,18,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27.0,18.0
4,20,5,5,5,5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,18,88,12,1,1,27,27,27,27,27,27,27,27,27,27,27,15,1,19,19,19,88,88,1,1,1,9,9,9,9,9,9,9,9,27,27,27,27,27,27,27,27,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0,27.0
5,1,27,27,27,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,12,15,30,18,27,27,9,9,9,9,9,9,9,9,9,9,9,3,22,14,59,88,1,1,9,9,9,27,27,27,27,27,27,27,27,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0
6,22,3,3,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,28,19,88,32,15,5,9,5,5,5,5,5,5,5,5,5,5,5,27,19,59,88,23,9,9,27,27,27,5,5,5,5,5,5,5,5,3,3,3,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0
7,27,14,14,14,14,14,3,28,28,28,28,28,28,28,28,28,28,28,28,19,6,30,26,1,9,5,28,28,28,28,28,28,28,28,15,15,15,9,14,88,23,26,27,27,5,5,5,15,15,15,3,3,3,3,3,22,22,22,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0,22.0
8,21,28,28,28,28,28,28,3,19,19,19,19,19,19,19,19,19,19,19,59,59,32,6,5,28,28,14,14,15,15,15,15,15,15,28,28,3,22,59,22,26,1,19,5,3,3,3,3,3,3,15,15,15,22,22,15,15,15,28,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.0,15.0
9,3,10,10,10,10,10,19,19,3,59,59,59,59,59,59,59,59,59,59,15,15,26,12,26,88,14,15,15,14,3,3,3,3,3,3,3,10,19,88,23,1,9,5,3,22,22,22,22,22,22,22,22,22,15,15,10,10,10,26,10,10,10,10,23,23,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,30,30,30,30.0,30.0
10,30,19,19,19,19,19,10,59,59,3,3,3,3,3,3,15,15,15,15,5,88,12,18,9,14,15,3,3,3,10,10,10,10,10,10,10,22,5,23,26,9,27,26,22,10,10,10,10,10,10,10,10,10,10,10,14,14,14,98,28,28,23,23,10,19,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,19,19,1,1.0,1.0
11,14,98,98,98,98,9,59,10,10,9,9,9,9,10,15,88,88,88,88,88,30,6,5,30,15,3,10,10,10,14,14,14,14,14,14,22,19,14,26,1,27,5,3,10,19,19,19,19,19,19,14,14,14,14,14,59,59,59,1,23,23,28,28,28,28,26,26,26,26,30,28,1,1,1,1,1,1,1,1,1,1,1,1,19,19.0,19.0
12,28,9,9,9,9,59,9,9,9,10,10,10,10,15,88,23,23,30,30,30,32,14,9,28,3,10,59,59,59,22,22,22,22,22,22,14,14,59,3,9,5,3,22,19,28,28,14,14,14,14,19,19,59,59,59,28,28,28,3,19,19,19,19,19,26,4,98,98,30,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98.0,98.0
13,98,59,59,59,59,98,4,4,23,15,15,15,15,88,23,30,30,23,23,32,26,59,19,14,10,59,22,22,22,59,59,59,19,19,19,19,59,10,9,27,14,59,10,28,14,14,28,28,28,59,59,59,19,19,28,23,23,23,15,26,26,26,26,26,4,98,30,30,98,1,1,21,21,21,21,21,21,21,21,21,14,14,14,14,14.0,14.0
14,10,4,4,4,4,4,23,23,4,23,88,88,88,23,30,32,32,32,32,26,5,5,14,3,59,22,32,19,19,19,19,19,59,59,59,59,28,88,27,5,3,22,23,14,88,59,59,59,59,28,28,28,28,28,23,19,19,19,23,4,4,4,4,4,98,30,1,1,1,26,21,4,14,14,14,14,14,14,14,14,21,21,21,21,21.0,21.0
15,59,15,15,23,23,23,98,15,15,88,23,23,23,30,32,4,26,26,26,9,9,9,3,10,22,19,19,88,88,88,88,88,88,88,88,88,88,23,5,3,22,10,28,59,59,23,23,23,23,23,23,23,23,23,19,4,4,4,19,98,98,98,98,98,30,1,21,21,21,21,4,28,4,4,4,4,4,4,4,4,4,4,4,4,59.0,59.0
16,15,88,88,26,15,15,15,88,88,30,30,30,30,32,4,22,22,9,9,23,3,3,59,59,30,30,30,23,23,23,23,23,23,23,23,23,23,26,32,32,10,28,14,23,23,4,4,4,4,4,4,4,4,4,4,26,26,26,4,59,59,59,59,30,1,21,4,4,4,4,14,14,59,59,59,59,59,59,59,59,59,59,59,59,88.0,88.0
17,9,23,23,22,88,88,88,30,30,4,32,32,32,4,22,26,9,3,3,3,10,10,10,22,19,88,88,30,4,4,4,4,4,4,4,4,4,32,10,10,28,14,59,4,4,26,26,26,26,26,26,26,26,26,26,98,98,98,59,30,30,30,30,1,59,59,59,59,14,14,59,59,28,28,88,88,88,88,88,88,88,88,88,88,28.0,28.0
18,19,32,26,15,32,32,30,98,32,32,4,4,4,22,10,3,4,10,10,10,22,22,22,19,23,23,23,4,98,98,98,98,98,98,98,98,26,30,28,28,4,4,4,26,26,88,88,98,98,98,98,98,98,98,98,30,30,30,30,1,1,1,1,59,21,14,14,14,59,59,88,88,88,88,28,28,28,28,28,28,28,28,28,28,32.0,32.0
19,26,26,32,88,30,30,32,32,98,98,98,22,22,9,26,9,3,22,22,22,23,23,23,23,4,4,4,98,26,26,26,26,26,26,26,26,98,28,4,4,21,21,21,21,21,98,98,88,88,88,88,88,30,30,30,88,88,88,32,32,32,32,21,21,14,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4.0,23.0
20,4,30,30,32,22,22,22,22,22,22,22,98,26,26,9,10,10,4,4,4,4,4,4,4,98,98,98,26,30,30,30,30,30,30,30,32,32,4,21,21,98,98,98,98,98,30,30,30,30,30,30,30,88,88,88,1,1,1,14,14,21,21,32,32,32,88,88,88,88,88,26,23,23,23,23,23,23,23,23,23,23,23,23,23,23.0,4.0
21,88,22,22,30,26,26,26,26,26,26,26,26,98,98,98,98,98,98,98,98,98,98,98,98,26,26,26,32,32,32,32,32,32,32,32,30,30,21,98,98,32,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,88,88,88,88,14,14,88,23,23,23,23,23,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0,
22,23,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,98,30,30,30,32,32,32,32,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,14,14,88,88,10,10,10,10,10,10,10,26,26,26,26,26,26,26,26,26,26,26,26,26,26.0,
