name,number
O'Ward,5
Palou,55
Herta,88
Dixon,9
Power,12
VeeKay,21
Rosenqvist,10
Rossi,27
Ericsson,8
Newgarden,1
Kimball,4
Veach,26
Andretti,98
Sato,30
Pagenaud,22
Askew,7
Ferrucci,18
Chilton,59
Kellett,14
Harvey,60
Daly,20
