name,number
Herta,88
VeeKay,21
Newgarden,1
Power,12
Andretti,98
Rossi,27
Harvey,60
O'Ward,5
Rahal,15
Rosenqvist,10
Chilton,59
Reay,28
Dixon,9
Ericsson,8
Ferrucci,18
Palou,55
Bourdais,14
Hinchcliffe,26
Pagenaud,22
Karam,24
Daly,20
Kimball,4
Castroneves,7
Sato,30
Kellett,41
