,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
10,22,12,12,12,1,1,98,98,98,98,1,10,14,14,14,10,10,10.0,1.0,18.0,19.0,21.0,30.0,9.0,32.0,32.0,32.0,98.0,98.0,98.0,98.0,30.0,30.0,30.0,9.0,12.0,10.0,10.0,10.0,10.0,14.0,12.0,22.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,98.0,15.0,12.0,9.0,9.0,9.0,1.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,19.0,19.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,22.0,22.0,1.0,12.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,14.0,14.0
11,27,1,1,1,12,26,10,10,10,10,10,14,10,10,10,1,1,1.0,28.0,19.0,21.0,19.0,32.0,98.0,98.0,98.0,98.0,32.0,30.0,30.0,30.0,5.0,5.0,5.0,1.0,10.0,28.0,28.0,28.0,14.0,10.0,10.0,30.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,10.0,19.0,1.0,1.0,1.0,98.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,19.0,14.0,14.0,14.0,14.0,14.0,88.0,88.0,30.0,1.0,9.0,98.0,21.0,21.0,21.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,30.0,30.0
12,1,26,26,26,26,21,21,14,14,14,14,1,1,1,1,28,28,28.0,18.0,21.0,60.0,60.0,9.0,30.0,30.0,30.0,30.0,30.0,5.0,5.0,5.0,1.0,1.0,1.0,12.0,28.0,14.0,14.0,14.0,88.0,88.0,88.0,26.0,59.0,59.0,59.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,9.0,26.0,98.0,98.0,12.0,88.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,19.0,19.0,19.0,19.0,88.0,22.0,22.0,9.0,9.0,12.0,14.0,14.0,14.0,14.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,22.0,22.0
13,18,21,21,21,21,98,26,26,28,28,28,28,28,28,28,18,18,18.0,19.0,59.0,15.0,15.0,98.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,12.0,12.0,12.0,10.0,14.0,88.0,88.0,88.0,22.0,22.0,22.0,10.0,18.0,18.0,18.0,59.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,1.0,98.0,12.0,12.0,21.0,14.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,88.0,88.0,88.0,88.0,88.0,88.0,22.0,30.0,30.0,1.0,98.0,98.0,21.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,30.0,30.0,30.0,30.0,30.0,88.0,88.0
14,26,60,60,98,98,15,15,28,26,59,59,18,18,18,18,19,19,19.0,21.0,60.0,26.0,26.0,5.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,10.0,10.0,28.0,88.0,22.0,22.0,22.0,30.0,30.0,30.0,59.0,15.0,15.0,15.0,15.0,59.0,10.0,10.0,10.0,10.0,10.0,22.0,14.0,12.0,14.0,14.0,14.0,21.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,22.0,22.0,22.0,22.0,22.0,22.0,30.0,1.0,1.0,98.0,26.0,26.0,88.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,22.0,22.0,22.0,22.0,22.0,21.0,
15,21,19,98,60,15,59,14,59,59,18,18,19,19,19,19,12,12,21.0,59.0,15.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,12.0,10.0,10.0,10.0,28.0,28.0,28.0,14.0,22.0,21.0,26.0,26.0,26.0,26.0,26.0,9.0,19.0,19.0,19.0,10.0,10.0,19.0,19.0,19.0,19.0,19.0,1.0,98.0,14.0,32.0,32.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,30.0,30.0,30.0,30.0,30.0,30.0,26.0,26.0,26.0,26.0,21.0,21.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,26.0,
16,10,98,19,19,59,14,28,18,18,19,19,59,12,12,12,21,21,59.0,60.0,26.0,32.0,98.0,14.0,12.0,12.0,12.0,12.0,1.0,28.0,28.0,28.0,14.0,14.0,14.0,22.0,26.0,26.0,21.0,21.0,59.0,9.0,9.0,18.0,10.0,10.0,10.0,19.0,19.0,59.0,9.0,9.0,9.0,9.0,59.0,32.0,32.0,22.0,22.0,32.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,26.0,26.0,26.0,21.0,21.0,21.0,21.0,30.0,30.0,26.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,26.0,26.0,26.0,26.0,26.0,21.0,21.0,21.0,21.0,21.0,21.0,26.0,26.0,19.0,
17,98,23,15,15,14,18,59,19,19,60,60,12,59,59,21,59,59,60.0,98.0,10.0,98.0,1.0,10.0,28.0,28.0,28.0,28.0,28.0,32.0,32.0,14.0,22.0,22.0,22.0,26.0,59.0,59.0,59.0,59.0,9.0,59.0,59.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,98.0,22.0,22.0,30.0,30.0,30.0,32.0,32.0,26.0,26.0,26.0,26.0,26.0,32.0,32.0,32.0,32.0,32.0,26.0,26.0,26.0,21.0,21.0,21.0,19.0,59.0,59.0,19.0,19.0,19.0,19.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,21.0,21.0,21.0,21.0,21.0,26.0,26.0,26.0,26.0,26.0,26.0,19.0,19.0,,
18,60,15,59,59,28,28,18,60,60,12,12,60,60,21,59,60,60,15.0,15.0,28.0,10.0,10.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,22.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,30.0,32.0,32.0,32.0,19.0,9.0,9.0,9.0,9.0,1.0,1.0,59.0,59.0,59.0,59.0,32.0,30.0,30.0,26.0,26.0,26.0,26.0,26.0,32.0,32.0,32.0,32.0,32.0,26.0,26.0,26.0,26.0,26.0,21.0,21.0,21.0,59.0,59.0,59.0,59.0,19.0,19.0,59.0,59.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,,
19,59,59,32,32,18,19,19,12,12,32,32,21,21,60,60,15,15,26.0,26.0,32.0,12.0,12.0,28.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,59.0,26.0,26.0,26.0,88.0,9.0,9.0,30.0,32.0,1.0,1.0,1.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,30.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,32.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,
20,23,32,18,18,19,32,32,32,32,15,15,32,15,15,15,26,26,32.0,32.0,98.0,28.0,28.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,32.0,30.0,30.0,9.0,9.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,
21,19,18,14,14,32,60,60,15,15,21,21,15,26,26,26,32,32,12.0,12.0,12.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,32.0,20.0,23.0,23.0,23.0,23.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,
22,32,14,28,28,60,12,12,21,21,26,26,26,32,32,32,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15,28,23,23,23,23,23,23,23,23,23,23,23,23,23,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
