0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
9,88.0,88.0,88.0,88.0,88.0,88.0,88.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,39.0,39.0,39.0,14.0,14.0,14.0,14.0,14.0,14.0,30.0,22.0,9.0,9.0,23.0,60.0,20.0,6.0,6.0,6.0,6.0,6.0,12.0,59.0,59.0,59.0,14.0,14.0,14.0,18.0,18.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,22.0,6.0,6.0,23.0,60.0,60.0,60.0,60.0,14.0,14.0,14.0,14.0,59.0,59.0,59.0,59.0,59.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
20,19.0,19.0,19.0,19.0,19.0,19.0,19.0,12.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0,39.0,14.0,14.0,14.0,30.0,30.0,30.0,30.0,30.0,30.0,22.0,9.0,23.0,23.0,60.0,18.0,18.0,21.0,21.0,21.0,21.0,21.0,59.0,4.0,19.0,19.0,39.0,39.0,39.0,19.0,19.0,88.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,39.0,39.0,60.0,32.0,32.0,32.0,14.0,60.0,60.0,59.0,59.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,27.0,27.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,88.0,88.0,88.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
60,18.0,18.0,18.0,14.0,14.0,14.0,14.0,4.0,4.0,14.0,14.0,14.0,14.0,39.0,39.0,14.0,30.0,30.0,30.0,22.0,22.0,22.0,22.0,22.0,22.0,9.0,23.0,60.0,60.0,18.0,6.0,6.0,59.0,59.0,59.0,59.0,59.0,4.0,19.0,14.0,14.0,88.0,88.0,88.0,9.0,9.0,21.0,88.0,88.0,22.0,22.0,22.0,22.0,19.0,19.0,19.0,32.0,14.0,14.0,14.0,32.0,59.0,59.0,1.0,1.0,6.0,27.0,27.0,27.0,27.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,6.0,6.0,6.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
6,39.0,39.0,39.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,19.0,39.0,39.0,14.0,14.0,30.0,22.0,22.0,22.0,9.0,9.0,9.0,9.0,9.0,9.0,23.0,60.0,18.0,18.0,6.0,21.0,21.0,4.0,4.0,4.0,4.0,4.0,9.0,30.0,39.0,39.0,22.0,22.0,22.0,6.0,6.0,19.0,6.0,22.0,88.0,88.0,88.0,6.0,39.0,23.0,23.0,14.0,59.0,59.0,59.0,59.0,1.0,1.0,27.0,27.0,27.0,88.0,88.0,88.0,88.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.0,6.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,4.0,4.0
59,30.0,30.0,30.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,19.0,30.0,30.0,30.0,22.0,9.0,9.0,9.0,23.0,23.0,23.0,23.0,23.0,23.0,60.0,18.0,6.0,6.0,21.0,59.0,59.0,39.0,19.0,19.0,19.0,19.0,19.0,14.0,88.0,88.0,30.0,30.0,30.0,21.0,21.0,6.0,22.0,6.0,6.0,6.0,6.0,19.0,23.0,60.0,60.0,59.0,88.0,88.0,88.0,1.0,27.0,27.0,60.0,88.0,88.0,6.0,20.0,20.0,20.0,28.0,6.0,6.0,28.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,20.0,20.0,20.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,4.0,4.0,20.0,20.0
19,14.0,14.0,14.0,9.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,22.0,22.0,22.0,9.0,23.0,23.0,23.0,18.0,18.0,18.0,18.0,60.0,60.0,18.0,59.0,21.0,21.0,4.0,4.0,4.0,19.0,39.0,39.0,39.0,39.0,39.0,39.0,22.0,22.0,23.0,23.0,23.0,60.0,60.0,22.0,19.0,19.0,19.0,19.0,19.0,39.0,60.0,32.0,32.0,1.0,1.0,1.0,1.0,88.0,88.0,88.0,88.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,60.0,28.0,32.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,60.0,60.0,60.0,60.0
21,4.0,4.0,4.0,30.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,9.0,9.0,9.0,23.0,32.0,18.0,18.0,32.0,60.0,60.0,60.0,18.0,18.0,6.0,6.0,88.0,59.0,59.0,19.0,19.0,88.0,88.0,88.0,88.0,14.0,14.0,88.0,30.0,30.0,18.0,18.0,18.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,32.0,14.0,14.0,88.0,27.0,27.0,27.0,27.0,20.0,20.0,20.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,28.0,60.0,4.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,4.0,4.0,4.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
39,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,9.0,9.0,9.0,23.0,23.0,23.0,32.0,18.0,32.0,32.0,60.0,32.0,32.0,32.0,32.0,32.0,21.0,21.0,32.0,32.0,19.0,88.0,88.0,22.0,14.0,14.0,14.0,88.0,88.0,22.0,23.0,23.0,19.0,9.0,19.0,23.0,23.0,60.0,39.0,39.0,39.0,39.0,39.0,60.0,14.0,59.0,59.0,20.0,20.0,20.0,20.0,20.0,4.0,4.0,4.0,4.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,32.0,32.0,32.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
4,22.0,22.0,22.0,23.0,32.0,32.0,32.0,9.0,9.0,23.0,23.0,23.0,32.0,32.0,32.0,18.0,60.0,60.0,60.0,21.0,21.0,21.0,6.0,6.0,6.0,32.0,32.0,59.0,19.0,88.0,14.0,14.0,14.0,22.0,22.0,22.0,22.0,22.0,23.0,18.0,18.0,9.0,19.0,9.0,39.0,39.0,39.0,60.0,60.0,60.0,60.0,60.0,32.0,59.0,88.0,88.0,4.0,4.0,4.0,4.0,4.0,32.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,60.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,
30,32.0,32.0,32.0,32.0,9.0,9.0,9.0,32.0,32.0,32.0,32.0,32.0,18.0,18.0,18.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.0,21.0,21.0,19.0,19.0,19.0,88.0,14.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,9.0,9.0,9.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,88.0,88.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,,,,
88,9.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,14.0,14.0,14.0,14.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,
22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
