name,number
Bourdais,18
Pagenaud,22
Power,12
Rossi,27
Wickens,6
Reay,28
Hinchcliffe,5
Newgarden,1
Kanaan,14
Fittipaldi,19
Jones,10
Kaiser,32
Rahal,15
Sato,30
Leist,4
Andretti,98
Carpenter,20
Dixon,9
Chaves,88
Pigot,21
Chilton,59
Kimball,23
Veach,26
