name,number
Power,12
O'Ward,5
Dixon,9
Ericsson,8
Newgarden,1
Sato,30
Harvey,60
Reay,28
Herta,88
Palou,55
Rosenqvist,10
VeeKay,21
Daly,59
Ferrucci,18
Kimball,4
Askew,7
Rahal,15
Kanaan,14
Pagenaud,22
Carpenter,20
Veach,26
Andretti,98
Rossi,27
