name,number
Power,12
Herta,26
Newgarden,2
Pagenaud,22
Ericsson,8
O'Ward,5
Reay,28
Rossi,27
Dixon,9
Rosenqvist,7
Jones,18
Rahal,15
Harvey,60
McLaughlin,3
Sato,30
Palou,10
Grosjean,51
VeeKay,21
Kanaan,48
Daly,59
Bourdais,14
Carpenter,20
Kellett,4
Hinchcliffe,29
