,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
10,26,26,26,23,23,23,23,23,23,23,10,10.0,10.0,30.0,30.0,30.0,10.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,22.0,22.0,22.0,22.0,22.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,26.0,22.0,98.0,27.0,20.0,21.0,21.0,21.0,4.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,30.0,30.0,30.0,27.0,22.0,26.0,26.0,20.0,30.0,98.0,19.0,19.0,27.0,27.0,27.0,27.0
11,10,10,23,10,10,10,10,10,10,10,30,30.0,30.0,22.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,21.0,21.0,30.0,22.0,22.0,22.0,30.0,30.0,30.0,30.0,19.0,19.0,19.0,19.0,30.0,30.0,27.0,27.0,27.0,30.0,98.0,20.0,20.0,22.0,22.0,19.0,27.0,27.0,19.0,19.0,19.0,19.0
12,59,59,10,19,30,30,30,30,30,30,20,20.0,20.0,20.0,15.0,15.0,15.0,14.0,21.0,21.0,21.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0,98.0,27.0,6.0,22.0,4.0,4.0,4.0,15.0,19.0,19.0,19.0,30.0,30.0,30.0,30.0,27.0,27.0,98.0,98.0,98.0,98.0,21.0,30.0,22.0,30.0,19.0,27.0,4.0,4.0,4.0,4.0,4.0,4.0
13,23,23,19,30,19,20,20,20,20,20,15,15.0,15.0,15.0,21.0,21.0,21.0,21.0,14.0,14.0,98.0,98.0,98.0,22.0,22.0,22.0,22.0,22.0,19.0,22.0,98.0,98.0,19.0,19.0,19.0,19.0,4.0,4.0,4.0,4.0,4.0,4.0,32.0,32.0,10.0,10.0,10.0,10.0,98.0,98.0,21.0,20.0,20.0,4.0,30.0,30.0,30.0,19.0,10.0,10.0,10.0,98.0,98.0,98.0,98.0,98.0,98.0,21.0,21.0,21.0,21.0,26.0,22.0,30.0,19.0,4.0,4.0,26.0,26.0,26.0,26.0,26.0,26.0
14,15,15,20,20,20,19,19,15,15,15,23,19.0,19.0,21.0,14.0,14.0,14.0,98.0,98.0,98.0,22.0,22.0,22.0,98.0,98.0,98.0,98.0,98.0,22.0,15.0,19.0,19.0,4.0,4.0,4.0,4.0,21.0,32.0,32.0,32.0,32.0,32.0,10.0,10.0,32.0,98.0,98.0,98.0,21.0,21.0,27.0,22.0,22.0,15.0,15.0,15.0,15.0,98.0,98.0,98.0,98.0,10.0,21.0,21.0,21.0,21.0,21.0,20.0,26.0,26.0,26.0,20.0,19.0,19.0,4.0,26.0,26.0,20.0,20.0,20.0,20.0,20.0,20.0
15,19,19,15,15,15,15,15,19,19,19,19,21.0,21.0,14.0,22.0,22.0,22.0,22.0,22.0,22.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,98.0,98.0,4.0,4.0,21.0,21.0,21.0,21.0,32.0,21.0,10.0,10.0,10.0,10.0,98.0,98.0,98.0,21.0,21.0,21.0,20.0,20.0,20.0,4.0,4.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,10.0,26.0,26.0,26.0,26.0,26.0,20.0,20.0,20.0,4.0,4.0,4.0,26.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,
16,21,21,30,21,21,21,21,21,21,21,21,14.0,14.0,98.0,98.0,98.0,98.0,19.0,19.0,19.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,32.0,4.0,4.0,21.0,21.0,32.0,32.0,32.0,32.0,10.0,10.0,98.0,98.0,98.0,98.0,21.0,21.0,21.0,32.0,32.0,32.0,4.0,4.0,4.0,19.0,19.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,10.0,10.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,,
17,30,30,59,14,14,14,14,14,14,14,14,98.0,98.0,19.0,19.0,19.0,19.0,59.0,59.0,59.0,32.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,32.0,32.0,32.0,32.0,98.0,98.0,98.0,98.0,98.0,98.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,,
18,20,20,21,59,59,59,59,59,59,59,98,59.0,59.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,14.0,14.0,14.0,14.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,
19,88,88,14,88,88,88,88,98,98,98,59,32.0,32.0,32.0,32.0,32.0,32.0,4.0,4.0,4.0,88.0,88.0,88.0,88.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,88.0,88.0,88.0,88.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,
20,4,32,88,98,98,98,98,88,32,32,32,4.0,4.0,4.0,4.0,4.0,4.0,88.0,88.0,88.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,32,14,32,32,32,32,32,32,4,4,4,88.0,88.0,88.0,88.0,88.0,88.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14,4,4,4,4,4,4,4,88,88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
