,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
10,14,20.0,20.0,20.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,59.0,59.0,28.0,30.0,30.0,98.0,21.0,21.0,21.0,59.0,59.0,98.0,60.0,26.0,14.0,10.0,5.0,5.0,5.0,15.0,30.0,30.0,4.0,26.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,10.0,10.0,23.0,98.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,10.0,10.0,10.0,26.0,26.0,26.0,98.0,18.0,18.0,18.0,18.0,18.0,5.0,5.0,5.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,9.0,9.0
11,20,10.0,10.0,10.0,4.0,59.0,59.0,59.0,26.0,26.0,26.0,26.0,59.0,98.0,98.0,98.0,98.0,98.0,21.0,98.0,98.0,98.0,98.0,98.0,23.0,21.0,21.0,10.0,21.0,15.0,15.0,15.0,30.0,4.0,4.0,5.0,19.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,60.0,60.0,60.0,98.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,26.0,26.0,26.0,98.0,98.0,98.0,15.0,5.0,5.0,5.0,5.0,5.0,9.0,28.0,28.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,9.0,9.0,60.0,60.0
12,10,4.0,4.0,4.0,59.0,26.0,26.0,26.0,59.0,59.0,59.0,59.0,98.0,28.0,28.0,30.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,1.0,14.0,14.0,21.0,5.0,30.0,30.0,30.0,4.0,15.0,26.0,26.0,4.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,23.0,23.0,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,98.0,98.0,98.0,15.0,15.0,15.0,23.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0
13,4,59.0,59.0,59.0,26.0,21.0,21.0,21.0,98.0,98.0,98.0,98.0,28.0,21.0,21.0,21.0,23.0,23.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,10.0,10.0,32.0,30.0,4.0,4.0,4.0,26.0,26.0,88.0,88.0,60.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,98.0,98.0,98.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,15.0,15.0,15.0,23.0,23.0,23.0,60.0,28.0,28.0,28.0,28.0,28.0,28.0,4.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
14,59,26.0,26.0,26.0,21.0,88.0,88.0,98.0,21.0,21.0,21.0,21.0,21.0,30.0,30.0,23.0,60.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,32.0,32.0,5.0,15.0,23.0,26.0,26.0,60.0,88.0,19.0,19.0,23.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,5.0,5.0,5.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,15.0,15.0,19.0,19.0,19.0,28.0,28.0,28.0,28.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,
15,26,60.0,21.0,21.0,88.0,15.0,98.0,88.0,88.0,88.0,28.0,28.0,30.0,23.0,23.0,60.0,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,5.0,5.0,15.0,4.0,26.0,88.0,88.0,88.0,19.0,59.0,60.0,59.0,59.0,59.0,5.0,5.0,5.0,5.0,5.0,19.0,15.0,15.0,30.0,59.0,59.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,28.0,4.0,4.0,4.0,4.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,32.0,32.0,32.0,32.0,32.0,32.0,
16,60,21.0,88.0,88.0,98.0,98.0,30.0,28.0,28.0,28.0,88.0,30.0,23.0,5.0,60.0,4.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,59.0,15.0,4.0,26.0,88.0,19.0,19.0,19.0,59.0,60.0,59.0,98.0,5.0,5.0,59.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,28.0,4.0,21.0,59.0,59.0,59.0,4.0,4.0,4.0,4.0,4.0,4.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,32.0,32.0,32.0,59.0,59.0,59.0,59.0,59.0,59.0,
17,21,88.0,98.0,98.0,19.0,19.0,28.0,30.0,30.0,30.0,30.0,88.0,10.0,60.0,19.0,32.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,26.0,88.0,19.0,59.0,59.0,59.0,60.0,23.0,23.0,5.0,15.0,15.0,15.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,21.0,4.0,4.0,4.0,4.0,28.0,28.0,28.0,28.0,28.0,21.0,32.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,32.0,32.0,59.0,59.0,59.0,20.0,20.0,20.0,20.0,20.0,20.0,
18,88,98.0,19.0,19.0,30.0,30.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,32.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,88.0,88.0,19.0,21.0,23.0,23.0,23.0,23.0,98.0,98.0,15.0,32.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,28.0,28.0,28.0,28.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,59.0,59.0,59.0,59.0,59.0,20.0,20.0,20.0,88.0,88.0,88.0,88.0,88.0,,
19,98,19.0,30.0,30.0,60.0,60.0,23.0,23.0,23.0,23.0,23.0,23.0,60.0,32.0,10.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,98.0,19.0,19.0,32.0,59.0,98.0,98.0,98.0,98.0,15.0,15.0,32.0,4.0,4.0,4.0,4.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,28.0,28.0,28.0,,,,
20,19,30.0,60.0,60.0,28.0,28.0,60.0,60.0,60.0,60.0,60.0,60.0,15.0,10.0,5.0,88.0,88.0,88.0,88.0,15.0,15.0,15.0,15.0,15.0,15.0,88.0,59.0,59.0,59.0,98.0,32.0,32.0,32.0,32.0,32.0,32.0,21.0,21.0,21.0,21.0,21.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,6.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,
21,30,23.0,32.0,32.0,32.0,23.0,15.0,15.0,15.0,15.0,15.0,15.0,88.0,88.0,88.0,15.0,15.0,15.0,15.0,88.0,88.0,88.0,88.0,88.0,88.0,19.0,98.0,98.0,98.0,32.0,21.0,21.0,21.0,21.0,21.0,21.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,6.0,6.0,6.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,6.0,30.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
22,23,32.0,23.0,23.0,23.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,15.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,30.0,30.0,30.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
