st,EloRating
14,1513.73333755448
24,1433.77150730548
12,1498.59122475025
7,1587.49871749239
6,1588.24260985802
9,1525.94012442115
13,1483.3354198548
17,1445.49677871481
18,1478.33945284498
2,1695.17984926484
10,1492.54597030051
5,1611.4789034845
11,1527.45938393512
8,1571.96226641902
16,1455.86698325868
15,1479.18923646999
22,1439.09420804193
1,1710.59796627444
20,1453.66426351783
21,1431.53338780902
4,1635.88204899739
23,1419.29126078589
19,1450.77034578544
3,1646.14896874077
32,1453.33886597888
30,1433.97395630266
27,1431.67169657217
31,1487.17258623076
26,1379.35625024901
33,1435.07786882444
25,1398.29104310705
28,1467.70810470634
29,1437.79541214698
