Car No.,Driver,Team,Engine,Rounds,year
14,Tony Kanaan,AJ Foyt Racing,Chevy,Ovals,2020
14,Sebastien Bourdais,AJ Foyt Racing,Chevy,Harvest GP & St. Pete,2020
14,Dalton Kellett,AJ Foyt Racing,Chevy,COT/GMR/DET/RA/TOR/MOH/LAG,2020
15,Graham Rahal,Rahal Letterman Lanigan Racing,Honda,Full Season,2020
18,Santino Ferrucci,Dale Coyne Racing/Vasser-Sullivan,Honda,Full Season,2020
20,Ed Carpenter,Ed Carpenter Racing,Chevy,Ovals,2020
20,Conor Daly,Ed Carpenter Racing,Chevy,Road/Street,2020
21,Rinus VeeKay,Ed Carpenter Racing,Chevy,Full Season,2020
22,Simon Pagenaud,Team Penske,Chevy,Full Season,2020
24,Sage Karam,Dreyer & Reinbold Racing,Chevy,IMS Races,2020
26,James Hinchcliffe,Andretti Autosport,Honda,Harvest GP & STP,2020
26,Zach Veach,Andretti Autosport,Honda,Rounds 1-11,2020
27,Alexander Rossi,Andretti Autosport,Honda,Full Season,2020
28,Ryan Hunter-Reay,Andretti Autosport,Honda,Full Season,2020
29,James Hinchcliffe,Andretti Autosport,Honda,Texas & IMS Races,2020
30,Takuma Sato,Rahal Letterman Lanigan Racing,Honda,Full Season,2020
31,Felipe Nasr,Carlin,Chevy,COTA Test,2020
31,Sergio Sette Camara,Carlin,Chevy,COTA Test,2020
32,TBA,Juncos Racing,Chevy,TBA,2020
41,Dalton Kellett,AJ Foyt Racing,Chevy,Indy 500 & Harvest GP,2020
45,Spencer Pigot,Rahal Letterman Lanigan Racing/Citrone/Buhl Autosport,Honda,IMS Races,2020
47,Conor Daly,Ed Carpenter Racing,Chevy,Indy 500,2020
51,James Davison,Dale Coyne Racing/Rick Ware Racing,Honda,Full Season,2020
55,Alex Palou,Dale Coyne Racing/Team Goh,Honda,Full Season,2020
59,Max Chilton,Carlin,Chevy,Road/Street/Indy 500,2020
59,Conor Daly,Carlin,Chevy,Non-IMS Ovals,2020
60,Jack Harvey,Meyer Shank Racing/Andretti Technologies,Honda,Full Season,2020
66,Fernando Alonso,Arrow McLaren SP,Chevy,Indy 500,2020
67,JR Hildebrand,Dreyer & Reinbold Racing,Chevy,Indy 500,2020
81,Ben Hanley,DragonSpeed,Chevy,Indy 500,2020
88,Colton Herta,Andretti Autosport/Harding Steinbrenner Racing,Honda,Full Season,2020
98,Marco Andretti,Andretti Autosport/Bryan Herta Autosport/Marco Andretti,Honda,Full Season,2020
1,JR Hildebrand,AJ Foyt Racing,Chevy,Indy 500,2021
