resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,BestSpeed,LastSpeed,AverageSpeed,NTRank,NTLap,NTBestTime,NTBestSpeed,Passes,Passed,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3_SPD,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5_SPD,Best_S6A,Best_S6,Best_S6B,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3_SPD,S4A,S4,S4B,S5A,S5,I2,S5B,T5_SPD,S6A,S6,S6B,S7,L6,I3,S8,P1,L2,EntrantID,TeamID,DriverID,T5,T3,time_stamp,Best_T5,Best_T3
10,0,4,11,14.4314,0.4287,11,11,1:01.9161,14,1:02.7405,42,50:49.6722,Active,TRUE,1,27,15,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,19,19,"",13,103,0,A,104.658,103.283,89.242,0,0,-0.0001,,4,13,2.8287,28.6522,100.352,20.3856,6.1931,4.7375,2075.82,107.531,6.5475,157.767,4.5432,12.9444,8.3708,3.7702,10.4465,20.4208,6.5661,157.737,4.9585,9.9743,4.9704,8.4795,11.9471,12.6777,4.0243,13.3912,33.7768,2.9505,29.0503,,,6.3108,,,,6.5704,156.44,4.6987,13.2186,8.5199,3.904,,,,,,,,,,,,,,13,21,400,,,2022-02-27T18:22:05.309269Z,,
5,0,0,12,14.6711,0.2397,12,6,1:01.8920,23,1:12.2722,42,50:49.9119,Active,TRUE,2,42,0,Green,60,Simon,Pagenaud,IndyCar,D/H/F,Veteran,Meyer Shank Racing,18,18,"",3,61,0,P,104.699,89.661,89.235,0,0,-0.0001,,3,14,2.8447,28.624,58.527,20.1396,6.1136,3.7095,1000.33,58.0197,6.5164,157.585,4.6449,13.0948,8.4156,3.7913,10.4536,20.3277,6.6336,156.98,4.866,9.8741,4.9986,8.6002,9.498,12.7392,4.0513,13.6871,33.8848,2.8983,28.6608,58.527,20.1396,,3.7095,,,6.9183,148.383,5.0811,,,,,,,,,,,,,,,,,25,148,658,,,2022-02-27T18:22:05.309269Z,,
14,0,4,13,15.2242,0.5531,13,15,1:02.0303,23,1:02.7206,42,50:50.4650,Active,TRUE,1,27,15,Green,30,Christian,Lundgaard,IndyCar,D/H/F,Rookie,Rahal Letterman Lanigan Racing,17,17,"",15,84,0,A,104.465,103.315,89.219,0,0,-0.0001,,3,5,2.8709,28.7354,99.6908,21.4888,6.152,4.138,2070.74,105.499,6.5314,157.828,4.5769,13.0296,8.4096,3.7872,10.4843,20.5017,6.6168,157.433,4.9508,10.0065,5.003,8.5063,11.601,12.6068,4.0629,13.467,34.9558,2.93,28.9433,,,6.3563,,,,6.6274,154.228,4.62,13.0296,8.4096,3.8172,,,,,,,,,,,,,,21,21,2071,,,2022-02-27T18:22:05.309269Z,,
4,0,4,14,15.8292,0.6050,14,5,1:02.2313,16,1:02.7356,42,50:51.0700,Active,TRUE,1,27,15,Green,28,Romain,Grosjean,IndyCar,D/H/F,Veteran,Andretti Autosport,16,16,"",16,114,0,P,104.128,103.291,89.201,0,0,-0.0001,,9,3,2.8449,28.8273,101.526,10.8929,6.1916,4.54,2082.99,106.946,6.5557,156.56,4.5961,12.9978,8.3832,3.8228,10.5356,20.5852,6.6855,155.933,4.9515,9.9846,5.0047,8.5326,12.3135,12.7627,4.0369,24.1483,35.0412,2.9807,29.2101,,,6.3702,,,,6.6169,154.871,4.7527,13.2423,8.4896,3.8537,,,,,,,,,,,,,,19,3,2047,,,2022-02-27T18:22:05.309269Z,,
21,0,4,15,16.5972,0.7680,15,22,1:02.0418,16,1:02.7383,42,50:51.8380,Active,TRUE,1,27,15,Green,51,Takuma,Sato,IndyCar,D/H/F,Veteran,Dale Coyne Racing w/RWR,15,15,"",17,140,0,A,104.446,103.286,89.179,0,0,-0.0001,,6,4,2.9078,28.7026,99.6123,10.8113,6.1183,4.1263,2062.91,108.701,6.5226,156.74,4.5798,13.0741,8.4217,3.7897,10.4872,20.4043,6.6975,155.312,4.8367,9.8657,5.0279,8.5585,11.3125,12.8023,4.1414,24.6571,35.4684,2.9371,29.319,,,6.36,,,,6.6886,151.994,4.8238,13.3333,8.5095,3.8708,,,,,,,,,,,,,,24,129,543,,,2022-02-27T18:22:05.309269Z,,
25,0,4,16,18.2056,1.6084,16,26,1:02.5476,21,1:03.6662,42,50:53.4464,Active,TRUE,1,27,15,Green,48,Jimmie,Johnson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,14,14,"",18,57,0,A,103.601,101.781,89.132,0,0,-0.0001,,10,2,2.8474,28.8178,96.854,10.5891,6.2599,4.3597,2059.1,107.983,6.5606,157.981,4.5691,13.1109,8.514,3.8372,10.4478,20.5508,6.5897,157.676,5.0331,10.033,4.9854,8.6213,11.5675,12.7929,4.0477,24.0889,34.678,2.894,29.179,,,6.3439,,,,6.6662,155.666,4.7152,13.2749,8.5597,3.9272,,,,,,,,,,,,,,23,25,2031,,,2022-02-27T18:22:05.309269Z,,
19,0,4,17,18.7418,0.5362,17,20,1:02.2631,24,1:03.3958,42,50:53.9826,Active,TRUE,1,27,15,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,13,13,"",19,129,0,P,104.074,102.215,89.116,0,0,-0.0001,,4,4,2.8976,28.7226,99.1854,10.9383,6.1153,4.602,2066.85,109.165,6.5355,156.44,4.6667,13.0183,8.3516,3.7623,10.5646,20.6845,6.7016,154.637,4.9938,10.0908,5.0409,8.5762,11.662,12.8116,4.1199,24.7161,35.6544,2.9818,29.2785,,,6.4262,,,,6.6187,155.047,4.734,13.2518,8.5178,3.9042,,,,,,,,,,,,,,15,139,580,,,2022-02-27T18:22:05.309269Z,,
22,0,4,18,19.6449,0.9031,18,23,1:02.5174,17,1:03.3723,42,50:54.8857,Active,TRUE,2,31,11,Green,45,Jack,Harvey,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,12,12,"",20,85,0,P,103.651,102.253,89.09,0,0,-0.0001,,6,3,2.8637,28.8304,59.9934,10.5714,6.2148,3.9149,736.522,58.3277,6.5499,156.35,4.6694,13.109,8.4396,3.8244,10.5342,20.6741,6.6724,156.53,5.0195,10.0694,5.0498,8.607,9.7894,12.7784,4.0838,22.3159,32.8873,2.9189,29.2054,,,6.3462,,,,6.6149,155.253,4.7241,13.3254,8.6013,3.841,,,,,,,,,,,,,,22,21,850,,,2022-02-27T18:22:05.309269Z,,
16,0,4,19,20.4238,0.7789,19,17,1:02.2022,16,1:03.2973,42,50:55.6646,Active,TRUE,2,27,15,Green,6,Helio,Castroneves,IndyCar,D/H/F,Veteran,Meyer Shank Racing,11,11,"",21,117,0,P,104.176,102.374,89.067,0,0,-0.0001,,2,4,2.8839,28.8809,59.7338,10.5268,6.2212,3.8847,803.267,58.5238,6.546,157.192,4.6966,13.1002,8.4036,3.7892,10.4637,20.4707,6.6359,157.615,4.9735,10.007,5.0303,8.5487,9.8388,12.7362,4.0982,23.4407,33.9675,2.9158,29.2395,,,6.2838,,,,6.6177,148.41,4.9071,13.4222,8.5151,,,,,,,,,,,,,,,5,148,254,,,2022-02-27T18:22:05.309269Z,,
7,0,4,20,20.9808,0.5570,20,8,1:02.1660,20,1:03.2183,42,50:56.2216,Active,TRUE,1,27,15,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,10,10,"",22,106,0,P,104.237,102.502,89.051,0,0,-0.0001,,13,1,2.8729,28.728,102.493,21.5393,6.1257,4.3672,2078.45,108.045,6.4785,157.252,4.6909,13.2149,8.4505,3.8191,10.432,20.5393,6.5806,157.071,4.9893,10.0522,4.9823,8.535,12.3334,12.7613,4.0936,13.3955,34.9348,2.9434,29.3462,,,6.4038,,,,6.6004,154.841,4.896,13.3986,8.5026,,,,,,,,,,,,,,,7,25,1087,,,2022-02-27T18:22:05.309269Z,,
