resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5,Best_S6A,Best_S6,Best_S6B,S7,L6,I3,S8,P1,L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,EntrantID,TeamID,DriverID,Best_T5_SPD,T5_SPD,Best_T3_SPD,T3_SPD,time_stamp,BestSpeed,LastSpeed,AverageSpeed,NTBestSpeed
13,0,7,19,0.0000,0.0000,19,14,0.0000,0,0.0000,0,1:39.8551,In Pit,False,0,0,0,Green,18,David,Malukas,IndyCar,D/H/F,Rookie,Dale Coyne Racing with HMD,"",0,0,0,P,0,0,-0.0001,"",13.6297,"","","","","","","","","","",84.5208,"","","","","","","","",32.6624,"","",7.9758,14.7583,6.7825,"","","","","","","","","","","","","","","","","","","","","","","","","","","",14,129,1014,,,,,2022-02-25T20:42:11.120507Z,,,,
4,0,7,20,0.0000,0.0000,20,5,0.0000,0,0.0000,0,1:42.2035,Active,False,0,0,0,Green,06,Helio,Castroneves,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,12.3693,12.3728,"","","","","","","","","","",72.2687,"","","","","","","","",28.2222,"","",8.5436,15.3528,6.8092,12.3693,12.3728,"","","","","","","","","","",72.2687,"","","","","","","","",28.2222,"","",8.5436,15.3528,6.8092,5,148,254,,,,,2022-02-25T20:42:11.120507Z,,,,
19,0,4,21,0.0000,0.0000,21,20,0.0000,0,0.0000,0,2:04.1399,Active,True,0,0,0,Green,29,Devlin,DeFrancesco,IndyCar,D/H/F,Rookie,Andretti Steinbrenner Autosport,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","","","","","","","",17.5056,10.5523,4.7709,12.4359,25.0098,7.6650,,6.5485,12.5739,6.0254,"","","","","","","","","","","","","","","","","",17.5056,10.5523,4.7709,12.4359,25.0098,7.6650,,6.5485,12.5739,6.0254,20,3,2020,114.962,114.962,,,2022-02-25T20:42:11.120507Z,,,,
9,0,0,22,0.0000,0.0000,22,10,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Green,11,Tatiana,Calderon,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,596,,,,,2022-02-25T20:42:11.120507Z,,,,
11,0,0,23,0.0000,0.0000,23,12,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,14,Kyle,Kirkwood,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","","","","",10.4446,,7.5638,19.0531,11.4893,5.0102,13.7437,"",8.7335,,"","","","","","","","","","","","","","","","","",10.4446,,7.5638,19.0531,11.4893,5.0102,13.7437,"",8.7335,,"","","",12,2,954,99.657,99.657,90.178,90.178,2022-02-25T20:42:11.120507Z,,,,
20,0,7,24,0.0000,0.0000,24,21,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,30,Christian,Lundgaard,IndyCar,D/H/F,Rookie,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,2071,,,,,2022-02-25T20:42:11.120507Z,,,,
22,0,0,25,0.0000,0.0000,25,23,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Green,48,Jimmie,Johnson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,2031,,,,,2022-02-25T20:42:11.120507Z,,,,
23,0,0,26,0.0000,0.0000,26,24,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,51,Takuma,Sato,IndyCar,D/H/F,Veteran,Dale Coyne Racing w/RWR,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",5.1265,"","",10.4576,,7.3760,18.6863,11.3103,4.9003,"","","","","","","","","","","","","","","","","","",5.1265,"","",10.4576,,7.3760,18.6863,11.3103,4.9003,"","","","","","","",24,129,543,,,100.292,100.292,2022-02-25T20:42:11.120507Z,,,,
8,0,7,1,0.0000,0.0000,1,9,0.0000,0,0.0000,0,1:07.8915,In Pit,False,0,0,0,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","",13.5066,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,25,2018,,,,,2022-02-25T20:42:46.916821Z,,,,
0,0,7,2,0.0000,0.0000,2,1,0.0000,0,0.0000,0,1:11.6724,In Pit,False,0,0,0,Green,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"","","","",13.4590,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,12,606,,,,,2022-02-25T20:42:46.916821Z,,,,
