resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,totalEntrantPoints,totalDriverPoints,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_TSF_SPD,Best_S1,Best_I1,Best_L4,Best_L5,Best_L7,Best_L3,Best_S2A,Best_S2,Best_S2B,Best_T2_SPD,Best_S3A,Best_S3,Best_S3B,Best_S3C,Best_S3D,Best_S4,Best_I2,Best_T4_SPD,Best_S5A,Best_S5,Best_S5B,Best_S6,Best_S7A,Best_S7,Best_I3,Best_S7B,Best_T7_SPD,Best_S8,Best_L6,Best_PIC,Best_S9,Best_P1,Best_L2,Best_P2,TSF_SPD,S1,I1,L4,L5,L7,L3,S2A,S2,S2B,T2_SPD,S3A,S3,S3B,S3C,S3D,S4,I2,T4_SPD,S5A,S5,S5B,S6,S7A,S7,I3,S7B,T7_SPD,S8,L6,PIC,S9,P1,L2,P2,EntrantID,TeamID,DriverID,LastSpeed,time_stamp,Passed,Passes,BestSpeed,AverageSpeed,NTBestSpeed,T2,T4,T7,TSF
10,0,0,11,0.0000,0.0000,11,11,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,18,Ed,Jones,IndyCar,D/H/F,Veteran,Dale Coyne Racing with Vasser Sullivan,119,119,"",0,0,0,A,0,0,-0.0001,86.874,4.6832,"","",24.2309,"",129.9710,7.0694,19.7864,12.7170,67.329,11.4945,32.4531,6.0980,7.5306,4.6898,16.9201,48.3872,63.225,10.5148,18.7766,8.2618,12.6905,8.5221,13.9472,24.8995,5.4251,76.130,3.4012,"","",7.5511,"","","",86.874,4.6832,"","",24.2309,"",129.9710,7.0694,19.7864,12.7170,67.329,11.4945,32.4531,6.0980,7.5306,4.6898,16.9201,48.3872,63.225,10.5148,18.7766,8.2618,12.6905,8.5221,13.9472,24.8995,5.4251,76.130,3.4012,"","",7.5511,"","","",12,129,918,,2021-06-13T16:47:47.561328Z,,,,,,,,,
11,0,0,12,0.0000,0.0000,12,12,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,45,Santino,Ferrucci,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,103,103,"",0,0,0,A,0,0,-0.0001,87.825,4.5182,"","",24.5651,"",130.4300,6.9278,19.3838,12.4560,68.471,11.8238,32.5487,6.4559,7.9152,4.6246,16.6198,48.1413,69.771,10.7472,19.3167,8.5695,12.2048,8.9781,14.2051,25.1750,5.2270,75.850,3.1018,"","",7.8681,"","","",87.825,4.5182,"","",24.5651,"",130.4300,6.9278,19.3838,12.4560,68.471,11.8238,32.5487,6.4559,7.9152,4.6246,16.6198,48.1413,69.771,10.7472,19.3167,8.5695,12.2048,8.9781,14.2051,25.1750,5.2270,75.850,3.1018,"","",7.8681,"","","",34,21,1064,,2021-06-13T16:47:47.561328Z,,,,,,,,,
12,0,0,13,0.0000,0.0000,13,13,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,14,Sebastien,Bourdais,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,125,125,"",0,0,0,A,0,0,-0.0001,69.739,4.8482,"","",24.2286,"",130.0380,6.6159,18.8234,12.2075,62.527,11.9174,34.2204,6.8340,8.1073,5.2755,15.3941,46.5127,74.704,10.2264,18.8240,8.5976,12.2946,8.5780,13.9065,25.0766,5.3285,70.327,3.4399,"","",7.7302,"","","",69.739,4.8482,"","",24.2286,"",130.0380,6.6159,18.8234,12.2075,62.527,11.9174,34.2204,6.8340,8.1073,5.2755,15.3941,46.5127,74.704,10.2264,18.8240,8.5976,12.2946,8.5780,13.9065,25.0766,5.3285,70.327,3.4399,"","",7.7302,"","","",10,2,371,,2021-06-13T16:47:47.561328Z,,,,,,,,,
13,0,0,14,0.0000,0.0000,14,14,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Warmup,29,James,Hinchcliffe,IndyCar,D/H/F,Veteran,Andretti Steinbrenner Autosport,103,103,"",0,0,0,P,0,0,-0.0001,78.460,5.0073,"","",24.0475,"",129.9870,6.5418,18.2728,11.7310,88.518,11.9995,33.3933,7.3843,7.8263,4.8334,16.6272,47.6343,64.150,9.3966,17.9447,8.5481,13.0624,7.8929,13.4709,24.9116,5.5780,60.698,3.7918,"","",7.6489,"","","",78.460,5.0073,"","",24.0475,"",129.9870,6.5418,18.2728,11.7310,88.518,11.9995,33.3933,7.3843,7.8263,4.8334,16.6272,47.6343,64.150,9.3966,17.9447,8.5481,13.0624,7.8929,13.4709,24.9116,5.5780,60.698,3.7918,"","",7.6489,"","","",19,3,480,,2021-06-13T16:47:47.561328Z,,,,,,,,,
14,0,0,15,0.0000,0.0000,15,15,0.0000,0,2:17.9985,0,0.0000,Active,True,0,0,0,Warmup,59,Max,Chilton,IndyCar,D/C/F,Veteran,Carlin,66,51,"",0,150,0,A,0,0,-0.0001,77.892,4.9808,"","",23.8435,"",129.7160,6.6612,18.6952,12.0340,71.901,11.4802,33.5873,7.1921,8.2509,4.8618,16.3346,47.7835,62.639,10.2199,18.5710,8.3511,12.8779,7.7031,13.0831,24.5015,5.3800,68.298,3.8252,"","",7.5932,"","",8.2827,77.892,4.9808,"","",23.8435,"",129.7160,6.6612,18.6952,12.0340,71.901,11.4802,33.5873,7.1921,8.2509,4.8618,16.3346,47.7835,62.639,10.2199,18.5710,8.3511,12.8779,7.7031,13.0831,24.5015,5.3800,68.298,3.8252,"","",7.5932,"","",8.2827,23,147,922,61.305,2021-06-13T16:47:47.561328Z,,,,,,,,,
15,0,0,16,0.0000,0.0000,16,16,0.0000,0,2:19.6154,0,0.0000,Active,True,0,0,0,Warmup,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,262,262,"",0,0,0,A,0,0,-0.0001,78.026,3.8425,"","",24.6382,"",131.7150,5.2532,19.5445,14.2913,122.793,9.1271,33.0785,6.1577,8.7004,4.7389,16.6090,49.1375,46.843,11.6684,18.9442,7.2758,13.5843,9.8117,14.3395,24.8611,4.5278,102.130,2.2402,"","",8.2814,"","",7.9001,78.026,3.8425,"","",24.6382,"",131.7150,5.2532,19.5445,14.2913,122.793,9.1271,33.0785,6.1577,8.7004,4.7389,16.6090,49.1375,46.843,11.6684,18.9442,7.2758,13.5843,9.8117,14.3395,24.8611,4.5278,102.130,2.2402,"","",8.2814,"","",7.9001,4,24,852,60.595,2021-06-13T16:47:47.561328Z,,,,,,,,,
16,0,0,17,0.0000,0.0000,17,17,0.0000,0,2:18.7678,0,0.0000,Active,True,0,0,0,Warmup,28,Ryan,Hunter-Reay,IndyCar,D/H/F,Veteran,Andretti Autosport,116,116,"",0,0,0,A,0,0,-0.0001,66.660,4.9653,"","",24.3055,"",130.7570,5.3388,18.9083,13.5695,119.545,13.3900,33.5087,6.6720,8.2561,5.1906,18.1638,48.0466,61.009,9.6260,17.3128,7.6868,12.5700,10.2460,14.6206,24.8959,4.3746,105.496,2.3079,"","",7.9674,"","",8.0111,66.660,4.9653,"","",24.3055,"",130.7570,5.3388,18.9083,13.5695,119.545,13.3900,33.5087,6.6720,8.2561,5.1906,18.1638,48.0466,61.009,9.6260,17.3128,7.6868,12.5700,10.2460,14.6206,24.8959,4.3746,105.496,2.3079,"","",7.9674,"","",8.0111,18,3,442,60.965,2021-06-13T16:47:47.561328Z,,,,,,,,,
17,0,0,18,0.0000,0.0000,18,18,0.0000,0,2:18.5666,0,0.0000,Active,True,0,0,0,Warmup,60,Jack,Harvey,IndyCar,D/H/F,Veteran,Meyer Shank Racing,147,147,"",0,0,0,A,0,0,-0.0001,60.561,5.3507,"","",24.1108,"",130.4260,5.5649,19.2751,13.7102,104.604,14.3271,33.9628,6.6773,8.1083,4.8501,18.0492,47.6080,74.960,10.2034,17.9850,7.7816,11.5738,10.0150,14.8058,24.7443,4.7908,91.495,2.5250,"","",7.4135,"","",8.1407,60.561,5.3507,"","",24.1108,"",130.4260,5.5649,19.2751,13.7102,104.604,14.3271,33.9628,6.6773,8.1083,4.8501,18.0492,47.6080,74.960,10.2034,17.9850,7.7816,11.5738,10.0150,14.8058,24.7443,4.7908,91.495,2.5250,"","",7.4135,"","",8.1407,24,148,850,61.054,2021-06-13T16:47:47.561328Z,,,,,,,,,
18,0,0,19,0.0000,0.0000,19,19,0.0000,0,2:18.6453,0,0.0000,Active,True,0,0,0,Warmup,30,Takuma,Sato,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,174,174,"",0,150,0,A,0,0,-0.0001,76.839,4.8800,"","",23.6130,"",130.3060,5.6607,20.1081,14.4474,64.475,14.9138,35.0145,6.5919,8.4383,5.0705,17.4678,47.0272,65.793,9.6687,17.9662,8.2975,11.5932,10.2732,15.1452,24.6517,4.8720,88.640,2.7120,"","",6.7945,"","",8.3389,76.839,4.8800,"","",23.6130,"",130.3060,5.6607,20.1081,14.4474,64.475,14.9138,35.0145,6.5919,8.4383,5.0705,17.4678,47.0272,65.793,9.6687,17.9662,8.2975,11.5932,10.2732,15.1452,24.6517,4.8720,88.640,2.7120,"","",6.7945,"","",8.3389,20,21,543,61.019,2021-06-13T16:47:47.561328Z,,,,,,,,,
19,0,0,20,0.0000,0.0000,20,20,0.0000,0,2:19.0076,0,0.0000,Active,True,0,0,0,Warmup,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,151,151,"",0,0,0,P,0,0,-0.0001,84.751,4.6709,"","",23.2674,"",130.4480,6.1091,19.7943,13.6852,70.883,14.8235,34.5360,6.9131,8.0192,4.7802,17.6197,49.2127,62.887,9.5722,18.3952,8.8230,13.1978,8.5757,13.8864,23.4316,5.3107,76.394,3.1956,"","",6.3496,"","",8.5599,84.751,4.6709,"","",23.2674,"",130.4480,6.1091,19.7943,13.6852,70.883,14.8235,34.5360,6.9131,8.0192,4.7802,17.6197,49.2127,62.887,9.5722,18.3952,8.8230,13.1978,8.5757,13.8864,23.4316,5.3107,76.394,3.1956,"","",6.3496,"","",8.5599,9,12,461,60.860,2021-06-13T16:47:47.561328Z,,,,,,,,,
