resultID,deleted,marker,rank,diff,gap,overallRank,startPosition,bestLapTime,bestLap,lastLapTime,laps,totalTime,status,onTrack,pitStops,lastPitLap,sincePitLap,flagStatus,no,firstName,lastName,className,equipment,license,team,comment,oldRank,OverTake_Remain,OverTake_Active,Tire,NTRank,NTLap,NTBestTime,Best_S7,Best_L6,Best_I3,Best_S8,Best_P1,Best_L2,Best_S1,Best_I1,Best_L4,Best_P2,Best_S2,Best_L5,Best_L7,Best_L3,Best_S3,Best_T3,Best_S4A,Best_S4,Best_S4B,Best_S5A,Best_S5,Best_I2,Best_S5B,Best_T5,Best_S6A,Best_S6,Best_S6B,S7,L6,I3,S8,P1,L2,S1,I1,L4,P2,S2,L5,L7,L3,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,EntrantID,TeamID,DriverID,time_stamp,Best_T3_SPD,T3_SPD,Best_T5_SPD,T5_SPD,BestSpeed,LastSpeed,AverageSpeed,NTBestSpeed
39,0,0,14,0.0000,0.0000,14,14,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,18,David,Malukas,IndyCar,D/H/F,Rookie,Dale Coyne Racing with HMD,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,129,1014,2022-02-26T14:00:12.695283Z,,,,,,,,
40,0,7,15,0.0000,0.0000,15,15,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,139,580,2022-02-26T14:00:12.695283Z,,,,,,,,
41,0,0,16,0.0000,0.0000,16,16,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,139,1010,2022-02-26T14:00:12.695283Z,,,,,,,,
42,0,0,17,0.0000,0.0000,17,17,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,879,2022-02-26T14:00:12.695283Z,,,,,,,,
43,0,7,18,0.0000,0.0000,18,18,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,27,Alexander,Rossi,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,522,2022-02-26T14:00:12.695283Z,,,,,,,,
44,0,7,19,0.0000,0.0000,19,19,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,28,Romain,Grosjean,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,2047,2022-02-26T14:00:12.695283Z,,,,,,,,
45,0,7,20,0.0000,0.0000,20,20,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,29,Devlin,DeFrancesco,IndyCar,D/H/F,Rookie,Andretti Steinbrenner Autosport,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,2020,2022-02-26T14:00:12.695283Z,,,,,,,,
46,0,7,21,0.0000,0.0000,21,21,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,30,Christian,Lundgaard,IndyCar,D/H/F,Rookie,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,2071,2022-02-26T14:00:12.695283Z,,,,,,,,
47,0,7,22,0.0000,0.0000,22,22,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,45,Jack,Harvey,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21,850,2022-02-26T14:00:12.695283Z,,,,,,,,
48,0,0,23,0.0000,0.0000,23,23,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,48,Jimmie,Johnson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,2031,2022-02-26T14:00:12.695283Z,,,,,,,,
49,0,7,24,0.0000,0.0000,24,24,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,51,Takuma,Sato,IndyCar,D/H/F,Veteran,Dale Coyne Racing w/RWR,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,129,543,2022-02-26T14:00:12.695283Z,,,,,,,,
50,0,7,25,0.0000,0.0000,25,25,0.0000,0,0.0000,0,0.0000,IN PIT,False,0,0,0,Green,60,Simon,Pagenaud,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,148,658,2022-02-26T14:00:12.695283Z,,,,,,,,
51,0,7,26,0.0000,0.0000,26,26,0.0000,0,0.0000,0,0.0000,In Pit,False,0,0,0,Green,77,Callum,Ilott,IndyCar,D/C/F,Rookie,Juncos Hollinger Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,146,2072,2022-02-26T14:00:12.695283Z,,,,,,,,
26,0,0,1,0.0000,0.0000,1,1,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,10,Alex,Palou,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.8042,"","",8.6647,,6.2800,16.7369,10.4569,4.4656,"","","","","","","","","","","","","","","","","","",4.8042,"","",8.6647,,6.2800,16.7369,10.4569,4.4656,"","","","","","","",9,25,2018,2022-02-26T14:00:48.416387Z,121.989,121.989,,,,,,
27,0,0,2,0.0000,0.0000,2,2,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,2,Josef,Newgarden,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.5072,"","",8.8886,,6.6475,17.5794,10.9319,4.9131,"","","","","","","","","","","","","","","","","","",4.5072,"","",8.8886,,6.6475,17.5794,10.9319,4.9131,"","","","","","","",1,12,606,2022-02-26T14:00:48.416387Z,109.705,109.705,,,,,,
28,0,0,3,0.0000,0.0000,3,3,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,3,Scott,McLaughlin,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",5.0519,"","",9.3127,,7.6525,"","","","","","","","","","","","","","","","","","","","","",5.0519,"","",9.3127,,7.6525,"","","","","","","","","","",2,12,2022,2022-02-26T14:00:48.416387Z,96.008,96.008,,,,,,
29,0,0,4,0.0000,0.0000,4,4,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,4,Dalton,Kellett,IndyCar,D/C/F,Veteran,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",10.6014,"",4.5040,"","",9.5543,,7.2336,"","","","","","","","","","","","","","","","","","","",10.6014,"",4.5040,"","",9.5543,,7.2336,"","","","","","","","","","",3,2,719,2022-02-26T14:00:48.416387Z,93.176,93.176,,,,,,
30,0,0,5,0.0000,0.0000,5,5,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,5,Pato,O'Ward,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.7812,"","",8.5737,,6.8056,17.6032,10.7976,4.7899,"","","","","","","","","","","","","","","","","","",4.7812,"","",8.5737,,6.8056,17.6032,10.7976,4.7899,"","","","","","","",4,24,852,2022-02-26T14:00:48.416387Z,113.842,113.842,,,,,,
31,0,0,6,0.0000,0.0000,6,6,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,06,Helio,Castroneves,IndyCar,D/H/F,Veteran,Meyer Shank Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,148,254,2022-02-26T14:00:48.416387Z,,,,,,,,
32,0,0,7,0.0000,0.0000,7,7,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,7,Felix,Rosenqvist,IndyCar,D/C/F,Veteran,Arrow McLaren SP,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,963,2022-02-26T14:00:48.416387Z,,,,,,,,
33,0,0,8,0.0000,0.0000,8,8,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,8,Marcus,Ericsson,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",5.0383,"","",9.2305,,7.5827,19.2150,11.6323,"","","","","","","","","","","","","","","","","","","",5.0383,"","",9.2305,,7.5827,19.2150,11.6323,"","","","","","","","",7,25,1087,2022-02-26T14:00:48.416387Z,99.998,99.998,,,,,,
34,0,0,9,0.0000,0.0000,9,9,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,9,Scott,Dixon,IndyCar,D/H/F,Veteran,Chip Ganassi Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.5358,"","",8.8741,,6.7981,17.6284,10.8303,4.6959,"","","","","","","","","","","","","","","","","","",4.5358,"","",8.8741,,6.7981,17.6284,10.8303,4.6959,"","","","","","","",8,25,326,2022-02-26T14:00:48.416387Z,106.910,106.910,,,,,,
35,0,0,10,0.0000,0.0000,10,10,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,11,Tatiana,Calderon,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",10.6040,"",4.9554,"","",9.6400,,7.1812,"","","","","","","","","","","","","","","","","","","",10.6040,"",4.9554,"","",9.6400,,7.1812,"","","","","","","","","","",10,1,596,2022-02-26T14:00:48.416387Z,97.148,97.148,,,,,,
36,0,0,11,0.0000,0.0000,11,11,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,12,Will,Power,IndyCar,D/C/F,Veteran,Team Penske,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.9469,"","",9.4440,,7.8297,"","","","","","","","","","","","","","","","","","","","","",4.9469,"","",9.4440,,7.8297,"","","","","","","","","","",11,12,461,2022-02-26T14:00:48.416387Z,92.481,92.481,,,,,,
37,0,0,12,0.0000,0.0000,12,12,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,14,Kyle,Kirkwood,IndyCar,D/C/F,Rookie,AJ Foyt Enterprises,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",11.4711,"",4.7044,"","",9.6335,,7.5820,"","","","","","","","","","","","","","","","","","","",11.4711,"",4.7044,"","",9.6335,,7.5820,"","","","","","","","","","",12,2,954,2022-02-26T14:00:48.416387Z,97.264,97.264,,,,,,
38,0,0,13,0.0000,0.0000,13,13,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,15,Graham,Rahal,IndyCar,D/H/F,Veteran,Rahal Letterman Lanigan Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",5.0370,"","",9.1903,,7.5021,20.0907,12.5886,"","","","","","","","","","","","","","","","","","","",5.0370,"","",9.1903,,7.5021,20.0907,12.5886,"","","","","","","","",13,21,400,2022-02-26T14:00:48.416387Z,105.314,105.314,,,,,,
39,0,0,14,0.0000,0.0000,14,14,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,18,David,Malukas,IndyCar,D/H/F,Rookie,Dale Coyne Racing with HMD,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",10.8737,"",5.4786,"","","","","","","","","","","","","","","","","","","","","","","","",10.8737,"",5.4786,"","","","","","","","","","","","","","","",14,129,1014,2022-02-26T14:00:48.416387Z,,,,,,,,
40,0,0,15,0.0000,0.0000,15,15,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,20,Conor,Daly,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","",11.0542,"",5.1965,"","",9.5908,,7.8324,"","","","","","","","","","","","","","","","","","","",11.0542,"",5.1965,"","",9.5908,,7.8324,"","","","","","","","","","",15,139,580,2022-02-26T14:00:48.416387Z,99.113,99.113,,,,,,
41,0,0,16,0.0000,0.0000,16,16,0.0000,0,0.0000,0,0.0000,IN PIT,True,0,0,0,Warmup,21,Rinus,VeeKay,IndyCar,D/C/F,Veteran,Ed Carpenter Racing,"",0,0,0,P,0,0,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,139,1010,2022-02-26T14:00:48.416387Z,,,,,,,,
42,0,0,17,0.0000,0.0000,17,17,0.0000,0,0.0000,0,0.0000,Active,True,0,0,0,Green,26,Colton,Herta,IndyCar,D/H/F,Veteran,Andretti Autosport,"",0,0,0,P,0,0,-0.0001,"","","","","","","","","","","",4.4616,"","",9.4255,,7.4353,18.4345,10.9992,4.6732,"","","","","","","","","","","","","","","","","","",4.4616,"","",9.4255,,7.4353,18.4345,10.9992,4.6732,"","","","","","","",17,3,879,2022-02-26T14:00:48.416387Z,97.379,97.379,,,,,,
