name,number
Power,12
Harvey,60
Rahal,15
Herta,88
Newgarden,1
Dixon,9
Askew,7
Daly,20
Reay,28
Chilton,59
Rossi,27
Ferrucci,18
Ericsson,8
Pigot,45
Rosenqvist,10
O'Ward,5
VeeKay,21
Sato,30
Palou,55
Pagenaud,22
Hinchcliffe,29
Karam,24
Andretti,98
Veach,26
Kimball,4
Kellett,14
