name,number
O'Ward,5
Rahal,15
Rosenqvist,7
Dixon,9
Jones,18
Palou,10
Herta,26
Rossi,27
Ericsson,8
Bourdais,14
McLaughlin,3
Chilton,59
Daly,20
Pagenaud,22
VeeKay,21
Harvey,60
Sato,30
Ilott,77
Kellett,4
Reay,28
Johnson,48
Newgarden,2
Power,12
Askew,45
Grosjean,51
Castroneves,06
Hinchcliffe,29
