1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
88.00000000,88,88,88,88,88,88,88,88,88,88.00000000,88,88,88,88,88,88,12,88,88,88,88,88,88,88,88,88,88,88,88,88,88.00000000,88,88,88,88,88,88,12,12,88.00000000,88,88,88,88,88,88,88,88,88,88.00000000,88,88,88,88,88,88,88,88,88,88,88,88,22,12,12,12,88,88,88,88,88.00000000,88,88,88,88,88,88,88,88,88.00000000,88,88,88,88,88,88,88,88,88
9.00000000,9,9,9,9,9,9,9,9,9,9.00000000,9,9,9,9,9,12,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9.00000000,9,9,9,9,12,12,88,88,9.00000000,9,9,9,9,9,9,9,9,9,9.00000000,9,9,9,9,9,9,9,9,9,9,9,9,12,22,88,88,12,12,12,12,12.00000000,12,12,12,12,12,12,12,12,12.00000000,12,12,12,12,12,12,12,12,12
27.00000000,27,27,27,27,27,27,27,27,27,27.00000000,27,5,5,12,12,9,9,12,22,22,22,22,22,22,22,22,22,22,22,22,22.00000000,22,22,22,22,9,9,9,9,12.00000000,22,22,22,22,22,22,22,22,22,22.00000000,22,22,22,22,22,22,22,22,22,22,22,22,5,88,9,9,9,9,9,9,9.00000000,9,9,9,9,9,9,9,9,9.00000000,9,9,9,9,9,9,9,9,9
2.00000000,2,2,2,2,2,2,2,2,2,2.00000000,2,12,12,5,60,22,22,22,27,27,27,27,27,27,27,27,27,27,12,12,12.00000000,12,12,12,12,22,22,22,22,22.00000000,12,12,12,12,12,12,12,12,12,12.00000000,12,12,12,12,12,12,12,12,12,12,12,12,18,9,22,22,22,22,10,10,10.00000000,10,10,10,22,22,22,22,22,22.00000000,22,22,22,22,22,22,22,22,22
5.00000000,5,5,5,5,5,5,5,5,5,5.00000000,5,28,28,60,22,27,27,27,12,12,12,12,12,12,12,12,12,12,27,27,27.00000000,27,27,27,10,5,15,10,10,10.00000000,10,10,10,10,10,10,10,10,10,10.00000000,10,10,10,10,10,10,10,10,10,10,10,27,88,10,10,10,10,10,22,22,22.00000000,22,22,22,10,10,10,10,10,10.00000000,10,10,10,10,10,10,10,10,10
22.00000000,22,22,22,22,22,22,22,22,22,22.00000000,12,19,18,2,27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.00000000,2,10,10,5,15,10,18,7,7.00000000,7,7,7,7,7,7,7,7,7,7.00000000,7,7,7,7,7,7,7,7,7,7,7,2,9,5,27,27,27,27,27,27,27.00000000,27,27,27,27,27,27,27,27,27.00000000,27,27,27,27,27,27,27,27,27
12.00000000,12,12,12,12,12,12,12,12,12,12.00000000,28,10,60,22,2,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10.00000000,10,2,2,15,10,18,7,27,27.00000000,27,27,27,27,27,27,27,27,27,27.00000000,27,27,27,27,27,27,27,27,27,27,27,5,27,18,2,2,2,2,2,2,2.00000000,2,2,2,2,2,2,2,2,2.00000000,2,2,2,18,18,18,18,18,18
28.00000000,28,28,28,28,28,28,28,28,28,28.00000000,19,15,2,27,5,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7.00000000,7,7,5,59,18,7,27,2,2.00000000,2,2,2,2,2,2,2,2,2,2.00000000,2,2,2,2,2,2,2,2,2,2,2,18,10,27,5,18,18,18,18,18,18.00000000,18,18,18,18,18,18,18,18,18.00000000,18,18,18,2,2,2,2,2,2
19.00000000,19,19,19,19,19,19,19,19,19,19.00000000,10,14,22,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00000000,5,5,15,27,7,5,2,5,5.00000000,5,5,5,5,5,5,5,5,5,5.00000000,5,5,5,5,5,5,5,5,5,5,5,59,2,2,18,5,5,5,5,5,5.00000000,5,5,5,5,5,5,5,5,5.00000000,5,5,5,5,5,5,5,5,5
15.00000000,15,15,15,10,10,10,10,10,10,10.00000000,15,2,19,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.00000000,19,19,30,2,27,27,5,15,15.00000000,15,15,15,15,15,15,15,15,15,15.00000000,15,15,15,15,15,15,15,15,15,15,15,10,59,7,15,7,7,7,28,28,28.00000000,28,28,28,28,28,28,28,28,28.00000000,28,28,28,28,28,28,28,28,28
