0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
88,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,15,27,27,27,27,27,27,27,27,27,27,27,27,27
27,88,88,88,88,88,88,88,88,88,88,88,88,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,88,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,2,2,2,2,2,2,2,2,2,2,2,2,15,15,2,2,2,2,2,2,2,2,2,2,2,2,88,27,2,2,2,2,2,2,2,2,2,2,2,2,2
2,15,15,15,15,15,15,15,15,15,15,15,15,10,10,5,5,5,5,5,5,5,5,5,5,5,5,2,10,5,5,5,5,5,5,5,5,5,5,5,5,12,10,15,15,15,15,15,15,15,15,15,15,15,15,15
15,30,2,2,2,2,2,2,2,2,2,2,2,88,9,15,15,15,15,15,15,15,15,15,15,15,15,10,2,15,15,15,15,15,15,15,15,15,15,15,15,10,12,5,5,88,88,88,88,88,88,88,88,88,88,9
30,2,30,5,5,5,5,5,5,5,5,5,22,2,2,22,22,22,22,22,22,10,10,10,10,10,10,5,5,88,88,88,88,88,88,88,88,88,88,88,88,2,2,88,88,5,5,5,5,5,5,5,5,5,9,10
18,18,5,18,18,18,18,18,22,22,22,22,10,22,5,10,10,10,10,88,88,9,9,9,9,88,88,88,88,9,9,9,9,9,9,9,9,9,9,9,9,5,5,9,9,9,9,9,9,9,9,9,9,9,10,5
21,5,18,21,21,21,22,22,18,18,18,18,18,9,7,19,88,88,88,10,10,88,88,88,88,9,9,9,7,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,5,88
5,21,21,98,98,22,21,21,30,30,30,30,5,18,26,88,19,9,9,9,9,22,22,22,22,22,22,22,9,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
98,98,98,20,22,98,98,30,10,10,10,10,28,28,22,9,9,19,28,28,28,28,28,28,28,28,28,28,22,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30
20,20,20,22,30,30,30,10,21,21,21,28,9,26,19,18,28,28,18,18,18,18,18,18,18,18,18,18,28,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,28
9,31,22,30,26,10,10,98,98,98,28,9,26,7,88,28,18,18,30,30,30,30,30,30,30,30,21,7,18,30,30,30,30,30,30,30,30,30,30,30,30,21,30,30,30,30,30,30,30,30,18,18,18,18,18,18
31,22,31,26,10,26,26,26,26,28,9,98,14,14,18,30,30,30,60,60,60,60,60,21,21,21,7,21,30,4,4,21,21,21,21,21,21,21,21,21,21,30,21,21,21,21,21,21,21,21,21,21,21,21,21,7
26,10,26,31,31,31,31,31,31,26,98,21,21,5,28,60,60,60,4,21,21,21,21,7,7,7,31,26,26,21,21,7,7,7,7,7,7,7,7,7,7,59,7,7,7,7,7,7,7,7,7,7,7,7,7,21
28,26,10,10,28,28,28,28,28,9,26,26,30,21,60,4,4,4,19,7,7,7,7,59,59,59,26,30,4,7,7,60,60,60,60,60,60,60,60,59,59,31,19,60,60,60,60,60,60,60,60,60,60,60,60,60
22,4,4,28,20,60,60,9,9,31,31,31,7,31,30,98,98,7,21,4,59,59,59,31,31,31,59,31,21,60,60,4,59,59,59,59,59,59,59,31,31,19,4,59,59,59,59,59,59,59,59,59,59,59,59,59
7,60,28,4,4,20,20,20,14,14,14,14,31,19,4,14,7,21,7,59,31,31,31,26,26,26,30,19,19,59,59,59,31,31,31,31,31,31,31,26,26,26,60,31,31,31,31,31,31,31,31,31,31,31,31,
10,28,60,14,60,4,9,14,59,59,59,59,98,60,98,7,21,59,59,31,26,26,26,60,19,19,19,4,60,31,31,31,26,26,26,26,26,26,26,60,19,7,59,26,26,26,26,26,26,26,26,26,26,26,26,
60,14,14,60,14,7,4,4,20,7,7,7,59,30,14,59,14,31,31,26,14,14,14,14,14,14,4,60,59,26,26,26,19,19,19,19,19,19,19,19,4,4,31,19,19,19,19,19,19,19,19,19,19,19,19,
4,59,19,7,7,14,14,59,7,20,20,20,20,4,59,21,59,14,26,14,19,19,19,19,20,4,14,20,31,19,19,19,4,4,4,4,4,4,4,4,60,60,26,4,4,4,4,4,4,4,4,4,4,4,4,
19,19,59,19,9,9,59,60,4,19,19,19,19,20,21,31,31,26,14,19,20,20,20,20,4,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
59,7,7,59,19,59,7,7,19,60,60,60,60,98,31,26,26,98,20,20,4,4,4,4,60,60,60,59,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
14,9,9,9,59,19,19,19,60,4,4,4,4,59,20,20,20,20,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
