name,number
Grosjean,51
Harvey,60
Newgarden,2
Palou,10
McLaughlin,3
VeeKay,21
Herta,26
Pagenaud,22
Jones,18
Power,12
Rosenqvist,7
Ericsson,8
Reay,28
Sato,30
Hinchcliffe,29
Rossi,27
Kimball,11
Rahal,15
Dixon,9
Kellett,4
Bourdais,14
Montoya,86
Johnson,48
O'Ward,5
Daly,20
