name,number
Herta,26
Rossi,27
Power,12
Palou,10
Dixon,9
O'Ward,5
Ericsson,8
Pagenaud,22
Askew,45
Grosjean,51
McLaughlin,3
Chilton,59
Rahal,15
Hinchcliffe,29
Jones,18
Newgarden,2
Reay,28
Daly,20
Harvey,60
Castroneves,06
Bourdais,14
Rosenqvist,7
Sato,30
VeeKay,21
Johnson,48
Ilott,77
Kellett,4
