name,number
Palou,10
Dixon,9
Power,12
Herta,26
Harvey,60
Pagenaud,22
VeeKay,21
Sato,30
Bourdais,14
Ericsson,8
Newgarden,2
O'Ward,5
Rahal,15
Rossi,27
McLaughlin,3
Fittipaldi,51
Rosenqvist,7
Carpenter,20
Kanaan,48
Hinchcliffe,29
Reay,28
Jones,18
Kellett,4
Daly,59
