name,number
Herta,88
Dixon,9
Rossi,27
Newgarden,2
Hinchcliffe,5
Pagenaud,22
Power,12
Reay,28
Ferrucci,19
Rahal,15
Ericsson,7
Rosenqvist,10
Daly,25
Chilton,59
Sato,30
Pigot,21
Veach,26
Jones,20
Andretti,98
Bourdais,18
Kimball,23
Kanaan,14
Leist,4
Harvey,60
