name,number
O'Ward,5
Rossi,27
Grosjean,51
Jones,18
Herta,26
Power,12
Newgarden,2
Pagenaud,22
Reay,28
Dixon,9
Bourdais,14
Rosenqvist,7
VeeKay,21
Ericsson,8
Sato,30
Hinchcliffe,29
Daly,20
Harvey,60
Ferrucci,45
Chilton,59
Rahal,15
Johnson,48
McLaughlin,3
Palou,10
Kellett,4
