name,number
Newgarden,1
Reay,28
Rahal,15
Ferrucci,18
Harvey,60
Herta,88
Dixon,9
Power,12
Palou,55
Rosenqvist,10
Ericsson,8
Rossi,27
Andretti,98
Pagenaud,22
O'Ward,5
VeeKay,21
Daly,20
Veach,26
Chilton,59
Kimball,4
Askew,7
Sato,30
Kellett,14
