0,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,32,,33,,34,,35,,36,,37,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,53,,54,,55,,56,,57,,58,,59,,60,,61,,62,,63,,64,,65,,66,,,67,68,69,,,70,71,72,,73,,74,,75,,76,,77,,78,,79,,80,,81,,82,,83,,84,,85,,86,,87,,88,,89,,90,,91,,92,,93,,94,,95,,96,,97,,98,,99,,100,,101,,102,,103,,104,,105,,106,,107,,108,109,,110
88,22,,22,,20,,20,,20,,20,,20,,20,,20,,20,,20,,22,,81,,15,,5,,5,,5,,5,,5,,20,,22,,22,,22,,22,,22,,98,,98,,98,,98,,30,,30,30,,7,,7,,26,,26,,26,,88,,88,,88,,88,,14,,14,,5,,21,,59,,15,,15,,5,,59,,59,,59,,59,,59,,88,,88,,88,,88,,88,,88,,88,,60,,60,,60,,60,,60,,,60,60,60,,,19,19,19,,19,,26,,98,,14,,14,,98,,19,,19,,21,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,60,,21,,21,,21,,21,,21,,21,,21,21,,21
81,20,,20,,22,,22,,22,,22,,22,,22,,22,,22,,22,,15,,60,,5,,20,,20,,20,,20,,20,,23,,98,,98,,98,,98,,98,,30,,30,,30,,30,,7,,7,7,,26,,26,,88,,88,,88,,26,,26,,26,,26,,98,,98,,21,,59,,15,,81,,81,,81,,7,,7,,7,,7,,30,,60,,60,,60,,60,,60,,60,,60,,19,,19,,19,,19,,19,,,19,19,19,,,15,26,26,,26,,98,,21,,88,,15,,15,,60,,60,,60,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,21,,21,,21,,21,,21,,21,,21,,21,,15,,15,,15,,15,,15,,15,,15,15,,
22,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,14,,23,,23,,23,,23,,23,,23,,23,,22,,26,,26,,26,,26,,30,,7,,7,,7,,7,,26,,26,26,,88,,88,,19,,19,,19,,19,,19,,14,,14,,21,,21,,7,,15,,81,,5,,5,,7,,30,,30,,30,,30,,88,,19,,19,,19,,19,,19,,19,,19,,26,,26,,26,,26,,26,,,26,26,26,,,26,98,98,,98,,21,,14,,15,,88,,88,,98,,98,,98,,26,,26,,21,,21,,21,,21,,21,,21,,21,,21,,21,,21,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,98,,
26,98,,98,,98,,98,,98,,98,,98,,98,,98,,98,,26,,81,,15,,22,,22,,22,,22,,22,,22,,98,,30,,30,,30,,30,,7,,26,,26,,26,,26,,88,,88,88,,19,,19,,14,,14,,14,,14,,14,,98,,98,,59,,59,,59,,81,,5,,60,,7,,30,,81,,88,,88,,88,,60,,26,,26,,26,,26,,26,,26,,26,,98,,98,,98,,98,,98,,,98,98,98,,,98,21,21,,21,,14,,15,,26,,19,,19,,26,,26,,26,,21,,21,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,26,,
20,81,,26,,26,,26,,26,,26,,26,,26,,26,,26,,98,,26,,98,,98,,98,,98,,98,,98,,98,,26,,88,,88,,88,,7,,26,,88,,88,,88,,88,,98,,19,19,,14,,14,,21,,98,,98,,98,,98,,21,,21,,15,,15,,15,,5,,7,,7,,30,,88,,88,,60,,60,,60,,19,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,21,,21,,,21,21,21,,,21,14,14,,14,,15,,19,,19,,26,,26,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,14,,
21,26,,30,,30,,30,,30,,30,,30,,30,,21,,18,,14,,88,,26,,26,,26,,26,,26,,26,,26,,30,,7,,7,,7,,4,,4,,19,,19,,19,,19,,19,,14,14,,59,,59,,98,,21,,21,,21,,21,,59,,59,,81,,81,,81,,7,,30,,30,,88,,60,,60,,81,,19,,19,,26,,21,,81,,81,,21,,21,,21,,21,,21,,21,,21,,14,,14,,,14,14,14,,,14,15,15,,15,,19,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,,59,59,,
98,30,,21,,21,,21,,21,,21,,21,,21,,18,,81,,81,,98,,30,,30,,30,,30,,30,,30,,30,,88,,4,,4,,4,,88,,88,,14,,14,,14,,14,,14,,59,59,,21,,21,,59,,59,,59,,59,,59,,15,,15,,30,,30,,30,,30,,26,,88,,60,,14,,19,,19,,26,,26,,7,,81,,21,,21,,81,,81,,59,,59,,59,,59,,59,,59,,59,,,59,59,59,,,59,59,59,,59,,59,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,23,,
7,21,,81,,81,,81,,81,,81,,18,,18,,81,,14,,18,,30,,88,,88,,88,,88,,88,,88,,88,,7,,19,,19,,19,,19,,19,,59,,59,,59,,59,,59,,21,21,,98,,98,,15,,15,,15,,15,,15,,81,,81,,88,,88,,88,,88,,88,,19,,19,,19,,26,,26,,81,,14,,14,,59,,59,,59,,59,,59,,23,,23,,23,,23,,23,,23,,23,,,23,23,23,,,23,23,23,,23,,23,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,,
18,14,,14,,14,,14,,18,,18,,81,,81,,14,,21,,30,,7,,7,,7,,7,,7,,7,,7,,7,,21,,14,,14,,14,,14,,14,,21,,21,,21,,21,,21,,98,98,,81,,81,,81,,81,,81,,81,,81,,19,,19,,19,,19,,19,,19,,19,,26,,26,,26,,14,,14,,14,,81,,81,,23,,23,,23,,23,,23,,81,,81,,81,,81,,81,,81,,81,,,81,81,81,,,81,81,81,,81,,81,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,18,,18,,18,,18,,14,,14,,14,,14,,4,,30,,7,,21,,21,,21,,21,,21,,21,,21,,21,,4,,81,,81,,81,,21,,59,,81,,81,,81,,81,,81,,81,81,,15,,15,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7,,7,,7,,7,,7,,4,,4,,4,,59,,7,,21,,4,,4,,4,,4,,4,,4,,4,,4,,59,,21,,21,,21,,59,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,4,,4,,4,,4,,19,,19,,19,,30,,4,,4,,59,,59,,59,,59,,59,,59,,59,,59,,19,,59,,59,,59,,81,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,19,,19,,19,,19,,59,,59,,59,,7,,59,,59,,19,,19,,19,,19,,19,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,59,,59,,59,,59,,7,,7,,7,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
