0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
8,15,15,15,15,15,15,15,15,15,15,15,22,22,55,55,55,55,55,55,55,55,55,55,55,55,55,55,4,9,1,14,14,20,20,20,22,22,4,4,4,8,4,4,8,8,4,4,4,4,4,4,98,8,8,8,8,14,14,14,14,14,14,14,14,14,4,59,60,22,14,14,4,15,15,8,8,7,30,26,26,26,26,26,26,26,26,26,26,26,26,26,26,21,21,21,21,21,21,,
55,22,22,22,22,22,22,22,22,8,8,8,28,28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,1,14,9,9,8,22,22,3,3,55,14,14,4,8,8,21,3,3,98,98,98,98,98,4,55,55,55,55,55,55,55,55,55,55,55,55,55,59,14,30,14,59,59,8,8,8,7,7,10,26,30,20,20,21,21,21,21,21,21,21,21,21,21,21,7,7,7,7,7,7,,
15,8,8,8,8,8,8,8,8,22,22,22,55,55,59,59,59,21,21,21,21,21,21,21,21,21,21,21,55,14,9,20,20,18,3,3,18,18,98,8,8,20,20,20,20,98,98,59,59,59,59,59,59,4,4,4,4,4,4,4,4,4,4,4,4,4,30,30,22,59,4,4,7,7,7,10,10,26,20,20,21,21,20,20,20,7,7,7,7,7,7,7,7,20,20,20,20,20,20,,
18,28,28,28,28,28,28,28,28,28,28,28,98,4,14,21,21,14,14,14,14,14,14,14,14,14,14,14,14,20,20,8,8,3,18,18,28,28,14,20,20,3,3,3,3,59,21,55,55,55,55,55,55,59,59,59,59,59,59,59,59,59,59,59,59,59,22,22,14,4,10,10,10,10,10,21,21,20,21,21,7,7,7,7,7,20,20,20,20,20,20,20,20,10,10,10,10,10,10,,
28,55,55,55,55,55,55,55,55,55,55,55,4,59,20,14,14,20,20,20,20,20,20,20,20,20,20,20,20,8,8,18,18,28,28,28,4,4,8,3,3,98,98,98,98,55,59,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,21,21,21,21,20,20,21,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,
4,4,98,98,98,98,98,98,98,98,98,98,59,98,21,20,20,8,8,8,8,8,8,8,8,8,8,8,8,10,10,3,3,4,4,4,55,55,20,98,98,59,59,59,59,21,55,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,
3,98,4,4,4,4,4,4,4,4,4,4,21,21,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,3,3,55,55,55,55,55,98,98,3,59,59,55,55,55,55,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,59,59,59,59,10,10,10,10,10,59,8,8,10,10,10,59,3,3,3,3,3,3,3,3,3,3,3,55,55,10,98,98,98,98,59,59,59,55,55,10,10,10,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,59,10,10,10,10,59,59,59,59,59,10,10,10,3,3,3,3,98,98,98,98,98,98,98,98,98,98,98,98,98,98,59,59,59,59,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,3,3,3,3,3,3,3,3,3,3,3,3,98,98,98,98,59,59,59,59,59,59,59,59,59,59,59,59,59,59,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
