name,number
Newgarden,1
Power,12
Daly,59
Reay,28
Harvey,60
Herta,88
O'Ward,5
Ferrucci,18
Kanaan,14
Rosenqvist,10
Palou,55
Carpenter,20
Ericsson,8
Dixon,9
Kimball,4
VeeKay,21
Askew,7
Andretti,98
Rahal,15
Sato,30
Rossi,27
Pagenaud,22
Veach,26
