name,number
Rossi,27
Power,12
Rahal,15
Dixon,9
Newgarden,1
Reay,28
Hinchcliffe,5
Bourdais,18
Wickens,6
Kanaan,14
King,20
Jones,10
Leist,4
Chilton,59
Veach,26
Harvey,60
Pigot,21
Chaves,88
Andretti,98
Claman De Melo,19
Sato,30
Kimball,23
Kaiser,32
Pagenaud, 22
