1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,37,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50,,51,,52,,53,,54,,55,,56,,57,,58,,59,,60,,61,,62,,63,,64,,65,,66,,67,,68,,69,,70,,71,,72,,73,,74,,75,,76,,77,,78,,79,,80,,81,,82,
26,,26,,23,,23,,23,,23,,23,,23,,23,,10,,10,,10,,30,,30,,30,,10,,15,,15,,15,,15,,20,,20,,20,,20,,20,,20,,10,,10,,10,,10,,22,,22,,22,,22,,22,,20,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,15,,26,,22,,98,,27,,20,,21,,21,,21,,4,,15,,15,,15,,15,,15,,15,,15,,19,,19,,30,,30,,30,,27,,22,,26,,26,,20,,30,,98,,19,,19,,27,,27,,27,,27,
10,,23,,10,,10,,10,,10,,10,,10,,10,,30,,30,,30,,22,,20,,20,,20,,20,,20,,20,,20,,21,,21,,21,,21,,21,,21,,21,,21,,21,,22,,20,,20,,20,,20,,20,,15,,20,,20,,20,,20,,19,,19,,19,,19,,19,,19,,19,,19,,19,,10,,21,,21,,30,,22,,22,,22,,30,,30,,30,,30,,19,,19,,19,,19,,30,,30,,27,,27,,27,,30,,98,,20,,20,,22,,22,,19,,27,,27,,19,,19,,19,,19,
59,,10,,19,,30,,30,,30,,30,,30,,30,,20,,20,,20,,20,,15,,15,,15,,14,,21,,21,,21,,15,,15,,15,,15,,15,,15,,15,,15,,19,,15,,15,,15,,15,,15,,15,,19,,19,,19,,19,,19,,20,,4,,4,,4,,4,,4,,4,,10,,10,,98,,27,,6,,22,,4,,4,,4,,15,,19,,19,,19,,30,,30,,30,,30,,27,,27,,98,,98,,98,,98,,21,,30,,22,,30,,19,,27,,4,,4,,4,,4,,4,,4,
23,,19,,30,,19,,20,,20,,20,,20,,20,,15,,15,,15,,15,,21,,21,,21,,21,,14,,14,,98,,98,,98,,22,,22,,22,,22,,22,,19,,22,,98,,98,,19,,19,,19,,19,,4,,4,,4,,4,,4,,4,,32,,32,,10,,10,,10,,10,,98,,98,,21,,20,,20,,4,,30,,30,,30,,19,,10,,10,,10,,98,,98,,98,,98,,98,,98,,21,,21,,21,,21,,26,,22,,30,,19,,4,,4,,26,,26,,26,,26,,26,,26,
15,,20,,20,,20,,19,,19,,15,,15,,15,,23,,19,,19,,21,,14,,14,,14,,98,,98,,98,,22,,22,,22,,98,,98,,98,,98,,98,,22,,15,,19,,19,,4,,4,,4,,4,,21,,32,,32,,32,,32,,32,,10,,10,,32,,98,,98,,98,,21,,21,,27,,22,,22,,15,,15,,15,,15,,98,,98,,98,,98,,10,,21,,21,,21,,21,,21,,20,,26,,26,,26,,20,,19,,19,,4,,26,,26,,20,,20,,20,,20,,20,,20,
19,,15,,15,,15,,15,,15,,19,,19,,19,,19,,21,,21,,14,,22,,22,,22,,22,,22,,22,,19,,19,,19,,19,,19,,19,,19,,19,,98,,98,,4,,4,,21,,21,,21,,21,,32,,21,,10,,10,,10,,10,,98,,98,,98,,21,,21,,21,,20,,20,,20,,4,,4,,19,,19,,19,,19,,21,,21,,21,,21,,21,,10,,26,,26,,26,,26,,26,,20,,20,,20,,4,,4,,4,,26,,20,,20,,21,,21,,21,,21,,21,,,
21,,30,,21,,21,,21,,21,,21,,21,,21,,21,,14,,14,,98,,98,,98,,98,,19,,19,,19,,59,,59,,59,,59,,32,,32,,32,,32,,4,,4,,21,,21,,32,,32,,32,,32,,10,,10,,98,,98,,98,,98,,21,,21,,21,,32,,32,,32,,4,,4,,4,,19,,19,,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,10,,10,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,,,,
30,,59,,14,,14,,14,,14,,14,,14,,14,,14,,98,,98,,19,,19,,19,,19,,59,,59,,59,,32,,32,,32,,32,,4,,4,,4,,4,,32,,32,,32,,32,,98,,98,,98,,98,,98,,98,,21,,21,,21,,21,,20,,20,,20,,20,,20,,20,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,32,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,,,,
20,,21,,59,,59,,59,,59,,59,,59,,59,,98,,59,,59,,59,,59,,59,,59,,32,,32,,32,,4,,4,,4,,4,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,14,,14,,14,,14,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,88,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,,,,
88,,14,,88,,88,,88,,88,,98,,98,,98,,59,,32,,32,,32,,32,,32,,32,,4,,4,,4,,88,,88,,88,,88,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,88,,88,,88,,88,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
