name,number
Wickens,6
Leist,4
King,20
Sato,30
Hinchcliffe,5
Dixon,9
Pagenaud,22
Rossi,27
Chaves,88
Jones,10
Power,12
Newgarden,1
Veach,26
Pigot,21
Harvey,60
ClamanDeMelo,19
Andretti,98
Kimball,23
Rahal,15
Chilton,59
Binder,32
Bourdais,18
Kanaan,14
Reay,28
