name,number
Power,12
Herta,88
Rossi,27
O'Ward,5
Palou,55
Rahal,15
Ferrucci,18
Reay,28
Harvey,60
Andretti,98
Newgarden,1
Dixon,9
Rosenqvist,10
VeeKay,21
Sato,30
Hinchcliffe,26
Ericsson,8
Chilton,59
Castroneves,7
Pagenaud,22
Bourdais,14
Karam,24
Daly,20
Kimball,4
Kellett,41
