name,number
Power,12
Newgarden,1
Daly,20
Reay,28
Rossi,27
Rosenqvist,10
Harvey,60
Rahal,15
Andretti,98
VeeKay,21
Pagenaud,22
Ferrucci,18
Herta,88
O'Ward,5
Dixon,9
Chilton,59
Palou,55
Askew,7
Sato,30
Veach,26
Ericsson,8
Kimball,4
Kellett,14
