Car,Driver Name,Lap,LapTime,MPH,S1,P2,STOPTIME,I1,L4_SFtoPI,S2,L5,L7,L3_POtoSF,S3,T3,S4A,S4,S4B,S5A,S5,I2,S5B,T5,S6A,S6,S6B,S7,L6,I3,P1,L2_PItoPO,S8,Status,TOD,TIRE,OT Remain,OT Used
2,Newgarden,90,62.6085,103.5,3.0126,0,0,29.0597,0,6.2473,0,0,0,6.5967,0.5258,4.6867,13.2031,8.5164,3.7445,10.4604,20.6184,6.7159,0.529,5.1462,10.158,5.0118,8.6528,0,12.9304,0,0,4.2776,,21:49.2,P,37,0
2,Newgarden,91,62.0342,104.459,2.9694,0,0,28.6697,0,6.119,0,0,0,6.5258,0.5227,4.5757,13.0555,8.4798,3.763,10.4717,20.5002,6.7087,0.5252,5.0382,10.0285,4.9903,8.6052,0,12.8643,0,0,4.2591,,22:51.2,P,37,0
2,Newgarden,92,61.9054,104.676,2.9638,0,0,28.522,0,6.0571,0,0,0,6.5152,0.5216,4.5479,12.9859,8.438,3.771,10.5025,20.5372,6.7315,0.5252,5.0476,10.0347,4.9871,8.582,0,12.8462,0,0,4.2642,,23:53.1,P,37,0
2,Newgarden,93,62.1961,104.187,2.9633,0,0,28.6939,0,6.1634,0,0,0,6.5326,0.5227,4.5855,13.0346,8.4491,3.7768,10.517,20.5928,6.7402,0.5244,5.0494,10.0758,5.0264,8.6534,0,12.9094,0,0,4.256,,24:55.3,P,37,0
2,Newgarden,94,62.1075,104.335,2.9518,0,0,28.6679,0,6.0905,0,0,0,6.5149,0.5226,4.5872,13.1107,8.5235,3.7599,10.4836,20.5274,6.7237,0.5247,5.0559,10.0438,4.9879,8.6364,0,12.9122,0,0,4.2758,,25:57.4,P,37,0
2,Newgarden,95,61.9497,104.601,2.9669,0,0,28.6295,0,6.1139,0,0,0,6.5095,0.5234,4.6223,13.0392,8.4169,3.7487,10.4706,20.3943,6.7219,0.5241,4.9579,9.9237,4.9658,8.6596,0,12.9259,0,0,4.2663,,26:59.4,P,37,0
2,Newgarden,96,61.7945,104.864,2.9716,0,0,28.5858,0,6.1004,0,0,0,6.5227,0.5218,4.6377,12.9911,8.3534,3.7162,10.422,20.3451,6.7058,0.5221,4.96,9.9231,4.9631,8.609,0,12.8636,0,0,4.2546,,28:01.2,P,37,0
2,Newgarden,97,61.9668,104.572,2.9533,0,0,28.6129,0,6.0817,0,0,0,6.5265,0.5218,4.5946,13.0514,8.4568,3.7694,10.5117,20.4925,6.7423,0.5248,5.0073,9.9808,4.9735,8.6137,0,12.8614,0,0,4.2477,,29:03.1,P,37,0
2,Newgarden,98,62.2188,104.149,2.9464,0,0,28.6999,0,6.1178,0,0,0,6.5023,0.5201,4.5886,13.1334,8.5448,3.8178,10.5431,20.6423,6.7253,0.5244,5.0949,10.0992,5.0043,8.6368,0,12.8766,0,0,4.2398,,30:05.3,P,37,0
2,Newgarden,99,62.6408,103.447,2.9523,0,0,28.9061,0,6.1792,0,0,0,6.5296,0.5214,4.6862,13.245,8.5588,3.8436,10.5637,20.8056,6.7201,0.5317,5.2022,10.2419,5.0397,8.6775,0,12.9291,0,0,4.2516,,31:08.0,P,37,0
2,Newgarden,100,62.7912,103.199,2.988,0,0,29.0102,0,6.15,0,0,0,6.6775,0.5299,4.7085,13.1947,8.4862,3.785,10.4941,20.7022,6.7091,0.5321,5.146,10.2081,5.0621,8.8039,0,13.0788,0,0,4.2749,K,32:10.8,P,37,0
10,Palou,1,66.8515,96.931,3.2457,0,0,33.05,0,7.4861,0,2076.8,0,7.5291,0.5524,5.4341,14.7891,9.355,3.9348,10.6415,20.9198,6.7067,0.5443,5.266,10.2783,5.0123,8.6845,0,12.8817,0,0,4.1972,,41:14.9,A,8,0
10,Palou,2,63.1345,102.638,3.0063,0,0,29.5098,0,6.3036,0,0,0,6.5655,0.5459,4.9041,13.6344,8.7303,3.8684,10.6117,20.802,6.7433,0.5677,5.1831,10.1903,5.0072,8.6261,0,12.8227,0,0,4.1966,,42:18.1,A,8,0
10,Palou,3,62.8435,103.113,2.9471,0,0,29.2868,0,6.1952,0,0,0,6.6194,0.5644,4.8443,13.5251,8.6808,3.8765,10.6196,20.8126,6.7431,0.5746,5.19,10.193,5.003,8.5727,0,12.7441,0,0,4.1714,,43:20.9,A,8,0
10,Palou,4,62.6098,103.498,3.0253,0,0,29.1369,0,6.272,0,0,0,6.5299,0.5445,4.7073,13.3097,8.6024,3.854,10.6085,20.7359,6.7545,0.58,5.1227,10.1274,5.0047,8.5663,0,12.737,0,0,4.1707,,44:23.5,A,8,0
10,Palou,5,62.4255,103.804,2.9592,0,0,28.9781,0,6.158,0,0,0,6.5473,0.5432,4.7694,13.3136,8.5442,3.8699,10.6159,20.7039,6.746,0.5667,5.0773,10.088,5.0107,8.5653,0,12.7435,0,0,4.1782,,45:25.9,A,8,0
10,Palou,6,62.6134,103.492,2.9998,0,0,29.1678,0,6.2186,0,0,0,6.5823,0.5623,4.7885,13.3671,8.5786,3.8744,10.6254,20.6909,6.751,0.5649,5.0625,10.0655,5.003,8.5767,0,12.7547,0,0,4.178,,46:28.5,A,8,0
10,Palou,7,62.597,103.519,3.0381,0,0,29.1945,0,6.2509,0,0,0,6.543,0.5426,4.799,13.3625,8.5635,3.8522,10.6005,20.6961,6.7483,0.557,5.057,10.0956,5.0386,8.5341,0,12.7064,0,0,4.1723,,47:31.1,A,8,0
10,Palou,8,62.4964,103.686,2.9725,0,0,29.0693,0,6.2753,0,0,0,6.5702,0.5446,4.7026,13.2513,8.5487,3.8546,10.5782,20.6888,6.7236,0.5557,5.0701,10.1106,5.0405,8.559,0,12.7383,0,0,4.1793,,48:33.6,A,8,0
